4-13全国分性别、职业小类、周工作时间的正在工作人口-职业小类性别-职业小类性别-职业小类性别,单位：人-合计-合计-合计,1-8小时-1-8小时-1-8小时,9-19小时-9-19小时-9-19小时,20-34小时,35小时,36-39小时,40小时-40小时-40小时,41-47小时-41-47小时-41-47小时,48小时-48小时-48小时,48小时以上,周平均-工作时间-(小时)
安全工程技术人员,14558,20.0,23.0,181.0,157.0,105.0,8265,351.0,1751,3705,45
标准化、计量、质量工程技术人员,25074,33.0,37.0,293.0,292.0,147.0,14395,648.0,3477,5752,45
管理（工业）工程技术人员,58549,97.0,80.0,749.0,471.0,290.0,29530,1573.0,9212,16547,46
其他工程技术人员,30994,53.0,63.0,464.0,284.0,220.0,17834,903.0,4055,7118,45
农业技术人员,64572,362.0,1060.0,5931.0,1358.0,663.0,28317,2177.0,5145,19559,44
土壤肥料技术人员,7733,41.0,262.0,1201.0,110.0,63.0,3434,164.0,586,1872,41
植物保护技术人员,5453,23.0,68.0,352.0,123.0,52.0,2850,180.0,484,1321,43
园艺技术人员,16322,42.0,175.0,1412.0,344.0,202.0,6916,681.0,1652,4898,44
作物遗传育种栽培技术人员,3236,9.0,22.0,131.0,62.0,21.0,1508,99.0,208,1176,45
兽医、兽药技术人员,11314,38.0,105.0,814.0,218.0,119.0,5224,399.0,913,3484,45
畜牧与草业技术人员,6323,69.0,146.0,753.0,169.0,75.0,2281,279.0,503,2048,44
其他农业技术人员,14191,140.0,282.0,1268.0,332.0,131.0,6104,375.0,799,4760,44
飞机和船舶技术人员,15369,32.0,86.0,730.0,155.0,152.0,6447,414.0,1342,6011,48
飞行人员和领航人员,4282,15.0,40.0,441.0,72.0,62.0,1821,150.0,382,1299,44
船舶指挥和引航人员,7208,9.0,38.0,239.0,52.0,53.0,2210,172.0,538,3897,52
其他飞机和船舶技术人员,3879,8.0,8.0,50.0,31.0,37.0,2416,92.0,422,815,44
卫生专业技术人员,673817,1514.0,1676.0,15368.0,11688.0,6904.0,389193,27487.0,67527,152460,44
西医医师,222422,459.0,605.0,5005.0,3606.0,2069.0,129083,8646.0,20561,52388,45
中医医师,41225,108.0,160.0,1281.0,667.0,443.0,22232,1704.0,4001,10629,45
中西医结合医师,59310,191.0,237.0,1971.0,1047.0,601.0,28951,2530.0,5358,18424,46
民族医生,3070,14.0,12.0,148.0,50.0,27.0,1457,146.0,299,917,45
公共卫生医师,13888,56.0,54.0,486.0,255.0,116.0,7414,488.0,1224,3795,45
药剂人员,36094,91.0,74.0,682.0,657.0,433.0,21500,1585.0,3863,7209,44
医疗技术人员,42734,84.0,110.0,1087.0,796.0,482.0,25097,1772.0,3926,9380,44
护理人员,220589,423.0,307.0,3595.0,3926.0,2388.0,134586,9311.0,25189,40864,44
其他卫生专业技术人员,34485,88.0,117.0,1113.0,684.0,345.0,18873,1305.0,3106,8854,45
经济业务人员,926782,1694.0,1681.0,16044.0,14781.0,6231.0,570675,24987.0,115081,175608,44
经济计划人员,27632,69.0,120.0,938.0,401.0,181.0,14878,768.0,3124,7153,45
统计人员,65233,113.0,111.0,1134.0,998.0,415.0,37819,1587.0,9084,13972,45
会计人员,773497,1379.0,1316.0,12872.0,12256.0,5269.0,479335,20908.0,95929,144233,44
审计人员,18547,26.0,16.0,228.0,457.0,115.0,14329,374.0,1350,1652,42
国际商务人员,9680,6.0,5.0,86.0,121.0,37.0,6543,344.0,1519,1019,43
其他经济业务人员,32193,101.0,113.0,786.0,548.0,214.0,17771,1006.0,4075,7579,45
金融业务人员,344658,749.0,763.0,7860.0,6722.0,2393.0,240922,8454.0,29817,46978,42
银行业务人员,192352,363.0,171.0,2693.0,4094.0,1265.0,144962,4290.0,14092,20422,42
保险业务人员,108906,303.0,505.0,3502.0,1709.0,854.0,64844,3192.0,12429,21568,44
证券业务人员,20277,35.0,49.0,988.0,438.0,139.0,14890,445.0,1423,1870,41
其他金融业务人员,23123,48.0,38.0,677.0,481.0,135.0,16226,527.0,1873,3118,42
法律专业人员,62542,131.0,92.0,1184.0,1574.0,339.0,48976,1118.0,3163,5965,42
法官,15391,36.0,15.0,228.0,452.0,102.0,12192,238.0,670,1458,42
检察官,8079,15.0,4.0,138.0,248.0,49.0,6775,99.0,258,493,41
律师,21247,46.0,48.0,467.0,363.0,91.0,15984,479.0,1378,2391,42
公证员,2082,3.0,2.0,52.0,54.0,16.0,1595,37.0,118,205,42
司法鉴定人员,1979,5.0,3.0,37.0,42.0,10.0,1574,38.0,88,182,42
书记员,4591,8.0,3.0,69.0,146.0,20.0,3713,60.0,214,358,41
其他法律专业人员,9173,18.0,17.0,193.0,269.0,51.0,7143,167.0,437,878,42
教学人员,1434707,5046.0,6455.0,42486.0,25264.0,9991.0,1057103,34914.0,83594,169854,42
高等教育教师,156982,741.0,977.0,4043.0,3325.0,874.0,130802,2432.0,5471,8317,40
中等职业教育教师,86185,290.0,328.0,1975.0,1624.0,579.0,65848,2005.0,4979,8557,42
中学教师,531336,1534.0,1937.0,13756.0,7947.0,3494.0,392684,13502.0,31524,64958,42
小学教师,449898,1199.0,1828.0,16121.0,8725.0,3482.0,332485,11008.0,22222,52828,42
幼儿教师,131884,284.0,345.0,3627.0,2172.0,961.0,85617,3961.0,12711,22206,43
特殊教育教师,7002,47.0,68.0,197.0,137.0,38.0,5039,157.0,459,860,42
其他教学人员,71420,951.0,972.0,2767.0,1334.0,563.0,44628,1849.0,6228,12128,42
文学艺术工作人员,106944,386.0,789.0,4264.0,1407.0,745.0,55371,3785.0,14600,25597,45
文艺创作和评论人员,2424,19.0,20.0,139.0,38.0,19.0,1487,96.0,184,422,42
编导和音乐指挥人员,2804,13.0,16.0,99.0,52.0,14.0,1981,73.0,168,388,42
演员,12459,134.0,298.0,1565.0,418.0,136.0,6365,448.0,785,2310,41
乐器演奏员,4157,61.0,214.0,833.0,103.0,68.0,1686,139.0,219,834,39
电影、电视制作及舞台专业人员,6708,15.0,26.0,198.0,98.0,37.0,4479,187.0,557,1111,43
美术专业人员,6741,25.0,51.0,232.0,70.0,50.0,3138,247.0,874,2054,46
工艺美术专业人员,67093,96.0,111.0,954.0,543.0,380.0,33771,2422.0,11365,17451,46
其他文学艺术工作人员,4558,23.0,53.0,244.0,85.0,41.0,2464,173.0,448,1027,44
体育工作人员,4248,17.0,40.0,221.0,71.0,43.0,2713,138.0,426,579,42
体育工作人员,4248,17.0,40.0,221.0,71.0,43.0,2713,138.0,426,579,42
新闻出版、文化工作人员,88065,231.0,151.0,1455.0,1687.0,532.0,65999,2009.0,6108,9893,42
记者,17966,38.0,24.0,213.0,341.0,82.0,13602,383.0,1180,2103,42
编辑,26710,47.0,30.0,377.0,473.0,169.0,21008,613.0,1681,2312,42
校对员,2776,1.0,5.0,84.0,35.0,21.0,1877,90.0,271,392,43
播音员及节目主持人,5266,23.0,32.0,154.0,114.0,42.0,3618,135.0,393,755,42
翻译,9022,25.0,23.0,167.0,80.0,38.0,6126,251.0,939,1373,43
图书资料与档案业务人员,16755,72.0,19.0,250.0,445.0,125.0,13141,291.0,920,1492,42
考古及文物保护工作人员,1216,2.0,5.0,22.0,27.0,9.0,931,13.0,57,150,42
其他新闻出版、文化工作人员,8354,23.0,13.0,188.0,172.0,46.0,5696,233.0,667,1316,43
宗教职业者,12544,266.0,826.0,2830.0,366.0,185.0,2974,732.0,746,3619,40
宗教职业者,12544,266.0,826.0,2830.0,366.0,185.0,2974,732.0,746,3619,40
其他专业技术人员,40021,112.0,101.0,893.0,447.0,295.0,19297,1335.0,5408,12133,46
其他专业技术人员,40021,112.0,101.0,893.0,447.0,295.0,19297,1335.0,5408,12133,46
办事人员和有关人员,3075476,5683.0,4519.0,48107.0,51317.0,20313.0,1918724,75735.0,328939,622139,44
行政办公人员,1836531,3294.0,1985.0,24644.0,36402.0,10880.0,1315154,39207.0,165510,239455,43
行政业务人员,871875,1607.0,1029.0,12212.0,19022.0,5150.0,646521,16815.0,61658,107861,42
行政事务人员,758052,1306.0,716.0,9345.0,13239.0,4351.0,528572,17621.0,82482,100420,43
其他行政办公人员,206604,381.0,240.0,3087.0,4141.0,1379.0,140061,4771.0,21370,31174,43
安全保卫和消防人员,832768,1472.0,1679.0,15517.0,7901.0,6545.0,359655,25113.0,117755,297131,48
人民警察,159815,266.0,110.0,1751.0,2874.0,725.0,114490,2920.0,11522,25157,43
治安保卫人员,578349,964.0,1356.0,11721.0,4188.0,4985.0,207941,19162.0,92700,235332,49
消防人员,9742,26.0,12.0,131.0,109.0,85.0,5466,241.0,1022,2650,46
其他安全保卫和消防人员,84862,216.0,201.0,1914.0,730.0,750.0,31758,2790.0,12511,33992,49
邮政和电信业务人员,159650,377.0,345.0,3301.0,2687.0,1272.0,92140,5240.0,19399,34889,44
邮政业务人员,52668,113.0,141.0,1293.0,812.0,439.0,30156,1700.0,6527,11487,44
电信业务人员,69187,181.0,123.0,1273.0,1232.0,553.0,40381,2339.0,8418,14687,44
电信通信传输业务人员,24994,57.0,41.0,471.0,430.0,183.0,14890,760.0,2808,5354,44
其他邮政和电信业务人员,12801,26.0,40.0,264.0,213.0,97.0,6713,441.0,1646,3361,45
其他办事人员和有关人员,246527,540.0,510.0,4645.0,4327.0,1616.0,151775,6175.0,26275,50664,44
其他办事人员和有关人员,246527,540.0,510.0,4645.0,4327.0,1616.0,151775,6175.0,26275,50664,44
商业、服务业人员,11496249,27224.0,68340.0,514618.0,136831.0,103389.0,3391382,473627.0,1350802,5430036,49
购销人员,6722621,14385.0,36965.0,287297.0,77995.0,59157.0,1912770,281877.0,760862,3291313,50
营业人员,5112182,11139.0,29102.0,223774.0,58877.0,45877.0,1346934,217826.0,558336,2620317,50
推销、展销人员,946522,1875.0,3283.0,27642.0,9390.0,6999.0,371752,35877.0,136756,352948,48
采购人员,139898,285.0,643.0,5323.0,1687.0,1120.0,54091,5491.0,19422,51836,47
拍卖、典当及租赁业务人员,8741,81.0,127.0,539.0,132.0,52.0,3380,265.0,971,3194,46
废旧物资回收利用人员,191716,346.0,1429.0,13310.0,2951.0,2182.0,37449,9009.0,15473,109567,50
粮油管理人员,8423,27.0,105.0,527.0,136.0,61.0,3413,366.0,743,3045,46
商品监督和市场管理人员,57339,123.0,151.0,1129.0,757.0,404.0,27397,1903.0,7671,17804,47
其他购销人员,257800,509.0,2125.0,15053.0,4065.0,2462.0,68354,11140.0,21490,132602,50
仓储人员,396956,684.0,1048.0,8499.0,3268.0,2657.0,160412,13458.0,68797,138133,47
保管人员,300415,462.0,569.0,4833.0,2325.0,1876.0,127173,9714.0,54640,98823,47
储运人员,75370,174.0,386.0,2922.0,740.0,603.0,25589,2894.0,10732,31330,48
其他仓储人员,21171,48.0,93.0,744.0,203.0,178.0,7650,850.0,3425,7980,48
餐饮服务人员,1450599,3368.0,8570.0,67686.0,18186.0,12859.0,354734,61968.0,172386,750842,51
中餐烹饪人员,548950,1271.0,3112.0,25104.0,6906.0,4576.0,132030,23177.0,60763,292011,51
西餐烹饪人员,18884,32.0,88.0,567.0,189.0,138.0,5195,770.0,2671,9234,50
调酒和茶艺人员,7637,18.0,36.0,329.0,81.0,80.0,2422,330.0,1006,3335,49
营养配餐人员,9011,27.0,74.0,350.0,117.0,83.0,2715,387.0,1157,4101,49
餐厅服务人员,685952,1626.0,4037.0,31570.0,7825.0,6355.0,169717,29067.0,88030,347725,50
其他餐饮服务人员,180165,394.0,1223.0,9766.0,3068.0,1627.0,42655,8237.0,18759,94436,51
饭店、旅游及健身娱乐场所服务人员,447191,1196.0,2265.0,17818.0,4902.0,3814.0,138687,17663.0,60552,200294,49
饭店服务人员,306164,766.0,1531.0,12726.0,3122.0,2670.0,91136,12054.0,40198,141961,49
旅游及公共游览场所服务人员,39917,118.0,186.0,1468.0,498.0,331.0,20073,1348.0,5123,10772,45
健身和娱乐场所服务人员,72038,229.0,319.0,2240.0,890.0,568.0,19117,3089.0,11534,34052,50
其他饭店、旅游及健身娱乐场所服务人员,29072,83.0,229.0,1384.0,392.0,245.0,8361,1172.0,3697,13509,50
运输服务人员,655585,1556.0,3318.0,30914.0,8737.0,7265.0,232092,26189.0,66000,279514,48
公路、道路运输服务人员,458276,1112.0,2501.0,23507.0,6315.0,5124.0,147016,19249.0,45780,207672,49
铁路客货运输服务人员,66431,153.0,135.0,1587.0,659.0,743.0,39833,1899.0,7004,14418,45
航空运输服务人员,14505,49.0,49.0,476.0,157.0,230.0,9545,410.0,1414,2175,43
水上运输服务人员,17315,32.0,86.0,731.0,250.0,163.0,7546,647.0,1748,6112,47
其他运输服务人员,99058,210.0,547.0,4613.0,1356.0,1005.0,28152,3984.0,10054,49137,50
医疗卫生辅助服务人员,41427,120.0,170.0,1260.0,649.0,361.0,20485,1687.0,4597,12098,46
医疗卫生辅助服务人员,41427,120.0,170.0,1260.0,649.0,361.0,20485,1687.0,4597,12098,46
社会服务和居民生活服务人员,1557216,5053.0,14314.0,89710.0,20186.0,15055.0,502541,61934.0,194056,654367,48
社会中介服务人员,53761,144.0,352.0,2242.0,582.0,456.0,25847,1775.0,6442,15921,46
物业管理人员,104843,723.0,1001.0,4190.0,1194.0,842.0,51987,3125.0,14634,27147,45
供水、供热及生活燃料供应服务人员,83044,144.0,257.0,2150.0,1068.0,619.0,39203,2347.0,8592,28664,47
美容美发人员,283749,682.0,1892.0,13556.0,2938.0,2515.0,62092,10698.0,28025,161351,52
摄影服务人员,32989,87.0,246.0,1476.0,347.0,265.0,9649,1105.0,3800,16014,49
验光配镜人员,4529,13.0,9.0,107.0,45.0,26.0,1402,178.0,777,1972,50
洗染织补人员,30591,85.0,225.0,1711.0,344.0,302.0,7299,1256.0,3338,16031,50
浴池服务人员,46834,144.0,395.0,2686.0,503.0,439.0,11315,1920.0,5107,24325,51
印章刻字人员,3802,7.0,21.0,157.0,42.0,22.0,1215,139.0,451,1748,49
日用机电产品维修人员,120383,293.0,960.0,6826.0,1413.0,1219.0,30374,5343.0,13079,60876,49
办公设备维修人员,16395,47.0,55.0,464.0,172.0,115.0,6498,591.0,2449,6004,47
保育、家庭服务人员,155056,715.0,3018.0,16068.0,2839.0,2173.0,44698,7332.0,17147,61066,46
环境卫生人员,457734,1264.0,3629.0,25160.0,6156.0,4405.0,157018,19770.0,74844,165488,47
殡葬服务人员,8065,76.0,190.0,1029.0,165.0,106.0,2650,304.0,674,2871,45
其他社会服务和居民生活服务人员,155441,629.0,2064.0,11888.0,2378.0,1551.0,51294,6051.0,14697,64889,47
其他商业、服务业人员,224654,862.0,1690.0,11434.0,2908.0,2221.0,69661,8851.0,23552,103475,49
其他商业、服务业人员,224654,862.0,1690.0,11434.0,2908.0,2221.0,69661,8851.0,23552,103475,49
农、林、牧、渔、水利业生产人员,32944509,381574.0,1507338.0,6837311.0,1056264.0,758384.0,6739681,2182413.0,1889860,11591684,42
种植业生产人员,31114506,368877.0,1445491.0,6511924.0,995445.0,718165.0,6372028,2052970.0,1783433,10866173,42
大田作物生产人员,28537212,355043.0,1381412.0,6113604.0,919492.0,665658.0,5861007,1877426.0,1622119,9741451,41
农业实验人员,25676,203.0,968.0,4704.0,680.0,587.0,6254,1562.0,1582,9136,43
园艺作物生产人员,1914842,9665.0,46038.0,291656.0,54625.0,37791.0,383773,129544.0,120432,841318,45
热带作物生产人员,89522,326.0,1298.0,10187.0,4630.0,1925.0,14723,8483.0,5727,42223,46
中药材生产人员,75956,420.0,1846.0,11926.0,1716.0,2111.0,15064,5211.0,5345,32317,45
农副林特产品加工人员,92315,469.0,2422.0,15999.0,2499.0,1691.0,18692,5839.0,6705,37999,45
其他种植业生产人员,378983,2751.0,11507.0,63848.0,11803.0,8402.0,72515,24905.0,21523,161729,44
林业生产及野生动植物保护人员,170985,987.0,3774.0,24225.0,4976.0,3577.0,47841,10497.0,11974,63134,44
营造林人员,91582,613.0,2565.0,15631.0,3152.0,2110.0,24048,5851.0,6189,31423,43
森林资源管护人员,29920,169.0,422.0,2508.0,591.0,394.0,12350,1184.0,2376,9926,45
野生动植物保护及自然保护区人员,2542,14.0,29.0,180.0,43.0,28.0,924,103.0,259,962,46
木材采运人员,23621,111.0,484.0,3241.0,563.0,492.0,5691,1475.0,1646,9918,45
其他林业生产及野生动植物保护人员,23320,80.0,274.0,2665.0,627.0,553.0,4828,1884.0,1504,10905,47
畜牧业生产人员,1274260,9854.0,50140.0,247617.0,44176.0,29045.0,235454,94618.0,66198,497158,43
家畜饲养人员,962735,7222.0,39075.0,197077.0,35424.0,22970.0,174418,75252.0,48300,362997,43
家禽饲养人员,217559,2189.0,9616.0,40348.0,6354.0,4626.0,41531,13630.0,12470,86795,43
蜜蜂饲养人员,9144,74.0,271.0,1628.0,242.0,149.0,1977,522.0,619,3662,44
实验动物饲养人员,988,11.0,21.0,114.0,46.0,21.0,371,65.0,76,263,43
动物疫病防治人员,9181,40.0,134.0,686.0,195.0,105.0,4219,364.0,648,2790,44
草业生产人员,2025,5.0,19.0,141.0,41.0,37.0,736,110.0,172,764,46
其他畜牧业生产人员,72628,313.0,1004.0,7623.0,1874.0,1137.0,12202,4675.0,3913,39887,49
渔业生产人员,339121,1255.0,6746.0,49528.0,10815.0,7035.0,66375,22565.0,24885,149917,46
水产养殖人员,210896,724.0,4450.0,33273.0,7166.0,4359.0,42373,15119.0,15350,88082,45
水产捕捞及有关人员,91183,415.0,1592.0,11984.0,2838.0,2002.0,15933,5639.0,5895,44885,48
水产品加工人员,30169,75.0,482.0,3210.0,593.0,455.0,6801,1485.0,3093,13975,47
其他渔业生产人员,6873,41.0,222.0,1061.0,218.0,219.0,1268,322.0,547,2975,45
水利设施管理养护人员,27346,540.0,923.0,2276.0,545.0,308.0,13593,860.0,1954,6347,42
河道、水库管养人员,14286,489.0,814.0,1733.0,308.0,192.0,5942,563.0,959,3286,40
农田灌排工程建设管理维护人员,3770,22.0,58.0,255.0,60.0,33.0,1887,88.0,242,1125,44
水土保持作业人员,1133,1.0,7.0,52.0,19.0,12.0,679,38.0,70,255,44
水文勘测作业人员,1826,2.0,14.0,38.0,41.0,20.0,1229,43.0,114,325,43
其他水利设施管理养护人员,6331,26.0,30.0,198.0,117.0,51.0,3856,128.0,569,1356,44
其他农、林、牧、渔、水利业生产人员,18291,61.0,264.0,1741.0,307.0,254.0,4390,903.0,1416,8955,48
农林专用机械操作人员,16973,57.0,248.0,1667.0,289.0,242.0,3944,852.0,1303,8371,48
农村能源开发利用人员,1318,4.0,16.0,74.0,18.0,12.0,446,51.0,113,584,47
生产、运输设备操作人员及有关人员,15978094,31551.0,71984.0,635184.0,148624.0,141632.0,4319315,618361.0,2276718,7734725,50
勘测及矿物开采人员,445940,1365.0,2085.0,15872.0,4173.0,4257.0,155750,16048.0,51460,194930,48
地质勘查人员,19195,105.0,409.0,969.0,269.0,198.0,7769,700.0,1962,6814,46
测绘人员,6957,14.0,14.0,135.0,112.0,45.0,3991,171.0,750,1725,45
矿物开采人员,319713,986.0,1292.0,12000.0,2973.0,3241.0,95740,12434.0,39636,151411,48
矿物处理人员,36077,109.0,216.0,1411.0,280.0,317.0,12138,1102.0,4009,16495,48
钻井人员,12391,31.0,42.0,349.0,70.0,89.0,5785,311.0,936,4778,47
石油、天然气开采人员,33063,47.0,45.0,306.0,167.0,203.0,23150,617.0,1940,6588,44
盐业生产人员,6962,47.0,15.0,271.0,150.0,51.0,2993,318.0,700,2417,46
其他勘测及矿物开采人员,11582,26.0,52.0,431.0,152.0,113.0,4184,395.0,1527,4702,47
金属冶炼、轧制人员,326260,645.0,1037.0,8692.0,2319.0,2470.0,109094,10521.0,50126,141356,49
炼铁人员,40576,94.0,138.0,1024.0,285.0,359.0,14346,1265.0,5496,17569,48
炼钢人员,64474,121.0,136.0,1233.0,361.0,448.0,26973,1824.0,10015,23363,47
铁合金冶炼人员,14614,23.0,47.0,396.0,97.0,115.0,4841,527.0,2095,6473,49
重有色金属冶炼人员,13667,27.0,30.0,384.0,112.0,98.0,5734,427.0,2138,4717,47
轻有色金属冶炼人员,19214,28.0,48.0,523.0,143.0,194.0,7356,577.0,2964,7381,48
稀贵金属冶炼人员,4926,13.0,20.0,129.0,51.0,34.0,1974,150.0,832,1723,47
半导体材料制备人员,4243,10.0,8.0,67.0,23.0,37.0,1638,96.0,845,1519,48
