1-21按行业(大类)、经营性质分组的产业活动单位数及从业人员数-行业大类,代码,产业活动单位数(个),经营性单位,非经营性单位,从业人员数(人),经营性单位.1,非经营性单位.1
水上运输业,5400,9085.0,8141.0,944.0,748074.0,721385.0,26689.0
航空运输业,5500,1314.0,1228.0,86.0,323789.0,315619.0,8170.0
管道运输业,5600,121.0,121.0,,42247.0,42247.0,
装卸搬运和其他运输服务业,5700,50923.0,49948.0,975.0,1205392.0,1183965.0,21427.0
仓储业,5800,21091.0,19946.0,1145.0,601990.0,572647.0,29343.0
邮政业,5900,39188.0,38269.0,919.0,912536.0,899324.0,13212.0
信息传输、计算机服务和软件业,G,211421.0,193817.0,17604.0,3593578.0,3410367.0,183211.0
电信和其他信息传输服务业,6000,76557.0,67523.0,9034.0,1893816.0,1766595.0,127221.0
计算机服务业,6100,93441.0,85310.0,8131.0,788019.0,738507.0,49512.0
软件业,6200,41423.0,40984.0,439.0,911743.0,905265.0,6478.0
批发和零售业,H,1745277.0,1708193.0,37084.0,19592227.0,19300516.0,291711.0
批发业,6300,969427.0,954017.0,15410.0,10728355.0,10590801.0,137554.0
零售业,6500,775850.0,754176.0,21674.0,8863872.0,8709715.0,154157.0
住宿和餐饮业,I,181401.0,168435.0,12966.0,6249069.0,6024222.0,224847.0
住宿业,6600,62010.0,58616.0,3394.0,2770989.0,2702086.0,68903.0
餐饮业,6700,119391.0,109819.0,9572.0,3478080.0,3322136.0,155944.0
金融业,J,225378.0,219427.0,5951.0,6028460.0,5835430.0,193030.0
银行业,6800,149712.0,145558.0,4154.0,3305230.0,3163235.0,141995.0
证券业,6900,5272.0,5122.0,150.0,169540.0,165543.0,3997.0
保险业,7000,47396.0,46708.0,688.0,2297780.0,2259325.0,38455.0
其他金融活动,7100,22998.0,22039.0,959.0,255910.0,247327.0,8583.0
房地产业,K,244565.0,236313.0,8252.0,5834561.0,5700256.0,134305.0
房地产业,7200,244565.0,236313.0,8252.0,5834561.0,5700256.0,134305.0
租赁和商务服务业,L,490843.0,404325.0,86518.0,8494310.0,7541027.0,953283.0
租赁业,7300,19408.0,18601.0,807.0,251993.0,244717.0,7276.0
商务服务业,7400,471435.0,385724.0,85711.0,8242317.0,7296310.0,946007.0
科学研究、技术服务和地质勘查业,M,237048.0,133948.0,103100.0,4809137.0,2908056.0,1901081.0
研究与试验发展,7500,22916.0,14451.0,8465.0,822030.0,323537.0,498493.0
专业技术服务业,7600,112570.0,75901.0,36669.0,2420306.0,1781450.0,638856.0
科技交流和推广服务业,7700,97193.0,40975.0,56218.0,1143434.0,594076.0,549358.0
地质勘查业,7800,4369.0,2621.0,1748.0,423367.0,208993.0,214374.0
水利、环境和公共设施管理业,N,74997.0,23883.0,51114.0,2375337.0,714506.0,1660831.0
水利管理业,7900,32103.0,2382.0,29721.0,528572.0,63629.0,464943.0
环境管理业,8000,16271.0,5019.0,11252.0,924914.0,187726.0,737188.0
公共设施管理业,8100,26623.0,16482.0,10141.0,921851.0,463151.0,458700.0
居民服务和其他服务业,O,137709.0,118700.0,19009.0,2174725.0,1919452.0,255273.0
居民服务业,8200,73406.0,59012.0,14394.0,1067854.0,884590.0,183264.0
其他服务业,8300,64303.0,59688.0,4615.0,1106871.0,1034862.0,72009.0
教育,P,546479.0,29838.0,516641.0,17946594.0,603584.0,17343010.0
教育,8400,546479.0,29838.0,516641.0,17946594.0,603584.0,17343010.0
卫生、社会保障和社会福利业,Q,414299.0,24536.0,389763.0,7418712.0,646992.0,6771720.0
卫生,8500,364144.0,23126.0,341018.0,6891989.0,617939.0,6274050.0
社会保障业,8600,17621.0,319.0,17302.0,238959.0,12103.0,226856.0
社会福利业,8700,32534.0,1091.0,31443.0,287764.0,16950.0,270814.0
文化、体育和娱乐业,R,102171.0,39551.0,62620.0,2047469.0,911939.0,1135530.0
新闻出版业,8800,7167.0,3280.0,3887.0,358100.0,205066.0,153034.0
广播、电视、电影和音像业,8900,20074.0,6655.0,13419.0,506236.0,156844.0,349392.0
文化艺术业,9000,43044.0,8084.0,34960.0,565014.0,83530.0,481484.0
体育,9100,8267.0,1985.0,6282.0,131128.0,29583.0,101545.0
娱乐业,9200,23619.0,19547.0,4072.0,486991.0,436916.0,50075.0
公共管理和社会组织,S,1712039.0,1315.0,1710724.0,22050834.0,23345.0,22027489.0
中国共产党机关,9300,43885.0,,43885.0,599474.0,,599474.0
国家机构,9400,691188.0,15.0,691173.0,14433140.0,1463.0,14431677.0
人民政协和民主党派,9500,6630.0,,6630.0,101640.0,,101640.0
群众团体、社会团体和宗教组织,9600,281483.0,1258.0,280225.0,2780469.0,21218.0,2759251.0
基层群众自治组织,9700,688853.0,42.0,688811.0,4136111.0,664.0,4135447.0
