ID,编号,价格,成交数量,竞买率,成交占比,日期,大盘最低价格,大盘最高价格
1275861,2078,14,4753,61,4,45495,2947,2979
1275860,2078,14,5946,68,5,45495,2947,2979
1275859,2078,14,6559,71,6,45495,2947,2979
1275858,2078,14,6563,50,6,45495,2947,2979
1275857,2078,14,7184,65,6,45495,2947,2979
1275856,2078,14,5901,53,5,45495,2947,2979
1275855,2078,14,6436,37,6,45495,2947,2979
1275854,2078,14,3605,38,3,45495,2947,2979
1275853,2078,14,5850,61,5,45495,2947,2979
1275852,2078,14,9773,68,9,45495,2947,2979
1275851,2078,14,8017,65,7,45495,2947,2979
1275850,2078,14,8513,37,8,45495,2947,2979
1275849,2078,14,4275,48,4,45495,2947,2979
1275848,2078,14,5875,54,5,45495,2947,2979
1275847,2078,14,3774,42,3,45495,2947,2979
1275846,2078,14,3399,61,3,45495,2947,2979
1275845,2078,14,3041,27,3,45495,2947,2979
1275844,2078,14,2084,60,2,45495,2947,2979
1275843,2078,14,1102,65,1,45495,2947,2979
1275842,2078,14,698,11,1,45495,2947,2979
1275841,2078,14,173,0,0,45495,2947,2979
1275840,2078,14,1634,34,1,45495,2947,2979
1275839,2078,14,44,100,0,45495,2947,2979
1275838,2078,14,163,4,0,45495,2947,2979
1275837,2078,14,221,33,0,45495,2947,2979
1275836,2078,14,77,68,0,45495,2947,2979
1275835,2078,14,376,24,0,45495,2947,2979
1275834,2078,14,60,0,0,45495,2947,2979
1275833,2078,14,68,0,0,45495,2947,2979
1274098,2078,14,759,100,1,45492,2955,2986
1274097,2078,14,2428,72,2,45492,2955,2986
1274096,2078,14,2122,51,2,45492,2955,2986
1274095,2078,14,1409,60,1,45492,2955,2986
1274094,2078,14,1623,78,2,45492,2955,2986
1274093,2078,14,3324,48,3,45492,2955,2986
1274092,2078,14,958,41,1,45492,2955,2986
1274091,2078,14,3251,66,3,45492,2955,2986
1274090,2078,14,4253,77,4,45492,2955,2986
1274089,2078,14,7227,56,7,45492,2955,2986
1274088,2078,14,11712,67,12,45492,2955,2986
1274087,2078,14,15396,62,15,45492,2955,2986
1274086,2078,14,16190,52,16,45492,2955,2986
1274085,2078,14,12435,48,12,45492,2955,2986
1274084,2078,14,5622,30,6,45492,2955,2986
1274083,2078,14,4025,40,4,45492,2955,2986
1274082,2078,14,3469,36,3,45492,2955,2986
1274081,2078,14,2983,0,3,45492,2955,2986
1274080,2078,14,2609,0,3,45492,2955,2986
1274079,2078,14,48,0,0,45492,2955,2986
1271757,2078,14,115,100,0,45491,2938,2978
1271756,2078,14,450,76,0,45491,2938,2978
1271755,2078,14,749,49,1,45491,2938,2978
1271754,2078,14,718,83,1,45491,2938,2978
1271753,2078,14,169,28,0,45491,2938,2978
1271752,2078,14,448,62,0,45491,2938,2978
1271751,2078,14,855,86,1,45491,2938,2978
1271750,2078,14,765,27,1,45491,2938,2978
1271749,2078,14,549,52,1,45491,2938,2978
1271748,2078,14,973,30,1,45491,2938,2978
1271747,2078,14,1251,68,1,45491,2938,2978
1271746,2078,14,945,40,1,45491,2938,2978
1271745,2078,14,2083,53,2,45491,2938,2978
1271744,2078,14,4296,72,4,45491,2938,2978
1271743,2078,14,3630,34,4,45491,2938,2978
1271742,2078,14,3018,37,3,45491,2938,2978
1271741,2078,14,3102,47,3,45491,2938,2978
1271740,2078,14,2839,38,3,45491,2938,2978
1271739,2078,14,4689,32,5,45491,2938,2978
1271738,2078,14,3329,60,3,45491,2938,2978
1271737,2078,14,4177,53,4,45491,2938,2978
1271736,2078,14,3150,31,3,45491,2938,2978
1271735,2078,14,1740,38,2,45491,2938,2978
1271734,2078,14,1778,37,2,45491,2938,2978
1271733,2078,14,950,24,1,45491,2938,2978
1271732,2078,14,1348,20,1,45491,2938,2978
1271731,2078,14,1222,42,1,45491,2938,2978
1271730,2078,14,760,19,1,45491,2938,2978
1271729,2078,14,1990,17,2,45491,2938,2978
1271728,2078,14,971,48,1,45491,2938,2978
1271727,2078,14,254,0,0,45491,2938,2978
1271726,2078,14,331,100,0,45491,2938,2978
1271725,2078,14,4278,49,4,45491,2938,2978
1271724,2078,14,1634,24,2,45491,2938,2978
1271723,2078,14,2165,58,2,45491,2938,2978
1271722,2078,14,4225,2,4,45491,2938,2978
1271721,2078,14,1574,76,2,45491,2938,2978
1271720,2078,14,5946,78,6,45491,2938,2978
1271719,2078,14,5367,56,6,45491,2938,2978
1271718,2078,14,6306,27,7,45491,2938,2978
1271717,2078,14,5959,44,6,45491,2938,2978
1271716,2078,14,2603,20,3,45491,2938,2978
1271715,2078,14,2156,52,2,45491,2938,2978
1271714,2078,14,785,0,1,45491,2938,2978
1269972,2078,14,282,100,0,45490,2958,2973
1269971,2078,14,696,74,1,45490,2958,2973
1269970,2078,14,939,89,1,45490,2958,2973
1269969,2078,14,3048,87,3,45490,2958,2973
1269968,2078,14,3454,69,3,45490,2958,2973
1269967,2078,14,2467,63,2,45490,2958,2973
1269966,2078,14,3019,72,3,45490,2958,2973
1269965,2078,14,2207,51,2,45490,2958,2973
1269964,2078,14,1541,73,1,45490,2958,2973
1269963,2078,14,5141,55,5,45490,2958,2973
1269962,2078,14,5732,52,5,45490,2958,2973
1269961,2078,14,5693,56,5,45490,2958,2973
1269960,2078,14,8896,47,8,45490,2958,2973
1269959,2078,14,7037,67,6,45490,2958,2973
1269709,2078,14,7770,61,7,45490,2958,2973
1269708,2078,14,9931,37,9,45490,2958,2973
1269707,2078,14,10300,41,9,45490,2958,2973
1269706,2078,14,8997,43,8,45490,2958,2973
1269705,2078,14,13859,38,12,45490,2958,2973
1269704,2078,14,2001,64,2,45490,2958,2973
1269703,2078,14,1102,71,1,45490,2958,2973
1269702,2078,14,2340,51,2,45490,2958,2973
1269701,2078,14,802,64,1,45490,2958,2973
1269700,2078,14,1500,63,1,45490,2958,2973
1269699,2078,14,548,44,0,45490,2958,2973
1269698,2078,14,340,53,0,45490,2958,2973
1269697,2078,14,351,78,0,45490,2958,2973
1269696,2078,14,228,89,0,45490,2958,2973
1269695,2078,14,444,85,0,45490,2958,2973
1269694,2078,14,240,100,0,45490,2958,2973
1269693,2078,14,177,100,0,45490,2958,2973
1269692,2078,14,1084,39,1,45490,2958,2973
1269691,2078,14,478,96,0,45490,2958,2973
1269690,2078,14,374,51,0,45490,2958,2973
1269689,2078,14,794,39,1,45490,2958,2973
1269688,2078,14,346,12,0,45490,2958,2973
1269687,2078,14,123,0,0,45490,2958,2973
1267773,2078,14,597,100,1,45489,2960,2977
1267772,2078,14,2401,58,3,45489,2960,2977
1267771,2078,14,6866,77,7,45489,2960,2977
1267770,2078,14,10000,65,11,45489,2960,2977
1267769,2078,14,10169,60,11,45489,2960,2977
1267768,2078,14,8964,44,9,45489,2960,2977
1267767,2078,14,8168,58,9,45489,2960,2977
1267766,2078,14,9174,66,10,45489,2960,2977
1267765,2078,14,9784,48,10,45489,2960,2977
1267764,2078,14,6455,38,7,45489,2960,2977
1267763,2078,14,3378,52,4,45489,2960,2977
1267762,2078,14,3802,60,4,45489,2960,2977
1267761,2078,14,4118,53,4,45489,2960,2977
1267760,2078,14,3266,74,3,45489,2960,2977
1267759,2078,14,1554,38,2,45489,2960,2977
1267758,2078,14,1245,71,1,45489,2960,2977
1267757,2078,14,895,65,1,45489,2960,2977
1267756,2078,14,1247,51,1,45489,2960,2977
1267755,2078,14,1022,39,1,45489,2960,2977
1267754,2078,14,283,62,0,45489,2960,2977
1267753,2078,14,62,32,0,45489,2960,2977
1267752,2078,14,253,49,0,45489,2960,2977
1267751,2078,14,154,28,0,45489,2960,2977
1267750,2078,14,401,29,0,45489,2960,2977
1267749,2078,14,247,0,0,45489,2960,2977
1266426,2078,14,4003,41,3,45488,2959,2977
1266425,2078,14,5040,44,4,45488,2959,2977
1266424,2078,14,6219,44,5,45488,2959,2977
1266423,2078,14,5354,27,5,45488,2959,2977
1266422,2078,14,735,14,1,45488,2959,2977
1266421,2078,14,61,0,0,45488,2959,2977
1265606,2078,14,1424,74,1,45488,2959,2977
1265605,2078,14,1511,70,1,45488,2959,2977
1265604,2078,14,1116,42,1,45488,2959,2977
1265603,2078,14,1981,33,2,45488,2959,2977
1265602,2078,14,1949,48,2,45488,2959,2977
1265601,2078,14,1044,55,1,45488,2959,2977
1265600,2078,14,1247,56,1,45488,2959,2977
1265599,2078,14,482,17,0,45488,2959,2977
1265598,2078,14,419,24,0,45488,2959,2977
1265597,2078,14,545,46,0,45488,2959,2977
1265596,2078,14,3736,82,3,45488,2959,2977
1265595,2078,14,3572,15,3,45488,2959,2977
1265594,2078,14,1324,55,1,45488,2959,2977
1265593,2078,14,1637,56,1,45488,2959,2977
1265592,2078,14,2889,58,3,45488,2959,2977
1265591,2078,14,4745,64,4,45488,2959,2977
1265590,2078,14,6735,57,6,45488,2959,2977
1265589,2078,14,6163,69,5,45488,2959,2977
1265588,2078,14,5998,56,5,45488,2959,2977
1265587,2078,14,7787,47,7,45488,2959,2977
1265586,2078,14,6106,58,5,45488,2959,2977
1265585,2078,14,9817,64,9,45488,2959,2977
1265584,2078,14,11248,59,10,45488,2959,2977
1265583,2078,14,7479,37,6,45488,2959,2977
1265582,2078,14,2948,31,3,45488,2959,2977
1264044,2078,14,475,100,0,45485,2963,2977
1264043,2078,14,6432,85,5,45485,2963,2977
1264042,2078,14,6151,64,5,45485,2963,2977
1264041,2078,14,9114,43,7,45485,2963,2977
1264040,2078,14,13036,52,10,45485,2963,2977
1264039,2078,14,9297,43,7,45485,2963,2977
1264038,2078,14,4248,31,3,45485,2963,2977
1264037,2078,14,3851,58,3,45485,2963,2977
1264036,2078,14,2180,46,2,45485,2963,2977
1264035,2078,14,4457,69,4,45485,2963,2977
1264034,2078,14,4297,58,3,45485,2963,2977
1264033,2078,14,4206,43,3,45485,2963,2977
1264032,2078,14,4935,56,4,45485,2963,2977
1264031,2078,14,4031,52,3,45485,2963,2977
1264030,2078,14,3659,79,3,45485,2963,2977
1264029,2078,14,4267,46,3,45485,2963,2977
1264028,2078,14,4896,46,4,45485,2963,2977
1264027,2078,14,2080,72,2,45485,2963,2977
1264026,2078,14,1557,20,1,45485,2963,2977
1264025,2078,14,2950,49,2,45485,2963,2977
1264024,2078,14,1203,97,1,45485,2963,2977
1264023,2078,14,3312,54,3,45485,2963,2977
1264022,2078,14,864,16,1,45485,2963,2977
1264021,2078,14,1288,68,1,45485,2963,2977
1264020,2078,14,709,14,1,45485,2963,2977
1264019,2078,14,2729,59,2,45485,2963,2977
1264018,2078,14,3332,79,3,45485,2963,2977
1264017,2078,14,3091,36,2,45485,2963,2977
1264016,2078,14,5429,49,4,45485,2963,2977
1264015,2078,14,2448,34,2,45485,2963,2977
1264014,2078,14,2676,0,2,45485,2963,2977
1264013,2078,15,1022,22,1,45485,2963,2977
1261994,2078,14,802,100,0,45484,2947,2971
1261993,2078,14,787,56,0,45484,2947,2971
1261992,2078,14,473,7,0,45484,2947,2971
1261991,2078,14,607,74,0,45484,2947,2971
1261990,2078,14,309,100,0,45484,2947,2971
1261989,2078,14,1242,68,1,45484,2947,2971
1261988,2078,14,1676,54,1,45484,2947,2971
1261987,2078,14,2062,68,1,45484,2947,2971
1261986,2078,14,3941,57,2,45484,2947,2971
1261985,2078,14,1898,50,1,45484,2947,2971
1261984,2078,14,2021,50,1,45484,2947,2971
1261983,2078,14,3110,55,2,45484,2947,2971
1261982,2078,14,2693,38,1,45484,2947,2971
1261981,2078,14,1807,41,1,45484,2947,2971
1261980,2078,14,601,11,0,45484,2947,2971
1261979,2078,14,2243,81,1,45484,2947,2971
1261978,2078,14,173,0,0,45484,2947,2971
1261977,2078,14,1588,53,1,45484,2947,2971
1261976,2078,14,1932,63,1,45484,2947,2971
1261975,2078,14,4880,39,3,45484,2947,2971
1261974,2078,14,4573,30,2,45484,2947,2971
1261973,2078,14,4832,52,3,45484,2947,2971
1261972,2078,14,1637,9,1,45484,2947,2971
1261971,2078,14,1012,9,1,45484,2947,2971
1261970,2078,14,2563,59,1,45484,2947,2971
1261969,2078,14,130,38,0,45484,2947,2971
1261968,2078,14,591,56,0,45484,2947,2971
1261967,2078,14,835,0,0,45484,2947,2971
1261966,2078,14,245,15,0,45484,2947,2971
1261965,2078,14,15,0,0,45484,2947,2971
1261964,2078,14,1517,62,1,45484,2947,2971
1261963,2078,14,1811,40,1,45484,2947,2971
1261962,2078,14,1125,26,1,45484,2947,2971
1261961,2078,14,1565,11,1,45484,2947,2971
1261960,2078,14,248,12,0,45484,2947,2971
1261959,2078,14,331,6,0,45484,2947,2971
1261958,2078,14,2646,92,1,45484,2947,2971
1261957,2078,14,3624,35,2,45484,2947,2971
1261956,2078,14,3198,26,2,45484,2947,2971
1261955,2078,14,3666,17,2,45484,2947,2971
1261954,2078,14,1292,43,1,45484,2947,2971
1261953,2078,14,2859,33,2,45484,2947,2971
1261952,2078,14,3325,29,2,45484,2947,2971
1261951,2078,14,6347,8,3,45484,2947,2971
1261950,2078,14,1433,1,1,45484,2947,2971
1261949,2078,14,904,50,0,45484,2947,2971
1261948,2078,14,2743,37,1,45484,2947,2971
1261947,2078,15,4044,61,2,45484,2947,2971
1261946,2078,15,4981,43,3,45484,2947,2971
1261945,2078,15,3601,47,2,45484,2947,2971
1261944,2078,15,5150,57,3,45484,2947,2971
1261943,2078,15,5210,53,3,45484,2947,2971
1261942,2078,15,6468,34,3,45484,2947,2971
1261941,2078,15,6577,65,3,45484,2947,2971
1261940,2078,15,6420,47,3,45484,2947,2971
1261939,2078,15,7027,20,4,45484,2947,2971
1261938,2078,15,8079,44,4,45484,2947,2971
1261937,2078,15,10131,43,5,45484,2947,2971
1261936,2078,15,10518,49,6,45484,2947,2971
1261935,2078,15,10424,49,6,45484,2947,2971
1261934,2078,15,6815,17,4,45484,2947,2971
1261933,2078,15,1943,26,1,45484,2947,2971
1261932,2078,15,999,0,1,45484,2947,2971
1260156,2078,14,79,100,0,45483,2935,2959
1260155,2078,14,853,80,1,45483,2935,2959
1260154,2078,14,503,0,0,45483,2935,2959
1260153,2078,14,551,79,0,45483,2935,2959
1260152,2078,14,1631,92,1,45483,2935,2959
1260151,2078,14,2971,59,2,45483,2935,2959
1260150,2078,14,3454,52,2,45483,2935,2959
1260149,2078,14,2914,53,2,45483,2935,2959
1260148,2078,14,2765,45,2,45483,2935,2959
1260147,2078,14,4332,48,3,45483,2935,2959
1260146,2078,14,4622,48,3,45483,2935,2959
1260145,2078,14,5118,71,4,45483,2935,2959
1260144,2078,14,5613,69,4,45483,2935,2959
1260143,2078,14,9406,47,6,45483,2935,2959
1260142,2078,14,14118,69,10,45483,2935,2959
1260141,2078,14,14825,45,10,45483,2935,2959
1260140,2078,14,9549,65,7,45483,2935,2959
1260139,2078,14,8887,54,6,45483,2935,2959
1260138,2078,14,4198,19,3,45483,2935,2959
1260137,2078,14,2392,62,2,45483,2935,2959
1260136,2078,14,64,0,0,45483,2935,2959
1259647,2078,14,1737,81,1,45483,2935,2959
1259646,2078,14,2598,70,2,45483,2935,2959
1259645,2078,14,2432,45,2,45483,2935,2959
1259644,2078,14,3982,67,3,45483,2935,2959
1259643,2078,14,5969,58,4,45483,2935,2959
1259642,2078,14,5151,46,4,45483,2935,2959
1259641,2078,14,3640,40,3,45483,2935,2959
1259640,2078,14,2542,22,2,45483,2935,2959
1259639,2078,14,2427,65,2,45483,2935,2959
1259638,2078,14,2180,36,2,45483,2935,2959
1259637,2078,14,1621,37,1,45483,2935,2959
1259636,2078,14,1226,57,1,45483,2935,2959
1259635,2078,14,1388,67,1,45483,2935,2959
1259634,2078,14,1737,42,1,45483,2935,2959
1259633,2078,14,3202,48,2,45483,2935,2959
1259632,2078,14,1653,22,1,45483,2935,2959
1259631,2078,14,762,20,1,45483,2935,2959
1259630,2078,14,1613,47,1,45483,2935,2959
1259629,2078,14,435,34,0,45483,2935,2959
1257444,2078,14,3130,100,1,45482,2904,2964
1257443,2078,14,5402,76,2,45482,2904,2964
1257442,2078,14,1704,41,1,45482,2904,2964
1257441,2078,14,3703,19,2,45482,2904,2964
1257440,2078,14,1286,48,1,45482,2904,2964
1257439,2078,14,549,62,0,45482,2904,2964
1257438,2078,14,2208,65,1,45482,2904,2964
1257437,2078,14,3469,63,2,45482,2904,2964
1257436,2078,14,3205,60,1,45482,2904,2964
1257435,2078,14,3154,49,1,45482,2904,2964
1257434,2078,14,2678,41,1,45482,2904,2964
1257433,2078,14,2570,66,1,45482,2904,2964
1257432,2078,14,1049,69,0,45482,2904,2964
1257431,2078,14,2604,73,1,45482,2904,2964
1257430,2078,14,4263,31,2,45482,2904,2964
1257429,2078,14,1777,37,1,45482,2904,2964
1257428,2078,14,844,58,0,45482,2904,2964
1257427,2078,14,1152,52,1,45482,2904,2964
1257426,2078,14,738,74,0,45482,2904,2964
1257425,2078,14,1710,76,1,45482,2904,2964
1257424,2078,14,3176,67,1,45482,2904,2964
1257423,2078,14,5186,52,2,45482,2904,2964
1257422,2078,14,4013,51,2,45482,2904,2964
1257421,2078,14,3137,48,1,45482,2904,2964
1257420,2078,14,2652,58,1,45482,2904,2964
1257419,2078,14,4182,59,2,45482,2904,2964
1257418,2078,14,5906,61,3,45482,2904,2964
1257417,2078,14,9545,59,4,45482,2904,2964
1257416,2078,14,7906,51,3,45482,2904,2964
1257415,2078,14,9771,57,4,45482,2904,2964
1257414,2078,14,16584,55,7,45482,2904,2964
1257413,2078,14,19194,27,8,45482,2904,2964
1257412,2078,14,11093,25,5,45482,2904,2964
1257411,2078,14,6230,51,3,45482,2904,2964
1257410,2078,14,4551,46,2,45482,2904,2964
1257409,2078,14,4493,45,2,45482,2904,2964
1257408,2078,14,6280,60,3,45482,2904,2964
1257407,2078,14,7673,64,3,45482,2904,2964
1257406,2078,14,6801,61,3,45482,2904,2964
1257405,2078,14,10413,58,5,45482,2904,2964
1257404,2078,14,8650,56,4,45482,2904,2964
1257403,2078,14,9109,55,4,45482,2904,2964
1257402,2078,14,2942,31,1,45482,2904,2964
1257401,2078,14,1075,65,0,45482,2904,2964
1257400,2078,14,713,57,0,45482,2904,2964
1257399,2078,14,2101,81,1,45482,2904,2964
1257398,2078,14,2529,18,1,45482,2904,2964
1257397,2078,14,2126,56,1,45482,2904,2964
1257396,2078,14,2618,57,1,45482,2904,2964
1257395,2078,14,1774,42,1,45482,2904,2964
1257394,2078,14,1437,0,1,45482,2904,2964
1254889,2078,14,551,100,0,45481,2917,2948
1254888,2078,14,1358,71,1,45481,2917,2948
1254887,2078,14,3166,86,2,45481,2917,2948
1254886,2078,14,3637,49,3,45481,2917,2948
1254885,2078,14,4881,70,4,45481,2917,2948
1254884,2078,14,5374,52,4,45481,2917,2948
1254883,2078,14,2995,35,2,45481,2917,2948
1254882,2078,14,5756,49,4,45481,2917,2948
1254881,2078,14,5048,54,4,45481,2917,2948
1254880,2078,14,2818,53,2,45481,2917,2948
1254879,2078,14,4248,73,3,45481,2917,2948
1254878,2078,14,2185,64,2,45481,2917,2948
1254877,2078,14,2720,64,2,45481,2917,2948
1254876,2078,14,6751,82,5,45481,2917,2948
1254875,2078,14,6542,69,5,45481,2917,2948
1254874,2078,14,6552,64,5,45481,2917,2948
1254873,2078,14,8441,49,6,45481,2917,2948
1254872,2078,14,7023,68,5,45481,2917,2948
1254871,2078,14,6238,53,5,45481,2917,2948
1254870,2078,14,3621,24,3,45481,2917,2948
1254869,2078,14,2596,66,2,45481,2917,2948
1254868,2078,14,5785,72,4,45481,2917,2948
1254867,2078,14,4643,60,3,45481,2917,2948
1254866,2078,14,4673,44,3,45481,2917,2948
1254865,2078,14,4198,65,3,45481,2917,2948
1254864,2078,14,3754,41,3,45481,2917,2948
1254863,2078,14,8531,64,6,45481,2917,2948
1254862,2078,14,4209,41,3,45481,2917,2948
1254861,2078,14,2904,58,2,45481,2917,2948
1254860,2078,14,3791,34,3,45481,2917,2948
1254859,2078,14,1805,45,1,45481,2917,2948
1254858,2078,14,80,0,0,45481,2917,2948
1254857,2078,14,39,0,0,45481,2917,2948
1252817,2078,14,453,100,0,45478,2920,2957
1252816,2078,14,3310,81,2,45478,2920,2957
1252815,2078,14,2591,60,2,45478,2920,2957
1252814,2078,14,3895,42,3,45478,2920,2957
1252813,2078,14,4894,81,4,45478,2920,2957
1252812,2078,14,6459,59,5,45478,2920,2957
1252811,2078,14,8408,51,6,45478,2920,2957
1252810,2078,14,12187,49,9,45478,2920,2957
1252809,2078,14,8271,56,6,45478,2920,2957
1252808,2078,14,8875,44,6,45478,2920,2957
1252807,2078,14,7377,40,5,45478,2920,2957
1252806,2078,14,7291,54,5,45478,2920,2957
1252805,2078,14,5329,45,4,45478,2920,2957
1252804,2078,14,7340,45,5,45478,2920,2957
1252803,2078,14,6610,45,5,45478,2920,2957
1252802,2078,14,7021,44,5,45478,2920,2957
1252801,2078,14,5123,14,4,45478,2920,2957
1252800,2078,14,2424,51,2,45478,2920,2957
1252799,2078,14,5937,63,4,45478,2920,2957
1252798,2078,14,4561,59,3,45478,2920,2957
1252797,2078,14,4781,33,3,45478,2920,2957
1252796,2078,14,3371,49,2,45478,2920,2957
1252795,2078,14,4174,31,3,45478,2920,2957
1252794,2078,14,5859,22,4,45478,2920,2957
1252793,2078,14,1237,6,1,45478,2920,2957
1252792,2078,14,428,0,0,45478,2920,2957
1250840,2078,14,34,100,0,45477,2955,2996
1250839,2078,14,770,83,0,45477,2955,2996
1250838,2078,14,5540,86,3,45477,2955,2996
1250837,2078,14,5872,44,3,45477,2955,2996
1250836,2078,14,8346,52,5,45477,2955,2996
1250835,2078,14,10397,45,6,45477,2955,2996
1250834,2078,14,6923,45,4,45477,2955,2996
1250833,2078,14,11982,41,7,45477,2955,2996
1250832,2078,14,12790,53,7,45477,2955,2996
1250831,2078,14,13472,53,7,45477,2955,2996
1250830,2078,14,13066,45,7,45477,2955,2996
1250829,2078,14,10717,59,6,45477,2955,2996
1250828,2078,14,7988,38,4,45477,2955,2996
