2-4全国各民族分性别、婚姻状况的15岁及以上人口-民族-民族,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-15岁及以上人口-合计,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-15岁及以上人口-男,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-15岁及以上人口-女,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-未婚-小计,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-未婚-男,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-未婚-女,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-有配偶-小计,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-有配偶-男,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-有配偶-女,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-离婚-小计,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-离婚-男,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-离婚-女,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-丧偶-小计,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-丧偶-男,2-4全国各民族分性别、婚姻状况的15岁及以上人口-单位：人-丧偶-女
布依族,244730.0,122061.0,122669.0,60288.0,37229.0,23059.0,161690.0,76980.0,84710.0,5803.0,3523.0,2280.0,16949.0,4329.0,12620.0
朝鲜族,90102.0,43629.0,46473.0,16636.0,9498.0,7138.0,59662.0,29855.0,29807.0,5415.0,2836.0,2579.0,8389.0,1440.0,6949.0
满  族,830441.0,426627.0,403814.0,157511.0,90496.0,67015.0,603199.0,308345.0,294854.0,27717.0,14827.0,12890.0,42014.0,12959.0,29055.0
侗  族,257068.0,133218.0,123850.0,59440.0,37994.0,21446.0,175498.0,86712.0,88786.0,6337.0,3928.0,2409.0,15793.0,4584.0,11209.0
瑶  族,229771.0,117997.0,111774.0,58306.0,36914.0,21392.0,152139.0,74528.0,77611.0,4877.0,2910.0,1967.0,14449.0,3645.0,10804.0
白  族,170556.0,84958.0,85598.0,39022.0,22306.0,16716.0,118284.0,58012.0,60272.0,3842.0,2120.0,1722.0,9408.0,2520.0,6888.0
土家族,738897.0,376988.0,361909.0,174145.0,103112.0,71033.0,504774.0,249790.0,254984.0,17229.0,10299.0,6930.0,42749.0,13787.0,28962.0
哈尼族,139210.0,71781.0,67429.0,35177.0,23318.0,11859.0,91729.0,44130.0,47599.0,3629.0,2330.0,1299.0,8675.0,2003.0,6672.0
哈萨克族,105349.0,51704.0,53645.0,23911.0,13212.0,10699.0,72910.0,36184.0,36726.0,2432.0,1201.0,1231.0,6096.0,1107.0,4989.0
傣  族,105686.0,51535.0,54151.0,21393.0,12874.0,8519.0,74566.0,35361.0,39205.0,3570.0,1870.0,1700.0,6157.0,1430.0,4727.0
黎  族,115448.0,59780.0,55668.0,34808.0,23234.0,11574.0,71445.0,33734.0,37711.0,2272.0,1404.0,868.0,6923.0,1408.0,5515.0
傈僳族,57318.0,28463.0,28855.0,13666.0,8768.0,4898.0,37542.0,17352.0,20190.0,2003.0,1185.0,818.0,4107.0,1158.0,2949.0
佤  族,33041.0,16466.0,16575.0,8037.0,5279.0,2758.0,21845.0,10230.0,11615.0,844.0,460.0,384.0,2315.0,497.0,1818.0
畲  族,54821.0,29895.0,24926.0,12067.0,7481.0,4586.0,38428.0,20755.0,17673.0,1109.0,712.0,397.0,3217.0,947.0,2270.0
高山族,249.0,119.0,130.0,64.0,37.0,27.0,168.0,77.0,91.0,6.0,2.0,4.0,11.0,3.0,8.0
拉祜族,36230.0,18034.0,18196.0,7661.0,5308.0,2353.0,24710.0,11311.0,13399.0,1263.0,765.0,498.0,2596.0,650.0,1946.0
水  族,33059.0,16833.0,16226.0,8645.0,5396.0,3249.0,21650.0,10458.0,11192.0,677.0,429.0,248.0,2087.0,550.0,1537.0
东乡族,46815.0,22987.0,23828.0,8541.0,5125.0,3416.0,35458.0,16900.0,18558.0,702.0,354.0,348.0,2114.0,608.0,1506.0
纳西族,26765.0,13064.0,13701.0,5821.0,3296.0,2525.0,18584.0,9055.0,9529.0,518.0,254.0,264.0,1842.0,459.0,1383.0
景颇族,11040.0,5196.0,5844.0,2716.0,1629.0,1087.0,7141.0,3215.0,3926.0,365.0,212.0,153.0,818.0,140.0,678.0
柯尔克孜族,14884.0,7417.0,7467.0,3601.0,1974.0,1627.0,10077.0,5062.0,5015.0,490.0,260.0,230.0,716.0,121.0,595.0
土  族,21382.0,10756.0,10626.0,5118.0,2995.0,2123.0,14622.0,7124.0,7498.0,532.0,325.0,207.0,1110.0,312.0,798.0
达斡尔族,10385.0,4942.0,5443.0,2418.0,1417.0,1001.0,6742.0,3142.0,3600.0,598.0,268.0,330.0,627.0,115.0,512.0
仫佬族,19201.0,9639.0,9562.0,4847.0,2924.0,1923.0,12738.0,6159.0,6579.0,550.0,281.0,269.0,1066.0,275.0,791.0
羌  族,26321.0,12985.0,13336.0,6092.0,3458.0,2634.0,18247.0,8854.0,9393.0,552.0,306.0,246.0,1430.0,367.0,1063.0
布朗族,9420.0,4666.0,4754.0,2346.0,1499.0,847.0,6333.0,2938.0,3395.0,193.0,109.0,84.0,548.0,120.0,428.0
撒拉族,10614.0,5385.0,5229.0,2193.0,1340.0,853.0,7728.0,3842.0,3886.0,271.0,105.0,166.0,422.0,98.0,324.0
毛南族,8456.0,4255.0,4201.0,2101.0,1302.0,799.0,5554.0,2683.0,2871.0,210.0,135.0,75.0,591.0,135.0,456.0
仡佬族,45566.0,23467.0,22099.0,11409.0,6696.0,4713.0,30905.0,15456.0,15449.0,917.0,505.0,412.0,2335.0,810.0,1525.0
锡伯族,15546.0,8105.0,7441.0,3466.0,1947.0,1519.0,10672.0,5614.0,5058.0,716.0,360.0,356.0,692.0,184.0,508.0
阿昌族,3000.0,1488.0,1512.0,772.0,455.0,317.0,1973.0,948.0,1025.0,64.0,46.0,18.0,191.0,39.0,152.0
普米族,3310.0,1667.0,1643.0,955.0,565.0,390.0,2094.0,1023.0,1071.0,61.0,39.0,22.0,200.0,40.0,160.0
塔吉克族,3762.0,1894.0,1868.0,1006.0,570.0,436.0,2458.0,1240.0,1218.0,91.0,41.0,50.0,207.0,43.0,164.0
怒  族,2617.0,1308.0,1309.0,694.0,428.0,266.0,1621.0,747.0,874.0,131.0,80.0,51.0,171.0,53.0,118.0
乌孜别克族,959.0,493.0,466.0,258.0,138.0,120.0,599.0,328.0,271.0,42.0,13.0,29.0,60.0,14.0,46.0
俄罗斯族,1316.0,603.0,713.0,296.0,153.0,143.0,858.0,412.0,446.0,87.0,30.0,57.0,75.0,8.0,67.0
鄂温克族,2584.0,1211.0,1373.0,686.0,404.0,282.0,1613.0,718.0,895.0,129.0,63.0,66.0,156.0,26.0,130.0
德昂族,1549.0,763.0,786.0,336.0,192.0,144.0,1054.0,523.0,531.0,58.0,32.0,26.0,101.0,16.0,85.0
保安族,1476.0,727.0,749.0,284.0,178.0,106.0,1087.0,514.0,573.0,29.0,15.0,14.0,76.0,20.0,56.0
裕固族,1167.0,583.0,584.0,246.0,127.0,119.0,810.0,413.0,397.0,52.0,29.0,23.0,59.0,14.0,45.0
京  族,2322.0,1196.0,1126.0,610.0,389.0,221.0,1542.0,754.0,788.0,65.0,32.0,33.0,105.0,21.0,84.0
塔塔尔族,281.0,144.0,137.0,72.0,41.0,31.0,179.0,97.0,82.0,14.0,5.0,9.0,16.0,1.0,15.0
独龙族,526.0,256.0,270.0,153.0,103.0,50.0,308.0,135.0,173.0,25.0,12.0,13.0,40.0,6.0,34.0
鄂伦春族,684.0,328.0,356.0,162.0,91.0,71.0,451.0,207.0,244.0,46.0,26.0,20.0,25.0,4.0,21.0
赫哲族,418.0,180.0,238.0,91.0,43.0,48.0,288.0,125.0,163.0,21.0,10.0,11.0,18.0,2.0,16.0
门巴族,784.0,381.0,403.0,226.0,129.0,97.0,490.0,229.0,261.0,12.0,6.0,6.0,56.0,17.0,39.0
珞巴族,294.0,132.0,162.0,90.0,45.0,45.0,170.0,77.0,93.0,7.0,4.0,3.0,27.0,6.0,21.0
基诺族,2000.0,998.0,1002.0,446.0,284.0,162.0,1362.0,644.0,718.0,78.0,37.0,41.0,114.0,33.0,81.0
未定族称人口,50803.0,26356.0,24447.0,14157.0,8328.0,5829.0,32788.0,16428.0,16360.0,1156.0,843.0,313.0,2702.0,757.0,1945.0
入  籍,1194.0,429.0,765.0,278.0,151.0,127.0,864.0,268.0,596.0,20.0,7.0,13.0,32.0,3.0,29.0
