队号-队号,队员一-性别,队员一-特长,队员一-专业,队员一-年级,队员一-参赛经历,队员一-专业排名,队员二-性别,队员二-特长,队员二-专业,队员二-年级,队员二-参赛经历,队员二-专业排名,队员三-性别,队员三-特长,队员三-专业,队员三-年级,队员三-参赛经历,队员三-专业排名
77,女,写作,材料,1,0,6/120,男,编程,机械类,3,0,12/77,女,建模,机械类,1,0,8/75
78,男,建模,大数据,2,1,7/60,男,编程,电子信息,2,1,60/94,女,写作,土木,2,1,96/310
79,女,写作,交运,2,1,5/78,男,编程,交运,2,0,17/78,男,建模,自动化,3,0,20/67
80,男,建模,土木,3,1,24/308,女,写作,大数据,1,0,21/58,女,编程,电科,3,1,9/50
81,男,建模,给排水,1,0,1/122,男,编程,机械电子,3,0,6/72,女,写作,会计,3,1,2/148
82,男,建模,自动化,1,0,1/59,女,编程,通信,1,0,1/102,女,写作,通信,3,0,10/108
83,男,建模,信管,2,0,40/96,男,写作,工程管理,1,0,16/35,男,编程,信管,2,1,2/96
84,女,写作,给排水,2,1,41/121,男,编程,机械类,1,0,52/75,女,建模,应数,3,1,42/45
85,女,写作,材卓,2,1,5/56,女,建模,材卓,2,1,2/56,男,编程,自动化,1,0,44/59
86,男,写作,土木,2,0,15/310,男,建模,土木,3,1,50/308,女,编程,交通工程,1,0,9/93
87,男,编程,电科,2,1,11/51,女,写作,土木,3,0,34/308,男,建模,安全,1,0,5/89
88,男,写作,金属,2,0,13/47,男,编程,采矿,1,0,1/120,男,写作,金属,2,1,15/47
89,男,建模,应数,2,0,1/60,男,写作,应数,2,1,12/60,男,编程,土木,2,0,12/310
90,男,编程,通信,2,1,68/115,女,写作,建筑,1,0,11/73,男,建模,信管,2,1,41/96
91,男,写作,自动化,2,1,54/69,男,建模,自动化,2,0,2/69,男,编程,自动化,3,0,5/67
92,女,写作,环科,2,1,9/42,女,建模,应数,2,1,6/60,女,编程,计算机,1,0,12/120
93,男,建模,电气,1,0,1/92,女,编程,通信,3,1,12/108,女,写作,应数,3,1,14/45
94,男,编程,土木,3,1,10/308,男,建模,土木,3,1,3/308,男,写作,土木,1,0,11/300
95,男,编程,力学,1,0,13/72,男,写作,机制,2,0,36/62,男,建模,土木,3,1,64/308
96,男,编程,机械电子,2,1,17/79,男,写作,材料,3,2,97/119,男,建模,机械电子,1,0,5/77
97,女,写作,大数据,2,1,12/60,女,建模,大数据,3,0,7/63,男,编程,材料,1,0,38/120
98,男,编程,安全,3,0,17/87,女,建模,安全,3,1,20/87,女,写作,安全,2,0,37/93
99,男,建模,电科,1,0,9/50,男,写作,电科,2,0,17/51,女,编程,计算机,1,0,42/120
100,男,建模,应数,2,1,16/60,女,编程,环工,2,1,2/45,男,写作,环工,1,0,6/46
101,女,写作,应化,2,0,7/41,女,建模,应数,1,0,42/59,女,编程,计算机,3,0,12/128
102,男,建模,土木,3,0,11/308,男,编程,土木,3,1,8/308,女,写作,交通工程,2,0,9/97
103,男,建模,智能,3,1,2/63,男,编程,智能,2,1,40/65,女,写作,计算机,3,1,51/128
104,女,写作,材应,3,0,18/122,男,编程,计算机,2,1,10/123,女,建模,应数,1,0,3/59
105,男,建模,工程,2,0,1/85,男,编程,工程,2,1,22/85,男,写作,工程,2,0,26/85
106,男,建模,冶金,3,1,1/59,男,写作,冶金,3,1,20/59,男,编程,冶金,2,1,6/60
107,女,建模,应数,2,1,30/60,女,编程,电科,1,0,6/50,女,写作,给排水,1,0,36/122
108,男,建模,机械类,3,1,6/77,女,写作,给排水,2,0,39/121,男,编程,城地,3,1,30/68
109,女,建模,环工,2,1,5/45,女,写作,环工,3,0,21/41,男,编程,计算机,2,0,20/123
110,男,编程,给排水,1,0,18/122,男,写作,给排水,3,0,39/125,男,建模,电气,3,0,6/91
111,男,建模,安全,1,0,12/89,男,编程,安全,3,0,9/87,女,写作,安全,3,0,21/87
112,男,建模,智能,3,1,12/63,女,写作,建环,3,1,2/126,男,编程,智能,2,1,14/65
113,女,建模,电气,3,0,42/91,男,编程,机械类,1,0,71/75,女,写作,电气,3,0,28/91
114,女,编程,电科,3,0,4/50,男,建模,土木,1,0,35/300,女,写作,交运,1,0,2/72
115,女,写作,安全,3,0,3/87,男,建模,电气,3,1,42/91,女,编程,化工,2,1,34/78
116,男,编程,计算机,1,0,90/120,女,建模,力学,2,1,2/30,女,写作,力学,3,1,8/70
117,女,建模,土木,3,0,76/308,女,编程,应数,2,0,30/60,女,写作,给排水,2,0,2/121
118,男,写作,建环,3,2,33/126,男,建模,化工,3,0,25/76,男,编程,自动化,3,0,28/67
119,男,建模,应数,2,0,13/60,女,写作,材成,1,0,5/60,男,编程,材料,3,1,70/119
120,男,建模,应数,3,1,30/45,女,编程,安全,2,0,20/93,男,写作,给排水,2,0,46/121
121,女,建模,应数,3,0,1/45,男,编程,计算机,1,0,23/120,女,写作,机制,3,1,22/68
122,男,编程,安全,3,1,4/87,男,写作,安全,2,0,14/93,男,建模,安全,1,0,6/89
123,女,写作,安全,3,0,44/87,男,建模,电气,3,1,25/91,女,编程,安全,3,1,20/87
124,女,建模,土木,3,0,28/308,女,编程,应数,1,0,16/59,女,写作,土木,1,0,62/300
125,男,写作,土木,1,0,14/300,男,建模,土木,2,0,3/310,男,编程,计算机,3,0,5/128
126,男,建模,应数,3,1,31/45,男,编程,应数,3,0,28/45,男,写作,土木,2,0,40/310
127,男,写作,应数,2,1,24/60,男,建模,应数,2,0,20/60,女,编程,计算机,3,1,75/128
128,女,写作,自动化,1,0,56/59,女,建模,通信,3,1,8/108,女,编程,计算机,2,1,14/123
129,男,建模,应数,2,1,50/60,男,编程,应数,1,0,45/59,女,写作,给排水,2,0,10/121
130,男,建模,应数,3,0,4/45,女,编程,通信,3,1,17/108,女,写作,通信,2,1,5/115
131,女,写作,给排水,2,1,70/121,女,建模,建环,1,0,23/121,男,编程,金属,2,1,3/47
132,男,建模,应数,3,2,41/45,男,写作,电气,2,1,17/89,女,编程,计算机,3,0,25/128
133,女,建模,应数,3,0,20/45,男,编程,应数,2,0,32/60,女,写作,材料,3,1,28/119
134,男,建模,工程,2,0,36/85,男,写作,工程,3,1,29/80,男,编程,工程,2,0,2/85
135,男,写作,自动化,2,0,6/69,男,编程,自动化,2,1,2/69,男,建模,自动化,2,1,30/69
136,男,建模,应数,3,0,7/45,男,编程,应数,1,0,3/59,女,写作,建环,1,0,19/121
137,男,写作,材成,3,1,22/63,女,建模,计算机,3,1,38/128,男,编程,计算机,1,0,20/120
138,男,写作,材料,2,1,16/128,男,建模,土木,2,1,17/310,女,编程,计算机,3,1,3/128
139,男,建模,材科,3,1,15/105,男,写作,功能,1,0,12/66,男,编程,土木,1,0,48/300
140,女,写作,给排水,1,0,23/122,男,建模,土木,2,0,4/310,男,编程,自动化,2,1,37/69
141,女,建模,应数,3,1,15/45,女,写作,智能,2,0,24/65,男,编程,计算机,2,1,46/123
142,女,建模,大数据,2,0,2/60,女,写作,大数据,1,0,56/58,男,编程,土木,3,0,32/308
143,女,建模,新能源,2,0,2/65,男,编程,电子信息,3,2,3/92,女,写作,电子信息,1,0,1/85
144,男,建模,计算机,1,0,45/120,男,编程,计算机,2,1,41/123,女,写作,化工,1,0,7/75
145,女,写作,工商,2,0,2/52,女,建模,安全,1,0,10/89,男,编程,土木,3,1,60/308
146,男,写作,通信,3,0,15/108,男,建模,通信,2,1,70/115,男,编程,通信,1,0,21/102
147,女,写作,电气,1,0,2/92,男,建模,机制,3,1,10/68,男,编程,计算机,2,0,23/123
148,女,写作,给排水,2,0,4/121,男,编程,给排水,3,0,38/125,男,建模,机制,3,0,1/68
149,男,建模,机制,3,0,3/68,男,编程,机制,2,1,18/62,女,写作,自动化,2,1,8/69
150,女,编程,材成,1,0,9/60,女,建模,材成,1,0,8/60,男,写作,材成,1,0,9/60
151,男,建模,应数,3,1,9/45,男,写作,应数,2,1,30/60,男,编程,材应,1,0,20/125
152,男,写作,化工,2,1,17/78,男,建模,应数,1,0,31/59,男,编程,电科,2,0,1/51
153,男,编程,大数据,3,0,5/63,女,建模,自动化,2,0,10/69,女,写作,应数,3,1,28/45
154,女,建模,交运,3,0,12/76,女,写作,交运,1,0,21/72,男,编程,交运,1,0,35/72
155,男,编程,土木,2,1,1/310,男,建模,土木,2,0,10/310,男,写作,土木,2,0,40/310
156,女,写作,大数据,1,0,44/58,男,编程,电科,3,2,12/50,女,建模,工程,3,0,6/80
157,男,建模,金属,3,0,1/40,男,编程,通信,2,1,35/115,男,写作,材科,3,1,1/105
158,女,写作,应数,3,0,20/45,女,建模,应数,1,0,15/59,男,编程,电子信息,3,1,2/92
159,男,建模,材应,2,0,16/129,女,写作,通信,3,0,7/108,男,编程,自动化,2,0,6/69
160,女,建模,给排水,2,0,20/121,女,写作,给排水,2,0,67/121,男,编程,电科,3,1,4/50
161,男,编程,自动化,1,0,15/59,女,写作,大数据,1,0,3/58,女,建模,大数据,2,1,8/60
162,女,建模,应数,1,0,2/59,男,写作,机制,1,0,1/66,男,编程,应数,2,2,41/60
163,男,写作,智能,1,0,1/60,男,编程,计算机,3,1,4/128,男,建模,环工,2,0,29/45
164,女,建模,大数据,1,0,11/58,女,写作,大数据,1,0,35/58,男,编程,自动化,2,1,22/69
165,男,编程,新能源,1,0,6/63,男,建模,新能源,1,0,45/63,男,写作,交通工程,3,0,6/96
166,男,建模,冶金,1,0,30/52,男,建模,冶金,3,0,28/59,男,写作,冶金,3,1,13/59
167,男,写作,应数,1,0,15/59,男,编程,工程,2,0,39/85,男,建模,土木,2,1,23/310
168,男,建模,材应,1,0,45/125,女,写作,给排水,3,1,78/125,女,编程,应数,2,1,18/60
169,女,写作,大数据,3,1,2/63,男,编程,交运,2,1,9/78,女,建模,计算机,1,0,8/120
170,男,编程,计算机,3,1,13/128,女,建模,计算机,1,0,10/120,男,写作,大数据,1,0,22/58
171,男,编程,大数据,3,1,45/63,男,写作,电子信息,1,0,45/85,男,建模,应数,2,1,11/60
172,女,建模,应数,2,1,6/60,男,写作,机制,1,0,33/66,女,编程,冶金,3,2,4/59
173,男,编程,给排水,1,0,10/122,男,建模,应数,1,0,59/67,男,写作,环工,1,0,1/46
174,女,写作,自动化,3,1,4/67,女,编程,计算机,1,0,2/120,女,建模,材应,3,1,12/122
175,女,建模,智能,3,1,6/63,男,写作,应数,3,1,1/45,女,编程,建环,1,0,4/121
