"4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Region-Gender","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Total-Total","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Neverattendedschool-Neverattendedschool","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Preschooleducation-Preschooleducation","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-PrimarySchool-PrimarySchool","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Juniorhighschool-Juniorhighschool","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-HighSchool-HighSchool","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-College(AssociateDegree)-College(AssociateDegree)","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Bachelor'sdegree-Bachelor'sdegree","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Master's-GraduateStudent","4-2EmployedPopulationbyRegion,Sex,andEducationalAttainment-Unit:Person-Doctorate-GraduateStudent"
Guangxi,2013956.0,19731.0,1004.0,396370.0,983505.0,278621.0,182626.0,141368.0,9697.0,1034.0
Hainan,422630.0,5745.0,166.0,46977.0,212406.0,71234.0,45151.0,38217.0,2445.0,289.0
,,,,,,,,,,
Chongqing,1526217.0,10033.0,790.0,313423.0,561333.0,280186.0,189826.0,154974.0,13849.0,1803.0
Sichuan,4552395.0,106334.0,6237.0,1122456.0,1816880.0,668354.0,456733.0,339520.0,31997.0,3884.0
Guizhou,1480345.0,73842.0,622.0,414811.0,578052.0,139962.0,129431.0,135700.0,7123.0,802.0
Yunnan,2519755.0,74783.0,1499.0,866172.0,940006.0,249250.0,194762.0,181298.0,10682.0,1303.0
Tibet,117903.0,23182.0,307.0,35192.0,23253.0,8863.0,11539.0,14849.0,671.0,47.0
,,,,,,,,,,
Shaanxi,1606941.0,21426.0,854.0,209243.0,673976.0,267329.0,228571.0,180923.0,21435.0,3184.0
Gansu,959370.0,42263.0,429.0,230613.0,326712.0,128204.0,116895.0,106192.0,6982.0,1080.0
Qinghai,226183.0,12320.0,185.0,57922.0,67123.0,25814.0,30019.0,31035.0,1596.0,169.0
Ningxia,314750.0,7233.0,102.0,60983.0,112456.0,45138.0,44627.0,41217.0,2765.0,229.0
Xinjiang,1113838.0,10549.0,330.0,200601.0,432755.0,163260.0,172910.0,126000.0,6786.0,647.0
,,,,,,,,,,
Male,38880798.0,267808.0,15434.0,5659907.0,17529029.0,7144810.0,4338607.0,3490431.0,377595.0,57177.0
,,,,,,,,,,
Beijing,587409.0,877.0,75.0,18986.0,140057.0,101785.0,101386.0,165242.0,49293.0,9708.0
Tianjin,308218.0,753.0,41.0,21968.0,111769.0,54775.0,46775.0,62591.0,8388.0,1158.0
Hebei,1991602.0,5694.0,416.0,237338.0,1097390.0,321021.0,194779.0,124853.0,9209.0,902.0
Shanxi,941097.0,2939.0,200.0,89228.0,458744.0,179122.0,122804.0,81618.0,5731.0,711.0
Inner Mongolia,646349.0,5031.0,81.0,94207.0,266237.0,108063.0,94957.0,72417.0,4915.0,441.0
,,,,,,,,,,
Liaoning,1075189.0,1985.0,126.0,123631.0,521676.0,162266.0,129054.0,123666.0,11381.0,1404.0
Jilin,593245.0,2141.0,81.0,96465.0,261765.0,100057.0,62179.0,63812.0,5803.0,942.0
Heilongjiang,767860.0,2620.0,196.0,110735.0,371039.0,127033.0,81136.0,69305.0,4969.0,827.0
,,,,,,,,,,
Shanghai,743847.0,2149.0,131.0,40768.0,228249.0,137913.0,119490.0,168374.0,40700.0,6073.0
Jiangsu,2401192.0,10882.0,1001.0,253137.0,998966.0,498390.0,336176.0,267640.0,30516.0,4484.0
Zhejiang,2188814.0,15436.0,1172.0,377234.0,942739.0,388738.0,235997.0,203634.0,20978.0,2886.0
Anhui,1682501.0,22014.0,916.0,272351.0,784611.0,281655.0,177155.0,129791.0,12387.0,1621.0
Fujian,1211954.0,6096.0,578.0,208101.0,536812.0,219830.0,118912.0,112130.0,8215.0,1280.0
Jiangxi,1332119.0,4786.0,408.0,197051.0,660969.0,254134.0,124215.0,83321.0,6260.0,975.0
Shandong,2810385.0,22185.0,1058.0,358225.0,1345533.0,515999.0,312013.0,230039.0,22341.0,2992.0
,,,,,,,,,,
Henan,2409067.0,16005.0,1096.0,295660.0,1242294.0,465867.0,232852.0,141538.0,11991.0,1764.0
Hubei,1807305.0,6813.0,762.0,231162.0,813091.0,395630.0,200310.0,139992.0,16429.0,3116.0
Hunan,1831395.0,5678.0,942.0,218460.0,859094.0,436216.0,183113.0,116154.0,9877.0,1861.0
Guangdong,3779739.0,7381.0,1173.0,326613.0,1682332.0,915300.0,459501.0,344970.0,37571.0,4898.0
Guangxi,1154817.0,4275.0,377.0,197235.0,598257.0,176965.0,99858.0,72157.0,5043.0,650.0
Hainan,249450.0,1278.0,81.0,21848.0,129243.0,47253.0,26958.0,21308.0,1313.0,168.0
,,,,,,,,,,
Chongqing,891118.0,2947.0,336.0,169919.0,347463.0,175564.0,104088.0,82169.0,7488.0,1144.0
Sichuan,2578043.0,33798.0,2388.0,586942.0,1096942.0,411068.0,246732.0,180397.0,17238.0,2538.0
Guizhou,872038.0,15507.0,179.0,222202.0,389023.0,92502.0,74705.0,73792.0,3613.0,515.0
Yunnan,1430686.0,23001.0,565.0,450664.0,593925.0,155697.0,107818.0,92907.0,5330.0,779.0
Tibet,70367.0,10976.0,172.0,22223.0,16108.0,5843.0,6658.0,7932.0,420.0,35.0
,,,,,,,,,,
Shaanxi,980785.0,8003.0,403.0,116473.0,434182.0,176449.0,133603.0,98477.0,11166.0,2029.0
Gansu,573950.0,13797.0,181.0,122614.0,216873.0,88534.0,68765.0,58927.0,3576.0,683.0
Qinghai,135636.0,5212.0,91.0,33640.0,45515.0,16676.0,17441.0,16152.0,806.0,103.0
Ningxia,193621.0,2675.0,35.0,34115.0,77264.0,30534.0,25720.0,21787.0,1367.0,124.0
Xinjiang,641000.0,4874.0,173.0,110712.0,260867.0,103931.0,93457.0,63339.0,3281.0,366.0
,,,,,,,,,,
Female,26750988.0,589798.0,22322.0,5034972.0,10459437.0,3925158.0,3287095.0,3047822.0,350890.0,33494.0
,,,,,,,,,,
Beijing,427598.0,1304.0,69.0,12229.0,64120.0,54405.0,82043.0,158132.0,49319.0,5977.0
Tianjin,196447.0,978.0,22.0,12841.0,54229.0,27867.0,34276.0,56629.0,8787.0,818.0
Hebei,1341028.0,11694.0,482.0,200125.0,655641.0,182569.0,157196.0,122099.0,10500.0,722.0
Shanxi,510966.0,2997.0,162.0,56055.0,205541.0,81063.0,82743.0,74556.0,7229.0,620.0
Inner Mongolia,403201.0,9564.0,89.0,72665.0,133898.0,51980.0,62195.0,66445.0,6012.0,353.0
,,,,,,,,,,
Liaoning,724225.0,3102.0,134.0,92474.0,309839.0,94433.0,98017.0,112799.0,12289.0,1138.0
Jilin,415641.0,3264.0,81.0,78491.0,162326.0,57446.0,46513.0,60461.0,6297.0,762.0
Heilongjiang,515541.0,3364.0,142.0,83717.0,223154.0,75245.0,60186.0,63796.0,5195.0,742.0
,,,,,,,,,,
Shanghai,521075.0,3977.0,97.0,31111.0,121711.0,70936.0,94640.0,157333.0,37785.0,3485.0
Jiangsu,1661557.0,26807.0,1683.0,243736.0,617154.0,274161.0,241328.0,228990.0,25364.0,2334.0
Zhejiang,1453422.0,29721.0,1419.0,284536.0,547256.0,203433.0,182008.0,185774.0,17817.0,1458.0
Anhui,1084198.0,45966.0,1414.0,245896.0,429198.0,135452.0,121655.0,94816.0,9159.0,642.0
Fujian,840932.0,20463.0,1444.0,211344.0,302336.0,112715.0,92787.0,91886.0,7234.0,723.0
Jiangxi,928852.0,12051.0,798.0,204525.0,421182.0,134319.0,88863.0,61475.0,5225.0,414.0
Shandong,1954487.0,54775.0,1591.0,364175.0,814898.0,278895.0,222718.0,193341.0,22206.0,1888.0
,,,,,,,,,,
Henan,1815975.0,35199.0,1342.0,300506.0,854895.0,291889.0,187823.0,130429.0,12803.0,1089.0
Hubei,1239363.0,17909.0,1380.0,226480.0,503096.0,219944.0,143662.0,111172.0,14021.0,1699.0
Hunan,1209685.0,10362.0,1085.0,172219.0,525713.0,247546.0,143892.0,99281.0,8672.0,915.0
Guangdong,2424023.0,15203.0,1344.0,275671.0,990455.0,485661.0,347263.0,276459.0,29589.0,2378.0
Guangxi,859139.0,15456.0,627.0,199135.0,385248.0,101656.0,82768.0,69211.0,4654.0,384.0
Hainan,173180.0,4467.0,85.0,25129.0,83163.0,23981.0,18193.0,16909.0,1132.0,121.0
,,,,,,,,,,
Chongqing,635099.0,7086.0,454.0,143504.0,213870.0,104622.0,85738.0,72805.0,6361.0,659.0
Sichuan,1974352.0,72536.0,3849.0,535514.0,719938.0,257286.0,210001.0,159123.0,14759.0,1346.0
Guizhou,608307.0,58335.0,443.0,192609.0,189029.0,47460.0,54726.0,61908.0,3510.0,287.0
Yunnan,1089069.0,51782.0,934.0,415508.0,346081.0,93553.0,86944.0,88391.0,5352.0,524.0
Tibet,47536.0,12206.0,135.0,12969.0,7145.0,3020.0,4881.0,6917.0,251.0,12.0
,,,,,,,,,,
Shaanxi,626156.0,13423.0,451.0,92770.0,239794.0,90880.0,94968.0,82446.0,10269.0,1155.0
Gansu,385420.0,28466.0,248.0,107999.0,109839.0,39670.0,48130.0,47265.0,3406.0,397.0
Qinghai,90547.0,7108.0,94.0,24282.0,21608.0,9138.0,12578.0,14883.0,790.0,66.0
Ningxia,121129.0,4558.0,67.0,26868.0,35192.0,14604.0,18907.0,19430.0,1398.0,105.0
Xinjiang,472838.0,5675.0,157.0,89889.0,171888.0,59329.0,79453.0,62661.0,3505.0,281.0
