7-3全国按现住地、职业和性别分的户口登记地在外省人口-现住地-现住地-现住地,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-合计-合计-合计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-合计-合计-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-合计-合计-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-专业技术人员-专业技术人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-专业技术人员-专业技术人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-专业技术人员-专业技术人员-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-办事人员和有关人员-办事人员和有关人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-办事人员和有关人员-办事人员和有关人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-办事人员和有关人员-办事人员和有关人员-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-农、林、牧、渔业-生产及辅助人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-农、林、牧、渔业-生产及辅助人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-农、林、牧、渔业-生产及辅助人员-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-生产制造及有关人员-生产制造及有关人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-生产制造及有关人员-生产制造及有关人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-生产制造及有关人员-生产制造及有关人员-女,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-小计,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-男,7-3全国按现住地、职业和性别分的户口登记地在外省人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-女
安    徽,82897.0,55159.0,27738.0,3361.0,2674.0,687.0,9114.0,5653.0,3461.0,4813.0,2994.0,1819.0,26917.0,15586.0,11331.0,2420.0,948.0,1472.0,36171.0,27234.0,8937.0,101.0,70.0,31.0
福    建,384469.0,244883.0,139586.0,3809.0,3047.0,762.0,19154.0,11396.0,7758.0,13754.0,8531.0,5223.0,119604.0,70961.0,48643.0,5389.0,3337.0,2052.0,222297.0,147306.0,74991.0,462.0,305.0,157.0
江    西,59209.0,39906.0,19303.0,2619.0,2044.0,575.0,6477.0,3953.0,2524.0,3315.0,2042.0,1273.0,19017.0,10891.0,8126.0,1510.0,752.0,758.0,26102.0,20121.0,5981.0,169.0,103.0,66.0
山    东,207978.0,138602.0,69376.0,6418.0,4839.0,1579.0,16792.0,9271.0,7521.0,7887.0,4929.0,2958.0,73987.0,43586.0,30401.0,6676.0,3852.0,2824.0,95520.0,71616.0,23904.0,698.0,509.0,189.0
,,,,,,,,,,,,,,,,,,,,,,,,
河    南,59152.0,39212.0,19940.0,2535.0,1996.0,539.0,6729.0,3785.0,2944.0,3644.0,2273.0,1371.0,24479.0,14598.0,9881.0,1394.0,505.0,889.0,20204.0,15951.0,4253.0,167.0,104.0,63.0
湖    北,95815.0,60503.0,35312.0,2895.0,2234.0,661.0,12067.0,6623.0,5444.0,5085.0,2964.0,2121.0,43784.0,25337.0,18447.0,3867.0,1750.0,2117.0,27870.0,21433.0,6437.0,247.0,162.0,85.0
湖    南,70209.0,43956.0,26253.0,2399.0,1762.0,637.0,8037.0,4576.0,3461.0,4050.0,2410.0,1640.0,30530.0,17635.0,12895.0,2000.0,833.0,1167.0,22849.0,16531.0,6318.0,344.0,209.0,135.0
广    东,2311025.0,1475865.0,835160.0,58510.0,44409.0,14101.0,171767.0,102894.0,68873.0,110721.0,62144.0,48577.0,779402.0,488616.0,290786.0,16854.0,10063.0,6791.0,1171857.0,766562.0,405295.0,1914.0,1177.0,737.0
广    西,79704.0,53840.0,25864.0,3687.0,2892.0,795.0,7095.0,4338.0,2757.0,4405.0,2888.0,1517.0,33600.0,20233.0,13367.0,2406.0,1058.0,1348.0,28262.0,22272.0,5990.0,249.0,159.0,90.0
海    南,49794.0,34158.0,15636.0,2080.0,1591.0,489.0,3991.0,2146.0,1845.0,2475.0,1592.0,883.0,20131.0,12335.0,7796.0,3897.0,2398.0,1499.0,16754.0,13774.0,2980.0,466.0,322.0,144.0
,,,,,,,,,,,,,,,,,,,,,,,,
重    庆,111718.0,70124.0,41594.0,2322.0,1818.0,504.0,14086.0,7647.0,6439.0,8268.0,4809.0,3459.0,50998.0,29202.0,21796.0,1699.0,590.0,1109.0,34171.0,25942.0,8229.0,174.0,116.0,58.0
四    川,131479.0,82506.0,48973.0,2838.0,2291.0,547.0,17984.0,10344.0,7640.0,9900.0,5871.0,4029.0,60499.0,34979.0,25520.0,4625.0,1557.0,3068.0,35477.0,27366.0,8111.0,156.0,98.0,58.0
贵    州,78562.0,53626.0,24936.0,3930.0,3126.0,804.0,7901.0,4816.0,3085.0,5210.0,3548.0,1662.0,35644.0,21681.0,13963.0,1950.0,714.0,1236.0,23769.0,19630.0,4139.0,158.0,111.0,47.0
云    南,126188.0,87616.0,38572.0,4003.0,3125.0,878.0,9765.0,6446.0,3319.0,5380.0,3780.0,1600.0,62680.0,39304.0,23376.0,5143.0,2874.0,2269.0,39071.0,31990.0,7081.0,146.0,97.0,49.0
西    藏,24014.0,16831.0,7183.0,939.0,711.0,228.0,2389.0,1565.0,824.0,2095.0,1588.0,507.0,11093.0,6794.0,4299.0,502.0,305.0,197.0,6863.0,5775.0,1088.0,133.0,93.0,40.0
,,,,,,,,,,,,,,,,,,,,,,,,
陕    西,81072.0,56188.0,24884.0,2207.0,1772.0,435.0,9169.0,5220.0,3949.0,3931.0,2513.0,1418.0,38641.0,24362.0,14279.0,832.0,491.0,341.0,26180.0,21748.0,4432.0,112.0,82.0,30.0
甘    肃,35386.0,24975.0,10411.0,732.0,612.0,120.0,3466.0,2165.0,1301.0,1588.0,1058.0,530.0,15372.0,9650.0,5722.0,942.0,503.0,439.0,13236.0,10947.0,2289.0,50.0,40.0,10.0
青    海,22862.0,16214.0,6648.0,936.0,803.0,133.0,2130.0,1351.0,779.0,1010.0,681.0,329.0,11527.0,7514.0,4013.0,458.0,287.0,171.0,6750.0,5538.0,1212.0,51.0,40.0,11.0
宁    夏,34463.0,24155.0,10308.0,801.0,701.0,100.0,2651.0,1496.0,1155.0,1232.0,836.0,396.0,15775.0,9733.0,6042.0,1845.0,1009.0,836.0,12058.0,10337.0,1721.0,101.0,43.0,58.0
新    疆,191800.0,130589.0,61211.0,3274.0,2741.0,533.0,20687.0,11596.0,9091.0,11981.0,8632.0,3349.0,79407.0,47685.0,31722.0,12878.0,7755.0,5123.0,63293.0,51992.0,11301.0,280.0,188.0,92.0
