JointVentureMerchandiseGrossMargin-MajorCategory,JointVentureMerchandiseGrossMargin-MediumCategory,JointVentureMerchandiseGrossMargin-Sub-category,JointVentureMerchandiseGrossMargin-GrossMarginofMerchandise
,,Dining Utensil Cylinder/Base,13-18
,,Grid,13-18
,,ashtray,13-18
,,Toolbox,13-18
,,Locker,
,Comprehensive Network Framework,Dining Utensil Rack,13-18
,,Towel Rack,13-18
,,Fork and knife rack,13-18
,,Towel Rack,13-18
,,Toothbrush Holder,13-18
,,Tissue Paper Rack,13-18
,,Bath Curtain,13-18
,,Bath Curtain Rod,13-18
,,Miscellaneous Shelf,13-18
,,Shoe Rack,13-18
,,Telescopic Bamboo Rod Rack,13-18
,,Shelving unit,
,Integrated Cleaning,Filtered Water,13-18
,,Scouring Pad,13-18
,,Cleaning brush,13-18
,,Plastic Food Wrap,13-18
,,Plastic gloves,13-18
,,aluminum foil paper,13-18
,,Cleaning Essence,13-18
,,Toilet Brush,13-18
,,Laundry board,13-18
,,Laundry Mesh,13-18
,,Trash bin,13-18
,,Broom,13-18
,,Broom,13-18
,,Trash bag,13-18
,,Wiper Blade,13-18
,,Mop/Cleaning Tools,13-18
,,Trash Can,
,,Cleaner,
Major Category,Medium Category,Sub-category,
Daily Necessities,Processed Food Products,Wok Spatula,
,,Electric Mixer,
,,Presser,
,,Can Opener,
,,Noodle Rod,
,,Strainer / Bucket,
,,Brush Wire Holder,
,,Cutting board,
,,Clamp,
,,Fruit knife,
,,Apples and knives,
,Restaurant Tableware,Western Fork,
,,Western Cutlery,
,,Spoon,
,,Chopsticks,
,,Bowl,
,,Dish,
,,Pan,
,,Coffee utensils,
,,Combination Tableware,
,,Screen,
,Cup,Magnetic Cup,
,,Stainless Steel Cup,
,,Plastic Cup,
,,Glass cup,
,,Thermal Cup,
,,Teacup Group,
,,Ceramic Cup,
,,Cup Lid / Rack,
,Microwave Steaming Appliances,Microwave Oven Container,
,,Microwave Rice Cooker,
,,Microwave oven glassware,
,,Microwave Steamer Basket,
,,Microwave Oven Pot,
,Cookware,Stir-fry Pan,
,,Stewing Pot,
,,Pressure cooker,
,,Frying Pan,
,,Slow cooker pot,
,,Non-stick pan,
,,Soup Pot,
,,Lid,
,,High Pot,
,,Nursery Pot,
,,Multi-functional pot,
,,Steamer Pot,
,,Hot Pot,
,,Rice cooker,
,,,
Major Category,Medium Category,Sub-category,Gross Margin %
Daily Necessities,Pad,Pot Coaster,10—15
,,Coasters / Plate Mats,10—15
,,Floor Mat,10—15
,,Bath Mat,10—15
,,Tablecloth,10—15
,,Dish,10—15
,Disposable items,Disposable Tableware,10—15
,,Dishwasher Safe,10—15
,,Disposable Chopsticks,10—15
,,Dishwasher Tablets,10—15
,,Disposable Cup,10—15
,,Disposable Soup Spoon,10—15
,,Ready-to-eat meal box (no washing required),10—15
,,Straw,10—15
,Clothing Utensils,Soup clothes board,10—15
,,Clothing Plus,10—15
,,"""Jia"" (Please provide more context for an accurate translation.)",10—15
,,Hanger for clothes,10—15
,,plastic stool,10—15
,Rain gear,Umbrella,10—15
,,Comb,10—15
,Beauty and Hair Care Tools,Mirror,10—16
,,Comb,10—16
,,Hair / Curl,10—16
,Horticulture,Plastic Hair Basin,10—16
,,Showerhead,10—16
,,tool shovel/fork,12---16
Home Appliances,Small appliances,Heater,13-18
,,Electric toothbrush,13-18
,,Battery-powered,13-18
,,Small appliance parts,13-18
,,Electric Fan,13-18
,Kitchen Appliances,Rice cooker,13-18
,,Electric wok,13-18
,,Electric Rice Cooker/Electric Stew Pot,13-18
,,Electric Coffee Pot,13-18
,,mixer,13-18
,,Exhaust Fan,13-18
,Lighting and Electrical Supplies,Plug lamp socket,13-18
,,Doorbell,13-18
,,Switch,13-18
,,Bulbs/Tubes,13-18
,,Lighting Fixtures,13-18
,,Electrician Tools,13-18
,Small telecommunications,Battery,13-18
,,Other Accessories,13-18
,,,
Major Category,Medium Category,Sub-category,
Beauty & Hygiene,Color Cosmetics,Makeup pencil,18-22
,,Makeup Box,
,Skin Care Products,Washing Noodles,2015/12/16
,,Shower Gel,2015/12/16
,,Mouthwash,2015/12/16
,,Toothpaste,2015/12/16
,,Toothbrush,2015/12/16
,,Shaving Series,2015/12/16
,,Soap,
,Skincare Products,Facial Skincare Products,2015/12/16
,,Hand Care Products,2015/12/16
,,Skincare and Beauty Products,2015/12/16
,,Sunscreen Products,2015/12/16
,,Infant Skincare Products,2015/12/16
,Laundry and Cleaning Products,Detergent Powder,2015/6/10
,,Laundry Soap,2015/6/10
,,Washing and Polishing,2015/6/10
,,bleach,2015/6/10
,Consumable Paper Products,Tissue Paper,2015/6/10
,,tissue paper,2015/6/10
,,Diapers,2015/6/10
,,Tissue Paper,2015/6/10
,,Sanitary Napkins,2015/6/10
,Hair care products,Fixative,2015/8/12
,,Hair Conditioner,2015/8/12
,,Hair Dye,2015/8/12
,,Hair oil,2015/8/12
,,Shampoo,2015/8/12
,Cotton pads,Cotton pads,2015/8/12
,,Facial Tissue Paper,2015/8/12
,,Soft Tissue Towel,2015/8/12
,Cleaning Supplies,Floor Cleaner,2015/8/12
,,Glass Cleaner,2015/8/12
,,Furniture Cleaner,2015/8/12
,,Bathroom Cleaner,2015/8/12
,,Kitchen Cleaner,2015/8/12
,,All-Purpose Cleaner,2015/8/12
,,Plumbing and Drainage Tools,
,Air freshener,Air Freshener,2015/8/12
,,Perfume Water Additive,2015/8/12
,,Deodorant,2015/8/12
Major Category,Medium Category,Sub-category,Gross Margin %
Beauty & Hygiene,Insecticide,Pesticides Category,2015/10/14
,,Insect Repellent Candles,2015/10/14
,,Mold and Insect Repellent Tablets,2015/10/14
,,Cockroach Brain Pill,2015/10/14
,,Desiccant,
,External Use Health Products,Cotton,2015/10/14
,,gauze,2015/10/14
,,Tape,2015/10/14
,,Sterilization,2015/10/14
,,Condoms,2015/10/14
,Beauty Tools,Double eyelid glue,15-18
,,Nasal Strip,15-18
,,Nail Beauty,15-18
,,Eyelashes,15-18
,,Youth Stick,15-18
,,"Brow刨 (Brow刨 cannot be directly translated as it seems to be a specific term or name; if it's a typo or needs further clarification, please provide additional context.)",
,Leather Care Products,Shoe Polish,2015/12/15
,,Shoe Agent,2015/12/15
,,Shoe Brush,2015/12/15
,Perfume,Bottled Perfume,
,,Bulk Perfume,15-25
,,Car Air Freshener,
Office and Cultural Supplies,Office Supplies,Whiteboard,
,,Shelf Panel,18-22
,,Abacus,
,Paper Products,Greeting Cards / Invitations,
,,Photo album,
,,Copy paper,
,,Fax Paper,
,,Printing paper,18—22
,,Paper,
,,Homework notebook,
,,Notebooks / Notepads (Soft/Hard Cover),
,,Ledger,
,Stationery for calligraphy and painting,Color Pigment,
,,Brush / Calligraphy Brush,
,,Inkstone/Ink,18-22
,,Xuan paper,
,,Canvas,
,Stationery Supplies,Backpack,
,,Pencil,
,,Ballpoint Pen / Signature Pen,
,,ballpoint pen,
,,Highlighter pen,18-22
,,Pencil Sharpener / Pencil Shaver,
,,Inch,
,,Pencil case,
,,Other Learning Supplies,
Needle Spinning,Men's Accessories,Tie,20-22
,,Lapel Pin,
,Knit Products,Handkerchief,
,,Socks,16-19
,,Bra,
,,Underwear,
,,,
Needle Spinning,Ladies' Accessories,Scarf/Scarf Clip,
,,Pins,18-23
,,Hair accessory,
,Bedding Products,Bedspread,15-18
,,Quilt,
,,Bed Sheet,
,,Towel Blanket,
,,Duck Down Quilt,
,,Pillow Core,
,,Pillowcase,
,,Mattress,
,,Cushion,
,,bedspread,
,,Blanket,
,,Noodles,
,Home Textiles,Towel,15-18
,,Bath towel,
,,Yarn,
,,Wool Carpet,
,,Synthetic Fiber Carpet,
,,Wool-blend Carpet,
,,Curtains/Fabrics,
Luggage and Small Leather Goods,Luggage and bags,Luggage and Bags,
,,Luggage and Bags,16-18
,,Synthetic Products Luggage,
,Small Leather Goods,Ticket holder,
,,Belt,
,,Glove,20-25
,,Gift Box,
,,Phone case,
,,Keychain,
,Handbag for women,Leather Decorative Handbags,18-22
,,Handbags with Fabric Decoration,
,,Synthetic Decorative Handbags,
