2-2全国各民族分性别、职业的人口-民族-民族-民族,2-2全国各民族分性别、职业的人口-单位：人-人口数-人口数-合计,2-2全国各民族分性别、职业的人口-单位：人-人口数-人口数-男,2-2全国各民族分性别、职业的人口-单位：人-人口数-人口数-女,2-2全国各民族分性别、职业的人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-小计,2-2全国各民族分性别、职业的人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-男,2-2全国各民族分性别、职业的人口-单位：人-党的机关、国家机关、群众团体-和社会组织、企事业单位负责人-女,2-2全国各民族分性别、职业的人口-单位：人-专业技术人员-专业技术人员-小计,2-2全国各民族分性别、职业的人口-单位：人-专业技术人员-专业技术人员-男,2-2全国各民族分性别、职业的人口-单位：人-专业技术人员-专业技术人员-女,2-2全国各民族分性别、职业的人口-单位：人-办事人员和有关人员-办事人员和有关人员-小计,2-2全国各民族分性别、职业的人口-单位：人-办事人员和有关人员-办事人员和有关人员-男,2-2全国各民族分性别、职业的人口-单位：人-办事人员和有关人员-办事人员和有关人员-女,2-2全国各民族分性别、职业的人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-小计,2-2全国各民族分性别、职业的人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-男,2-2全国各民族分性别、职业的人口-单位：人-社会生产服务和生活服务人员-社会生产服务和生活服务人员-女,2-2全国各民族分性别、职业的人口-单位：人-农、林、牧、渔业-生产及辅助人员-小计,2-2全国各民族分性别、职业的人口-单位：人-农、林、牧、渔业-生产及辅助人员-男,2-2全国各民族分性别、职业的人口-单位：人-农、林、牧、渔业-生产及辅助人员-女,2-2全国各民族分性别、职业的人口-单位：人-生产制造及有关人员-生产制造及有关人员-小计,2-2全国各民族分性别、职业的人口-单位：人-生产制造及有关人员-生产制造及有关人员-男,2-2全国各民族分性别、职业的人口-单位：人-生产制造及有关人员-生产制造及有关人员-女,2-2全国各民族分性别、职业的人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-小计,2-2全国各民族分性别、职业的人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-男,2-2全国各民族分性别、职业的人口-单位：人-不便分类的其他从业人员-不便分类的其他从业人员-女
朝鲜族,36890.0,21326.0,15564.0,2118.0,1517.0,601.0,7098.0,2921.0,4177.0,4141.0,2549.0,1592.0,15841.0,8520.0,7321.0,2241.0,1405.0,836.0,5363.0,4356.0,1007.0,88.0,58.0,30.0
满  族,456154.0,277592.0,178562.0,10320.0,7387.0,2933.0,52863.0,22024.0,30839.0,35541.0,21297.0,14244.0,136434.0,79704.0,56730.0,150208.0,90937.0,59271.0,69647.0,55496.0,14151.0,1141.0,747.0,394.0
侗  族,150827.0,89733.0,61094.0,2400.0,1742.0,658.0,13355.0,6073.0,7282.0,8895.0,5728.0,3167.0,38978.0,20682.0,18296.0,33331.0,17644.0,15687.0,53501.0,37631.0,15870.0,367.0,233.0,134.0
瑶  族,142364.0,82249.0,60115.0,1834.0,1325.0,509.0,9750.0,4276.0,5474.0,6539.0,3908.0,2631.0,29326.0,16033.0,13293.0,50140.0,26762.0,23378.0,44366.0,29695.0,14671.0,409.0,250.0,159.0
白  族,109306.0,60034.0,49272.0,1403.0,1018.0,385.0,10232.0,4256.0,5976.0,6979.0,4380.0,2599.0,29332.0,14971.0,14361.0,37608.0,18092.0,19516.0,23586.0,17226.0,6360.0,166.0,91.0,75.0
土家族,438333.0,255620.0,182713.0,7099.0,5141.0,1958.0,39758.0,17892.0,21866.0,25736.0,16162.0,9574.0,118786.0,61390.0,57396.0,106957.0,54371.0,52586.0,138384.0,99720.0,38664.0,1613.0,944.0,669.0
哈尼族,97246.0,54574.0,42672.0,400.0,300.0,100.0,4139.0,1796.0,2343.0,2719.0,1783.0,936.0,17102.0,8694.0,8408.0,48335.0,24940.0,23395.0,24401.0,16973.0,7428.0,150.0,88.0,62.0
哈萨克族,49586.0,29924.0,19662.0,524.0,381.0,143.0,6035.0,2007.0,4028.0,7768.0,4772.0,2996.0,10870.0,5908.0,4962.0,20538.0,13923.0,6615.0,3812.0,2914.0,898.0,39.0,19.0,20.0
傣  族,71992.0,37998.0,33994.0,515.0,319.0,196.0,3682.0,1320.0,2362.0,2604.0,1567.0,1037.0,14343.0,6517.0,7826.0,42362.0,22594.0,19768.0,8425.0,5647.0,2778.0,61.0,34.0,27.0
黎  族,67790.0,38619.0,29171.0,553.0,369.0,184.0,3624.0,1539.0,2085.0,3375.0,2148.0,1227.0,16546.0,7748.0,8798.0,35041.0,20613.0,14428.0,8260.0,5991.0,2269.0,391.0,211.0,180.0
傈僳族,39393.0,21102.0,18291.0,186.0,137.0,49.0,1342.0,623.0,719.0,1045.0,698.0,347.0,5151.0,2457.0,2694.0,26176.0,13280.0,12896.0,5464.0,3891.0,1573.0,29.0,16.0,13.0
佤  族,24639.0,13148.0,11491.0,88.0,69.0,19.0,1005.0,455.0,550.0,683.0,455.0,228.0,2650.0,1147.0,1503.0,15484.0,8028.0,7456.0,4721.0,2988.0,1733.0,8.0,6.0,2.0
畲  族,35006.0,21907.0,13099.0,624.0,466.0,158.0,3017.0,1444.0,1573.0,1934.0,1158.0,776.0,10549.0,6198.0,4351.0,9093.0,5506.0,3587.0,9735.0,7103.0,2632.0,54.0,32.0,22.0
高山族,148.0,88.0,60.0,6.0,4.0,2.0,28.0,7.0,21.0,21.0,10.0,11.0,38.0,27.0,11.0,19.0,14.0,5.0,36.0,26.0,10.0,0.0,0.0,0.0
拉祜族,27334.0,14504.0,12830.0,82.0,60.0,22.0,959.0,345.0,614.0,634.0,373.0,261.0,2905.0,1270.0,1635.0,19708.0,10416.0,9292.0,3038.0,2036.0,1002.0,8.0,4.0,4.0
水  族,20304.0,11493.0,8811.0,237.0,173.0,64.0,1211.0,609.0,602.0,879.0,561.0,318.0,4257.0,2252.0,2005.0,6511.0,3204.0,3307.0,7180.0,4675.0,2505.0,29.0,19.0,10.0
东乡族,23479.0,14228.0,9251.0,167.0,137.0,30.0,988.0,510.0,478.0,827.0,591.0,236.0,7663.0,5134.0,2529.0,10094.0,4990.0,5104.0,3706.0,2847.0,859.0,34.0,19.0,15.0
纳西族,16142.0,8535.0,7607.0,224.0,159.0,65.0,1614.0,612.0,1002.0,1451.0,901.0,550.0,4910.0,2516.0,2394.0,6771.0,3484.0,3287.0,1168.0,860.0,308.0,4.0,3.0,1.0
景颇族,7222.0,3715.0,3507.0,57.0,30.0,27.0,419.0,158.0,261.0,377.0,241.0,136.0,1349.0,573.0,776.0,3913.0,2021.0,1892.0,1103.0,688.0,415.0,4.0,4.0,0.0
柯尔克孜族,8563.0,4894.0,3669.0,107.0,83.0,24.0,822.0,304.0,518.0,2588.0,1609.0,979.0,1396.0,744.0,652.0,3137.0,1792.0,1345.0,512.0,361.0,151.0,1.0,1.0,0.0
土  族,11632.0,6758.0,4874.0,184.0,146.0,38.0,1649.0,760.0,889.0,959.0,581.0,378.0,3097.0,1694.0,1403.0,3171.0,1637.0,1534.0,2542.0,1925.0,617.0,30.0,15.0,15.0
达斡尔族,5296.0,3045.0,2251.0,157.0,111.0,46.0,886.0,335.0,551.0,775.0,472.0,303.0,1536.0,823.0,713.0,1443.0,931.0,512.0,480.0,359.0,121.0,19.0,14.0,5.0
仫佬族,11702.0,6612.0,5090.0,198.0,137.0,61.0,1205.0,477.0,728.0,822.0,457.0,365.0,3230.0,1704.0,1526.0,2555.0,1314.0,1241.0,3558.0,2446.0,1112.0,134.0,77.0,57.0
羌  族,16732.0,9108.0,7624.0,242.0,169.0,73.0,1707.0,660.0,1047.0,1254.0,686.0,568.0,4521.0,2322.0,2199.0,6209.0,3183.0,3026.0,2788.0,2078.0,710.0,11.0,10.0,1.0
布朗族,7124.0,3781.0,3343.0,33.0,29.0,4.0,336.0,141.0,195.0,201.0,119.0,82.0,847.0,413.0,434.0,4964.0,2612.0,2352.0,742.0,467.0,275.0,1.0,0.0,1.0
撒拉族,4337.0,2768.0,1569.0,119.0,103.0,16.0,320.0,157.0,163.0,259.0,176.0,83.0,2841.0,1796.0,1045.0,386.0,211.0,175.0,406.0,321.0,85.0,6.0,4.0,2.0
毛南族,5328.0,3009.0,2319.0,78.0,52.0,26.0,436.0,184.0,252.0,366.0,198.0,168.0,1233.0,642.0,591.0,1473.0,738.0,735.0,1712.0,1180.0,532.0,30.0,15.0,15.0
仡佬族,25069.0,14948.0,10121.0,410.0,298.0,112.0,2803.0,1338.0,1465.0,2064.0,1327.0,737.0,5997.0,3110.0,2887.0,4925.0,2476.0,2449.0,8796.0,6356.0,2440.0,74.0,43.0,31.0
锡伯族,8592.0,5147.0,3445.0,215.0,150.0,65.0,1286.0,520.0,766.0,915.0,534.0,381.0,2757.0,1565.0,1192.0,2185.0,1392.0,793.0,1209.0,967.0,242.0,25.0,19.0,6.0
阿昌族,2114.0,1141.0,973.0,15.0,6.0,9.0,114.0,39.0,75.0,113.0,71.0,42.0,381.0,178.0,203.0,1010.0,497.0,513.0,480.0,349.0,131.0,1.0,1.0,0.0
普米族,2012.0,1111.0,901.0,19.0,13.0,6.0,176.0,66.0,110.0,153.0,105.0,48.0,461.0,247.0,214.0,936.0,490.0,446.0,265.0,188.0,77.0,2.0,2.0,0.0
塔吉克族,2230.0,1273.0,957.0,24.0,19.0,5.0,175.0,93.0,82.0,980.0,651.0,329.0,286.0,175.0,111.0,659.0,256.0,403.0,106.0,79.0,27.0,0.0,0.0,0.0
怒  族,1695.0,949.0,746.0,12.0,10.0,2.0,115.0,45.0,70.0,101.0,71.0,30.0,337.0,150.0,187.0,907.0,513.0,394.0,223.0,160.0,63.0,0.0,0.0,0.0
乌孜别克族,461.0,279.0,182.0,9.0,4.0,5.0,78.0,30.0,48.0,74.0,46.0,28.0,195.0,123.0,72.0,51.0,39.0,12.0,52.0,36.0,16.0,2.0,1.0,1.0
俄罗斯族,630.0,331.0,299.0,45.0,32.0,13.0,147.0,39.0,108.0,113.0,61.0,52.0,219.0,122.0,97.0,47.0,35.0,12.0,59.0,42.0,17.0,0.0,0.0,0.0
鄂温克族,1387.0,753.0,634.0,34.0,23.0,11.0,229.0,68.0,161.0,244.0,147.0,97.0,301.0,152.0,149.0,494.0,302.0,192.0,84.0,61.0,23.0,1.0,0.0,1.0
德昂族,1041.0,569.0,472.0,4.0,4.0,0.0,40.0,13.0,27.0,49.0,37.0,12.0,124.0,57.0,67.0,662.0,369.0,293.0,162.0,89.0,73.0,0.0,0.0,0.0
保安族,547.0,370.0,177.0,9.0,7.0,2.0,57.0,22.0,35.0,71.0,48.0,23.0,163.0,110.0,53.0,59.0,35.0,24.0,188.0,148.0,40.0,0.0,0.0,0.0
裕固族,728.0,414.0,314.0,20.0,15.0,5.0,92.0,38.0,54.0,98.0,57.0,41.0,150.0,79.0,71.0,324.0,194.0,130.0,44.0,31.0,13.0,0.0,0.0,0.0
京  族,1237.0,719.0,518.0,50.0,37.0,13.0,145.0,55.0,90.0,183.0,118.0,65.0,486.0,262.0,224.0,215.0,139.0,76.0,156.0,107.0,49.0,2.0,1.0,1.0
塔塔尔族,145.0,82.0,63.0,3.0,2.0,1.0,40.0,12.0,28.0,26.0,16.0,10.0,49.0,35.0,14.0,19.0,13.0,6.0,8.0,4.0,4.0,0.0,0.0,0.0
独龙族,301.0,169.0,132.0,8.0,7.0,1.0,15.0,10.0,5.0,40.0,30.0,10.0,58.0,25.0,33.0,166.0,88.0,78.0,14.0,9.0,5.0,0.0,0.0,0.0
鄂伦春族,347.0,194.0,153.0,24.0,13.0,11.0,61.0,13.0,48.0,95.0,60.0,35.0,75.0,42.0,33.0,60.0,42.0,18.0,32.0,24.0,8.0,0.0,0.0,0.0
赫哲族,235.0,117.0,118.0,12.0,5.0,7.0,50.0,18.0,32.0,45.0,24.0,21.0,70.0,28.0,42.0,34.0,26.0,8.0,24.0,16.0,8.0,0.0,0.0,0.0
门巴族,426.0,233.0,193.0,6.0,2.0,4.0,55.0,17.0,38.0,66.0,33.0,33.0,90.0,46.0,44.0,148.0,82.0,66.0,60.0,52.0,8.0,1.0,1.0,0.0
珞巴族,122.0,61.0,61.0,4.0,3.0,1.0,15.0,6.0,9.0,18.0,7.0,11.0,26.0,16.0,10.0,50.0,23.0,27.0,8.0,6.0,2.0,1.0,0.0,1.0
基诺族,1476.0,770.0,706.0,9.0,7.0,2.0,102.0,28.0,74.0,59.0,38.0,21.0,225.0,105.0,120.0,1025.0,562.0,463.0,54.0,29.0,25.0,2.0,1.0,1.0
未定族称人口,27939.0,16748.0,11191.0,360.0,274.0,86.0,2123.0,1011.0,1112.0,1456.0,993.0,463.0,7820.0,4295.0,3525.0,7447.0,3819.0,3628.0,8698.0,6332.0,2366.0,35.0,24.0,11.0
入  籍,671.0,321.0,350.0,11.0,5.0,6.0,64.0,36.0,28.0,25.0,16.0,9.0,180.0,85.0,95.0,187.0,55.0,132.0,203.0,124.0,79.0,1.0,0.0,1.0
