1-19按行业(大类)、技术等级分组的法人单位从业人员数-行业大类,代码,法人单位数(个),从业人员数(人),#高级技师,#技师,#高级工,#中级工
印刷业和记录媒介的复制,2300,52693.0,1544478.0,5250.0,16117.0,38303.0,62776.0
文教体育用品制造业,2400,20118.0,1680598.0,2776.0,7928.0,11754.0,30247.0
石油加工及炼焦,2500,6424.0,921134.0,7401.0,17994.0,100575.0,85908.0
化学原料及化学制品制造业,2600,96172.0,5625078.0,25701.0,73524.0,210237.0,320595.0
医药制造业,2700,15286.0,1682985.0,9705.0,26502.0,54783.0,91062.0
化学纤维制造业,2800,4521.0,475685.0,1440.0,4734.0,14889.0,23959.0
橡胶制品业,2900,20744.0,1282569.0,3785.0,9786.0,18945.0,49553.0
塑料制品业,3000,98293.0,3899242.0,10218.0,28891.0,37779.0,89469.0
非金属矿物制品业,3100,211193.0,9390564.0,21285.0,68145.0,126380.0,295656.0
黑色金属冶炼及压延加工业,3200,18939.0,3372463.0,12093.0,55516.0,258962.0,320240.0
有色金属冶炼及压延加工业,3300,21498.0,2036208.0,14875.0,30416.0,91263.0,113041.0
金属制品业,3400,132747.0,5023298.0,17217.0,48089.0,82556.0,174183.0
通用设备制造业,3500,181969.0,7243788.0,37737.0,110224.0,230700.0,427977.0
专用设备制造业,3600,92806.0,4343877.0,29612.0,84860.0,207930.0,299658.0
交通运输设备制造业,3700,79692.0,5812002.0,29976.0,99033.0,280616.0,457914.0
电气机械及器材制造业,3900,93754.0,6294621.0,25679.0,66600.0,115366.0,237228.0
通信设备、计算机及其他电子设备制造业,4000,45455.0,7004903.0,27208.0,65966.0,98865.0,182185.0
仪器仪表及文化、办公用机械制造业,4100,23731.0,1496156.0,8892.0,19447.0,38492.0,59706.0
工艺品及其他制造业,4200,48693.0,2255917.0,4794.0,13702.0,27009.0,55929.0
废弃资源和废旧材料回收加工业,4300,8203.0,203334.0,405.0,1051.0,2236.0,4745.0
电力、燃气及水的生产和供应业,D,57923.0,4045931.0,21791.0,120143.0,510812.0,370274.0
电力、热力的生产和供应业,4400,38016.0,3143214.0,18630.0,106030.0,452320.0,294461.0
燃气生产和供应业,4500,3128.0,226700.0,836.0,3495.0,14408.0,20147.0
水的生产和供应业,4600,16779.0,676017.0,2325.0,10618.0,44084.0,55666.0
建筑业,E,226768.0,39070264.0,189511.0,636574.0,1448200.0,3429388.0
房屋和土木工程建筑业,4700,93054.0,32429089.0,152866.0,520173.0,1203078.0,2942786.0
建筑安装业,4800,43759.0,3226536.0,19029.0,62248.0,147575.0,243463.0
建筑装饰业,4900,66286.0,1866382.0,10211.0,29493.0,42931.0,95810.0
其他建筑业,5000,23669.0,1548257.0,7405.0,24660.0,54616.0,147329.0
交通运输、仓储和邮政业,F,157589.0,8976298.0,19925.0,75658.0,325858.0,469021.0
铁路运输业,5100,440.0,55648.0,61.0,704.0,5764.0,5368.0
道路运输业,5200,73202.0,3757924.0,9147.0,39875.0,139725.0,166343.0
城市公共交通业,5300,7689.0,1602044.0,2663.0,9710.0,61310.0,113572.0
水上运输业,5400,8009.0,812911.0,2590.0,8690.0,28420.0,45251.0
航空运输业,5500,808.0,320362.0,796.0,2697.0,10277.0,7392.0
管道运输业,5600,85.0,25054.0,47.0,396.0,4232.0,2554.0
装卸搬运和其他运输服务业,5700,44661.0,1074379.0,1347.0,3947.0,9457.0,18394.0
仓储业,5800,18207.0,534918.0,1613.0,4027.0,12293.0,15156.0
邮政业,5900,4488.0,793058.0,1661.0,5612.0,54380.0,94991.0
信息传输、计算机服务和软件业,G,153290.0,3206954.0,16104.0,30337.0,73080.0,89232.0
电信和其他信息传输服务业,6000,22590.0,1540412.0,4522.0,13607.0,59325.0,68798.0
计算机服务业,6100,90843.0,769355.0,2906.0,5093.0,5459.0,8294.0
软件业,6200,39857.0,897187.0,8676.0,11637.0,8296.0,12140.0
批发和零售业,H,1403141.0,18919762.0,54750.0,115947.0,182434.0,362960.0
批发业,6300,854007.0,10549388.0,29442.0,55799.0,94138.0,175572.0
零售业,6500,549134.0,8370374.0,25308.0,60148.0,88296.0,187388.0
住宿和餐饮业,I,145297.0,5857510.0,21433.0,53639.0,84606.0,149783.0
住宿业,6600,54316.0,2673057.0,9406.0,26446.0,56585.0,91137.0
餐饮业,6700,90981.0,3184453.0,12027.0,27193.0,28021.0,58646.0
金融业,J,28668.0,5095109.0,6008.0,10216.0,22882.0,32245.0
银行业,6800,7706.0,2820740.0,4208.0,6985.0,12648.0,15991.0
证券业,6900,1116.0,148254.0,141.0,86.0,121.0,121.0
保险业,7000,9146.0,1904912.0,1110.0,2129.0,2611.0,4362.0
其他金融活动,7100,10700.0,221203.0,549.0,1016.0,7502.0,11771.0
房地产业,K,214391.0,5521938.0,27590.0,58047.0,105710.0,162688.0
房地产业,7200,214391.0,5521938.0,27590.0,58047.0,105710.0,162688.0
租赁和商务服务业,L,427001.0,7706947.0,20351.0,47688.0,110519.0,169830.0
租赁业,7300,18330.0,218866.0,797.0,1694.0,2687.0,4956.0
商务服务业,7400,408671.0,7488081.0,19554.0,45994.0,107832.0,164874.0
科学研究、技术服务和地质勘查业,M,201689.0,4475880.0,25628.0,59738.0,195301.0,171783.0
研究与试验发展,7500,21317.0,786385.0,4677.0,13759.0,50049.0,33848.0
专业技术服务业,7600,99966.0,2264156.0,13186.0,25540.0,65418.0,60380.0
科技交流和推广服务业,7700,76591.0,1032937.0,6121.0,11371.0,28034.0,33057.0
地质勘查业,7800,3815.0,392402.0,1644.0,9068.0,51800.0,44498.0
水利、环境和公共设施管理业,N,57553.0,2214135.0,7328.0,32208.0,203530.0,164097.0
水利管理业,7900,20827.0,475648.0,2182.0,10441.0,66059.0,56780.0
环境管理业,8000,12801.0,861627.0,1138.0,7035.0,48298.0,43248.0
公共设施管理业,8100,23925.0,876860.0,4008.0,14732.0,89173.0,64069.0
居民服务和其他服务业,O,120467.0,1990364.0,12369.0,35871.0,39504.0,64520.0
居民服务业,8200,61339.0,965828.0,6306.0,21512.0,16172.0,21380.0
其他服务业,8300,59128.0,1024536.0,6063.0,14359.0,23332.0,43140.0
教育,P,335065.0,17236288.0,53426.0,84234.0,283325.0,202198.0
教育,8400,335065.0,17236288.0,53426.0,84234.0,283325.0,202198.0
卫生、社会保障和社会福利业,Q,206480.0,6803553.0,25350.0,55939.0,188770.0,174489.0
卫生,8500,171449.0,6358529.0,24457.0,52250.0,174519.0,162925.0
社会保障业,8600,11428.0,195742.0,342.0,1071.0,4016.0,4433.0
社会福利业,8700,23603.0,249282.0,551.0,2618.0,10235.0,7131.0
文化、体育和娱乐业,R,81878.0,1940677.0,5214.0,16833.0,60480.0,54815.0
新闻出版业,8800,6278.0,356272.0,709.0,2565.0,11075.0,6690.0
广播、电视、电影和音像业,8900,13481.0,477789.0,1557.0,5888.0,23126.0,23441.0
文化艺术业,9000,33830.0,519512.0,1541.0,3754.0,18385.0,15689.0
体育,9100,7405.0,125852.0,336.0,1099.0,4407.0,3418.0
娱乐业,9200,20884.0,461252.0,1071.0,3527.0,3487.0,5577.0
公共管理和社会组织,S,1363857.0,22284730.0,39619.0,126185.0,511361.0,504810.0
中国共产党机关,9300,39846.0,611164.0,1511.0,6567.0,16660.0,9927.0
国家机构,9400,396222.0,14725490.0,30836.0,104027.0,466947.0,458049.0
人民政协和民主党派,9500,6209.0,100652.0,299.0,1697.0,4253.0,2531.0
群众团体、社会团体和宗教组织,9600,234644.0,2542034.0,5274.0,10305.0,20137.0,23374.0
基层群众自治组织,9700,686936.0,4305390.0,1699.0,3589.0,3364.0,10929.0
