"OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-TownshipandStreet-TownshipandStreet","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-TownshipandStreet-TownshipandStreet.1","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloorcountexceeding4floors","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloorcountexceeding4floors.1","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloorcountexceeding4floors.2","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloors4floorsorbelow","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloors4floorsorbelow.1","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Newcommercialresidentialunits-Groundbuildingfloors4floorsorbelow.2","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Second-handresidentialhousing-Second-handresidentialhousing","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Second-handresidentialhousing-Second-handresidentialhousing.1","OnlineContractSigningandSalesSituationofCommercialResidencesinDongguanCity,June2022-Second-handresidentialhousing-Second-handresidentialhousing.2"
Southeast Lingshen Area,Qingxi Town,39,0.42,21509,8,0.22,26116,31,0.37,18337
Southeast Lingshen Area,Changmuto镇,16,0.17,18766,0,0.0,0,83,0.77,13514
Southeast Lingshen Area,Fenggang Town,52,0.55,29963,0,0.0,0,48,0.56,22894
Southeast Lingshen Area,Tangxia Town,54,0.58,32170,29,0.52,42133,60,0.93,20747
Eastern Industrial Park Area,Huangjiang Town,27,0.28,18654,1,0.05,19951,49,0.62,19410
Eastern Industrial Park Area,Xiegang Town,69,0.67,16439,0,0.0,0,2,0.01,13088
Eastern Industrial Park Area,Changping Town,62,0.7,21486,0,0.0,0,141,1.31,13068
Eastern Industrial Park Area,Qiaotou Town,21,0.24,18736,0,0.0,0,15,0.18,13511
Eastern Industrial Park Area,Hengli Town,115,1.18,20549,1,0.01,30467,51,0.46,13656
Eastern Industrial Park Area,Dongkeng Town,18,0.17,21605,0,0.0,0,17,0.17,17139
Eastern Industrial Park Area,Chiqi Town,18,0.2,17410,0,0.0,0,7,0.07,14668
"Note: 1. The newly built commercial residential online contract signing sales data published this time is sourced from the Dongguan Housing and Urban-Rural Development Bureau, while the second-hand residential online contract signing sales data is sourced from the Dongguan Real Estate Registration Center.  
    2. The data statistics period for this time is from June 1 to 30, 2022, and the average sales price is rounded to the nearest whole number.  
    3. The statistical scope of towns and streets includes 4 street offices, 28 towns, and the Songshan Lake High-Tech Zone across the city.  
    4. The sales unit count and area data of newly built commercial residential properties for the city as a whole and for each town, street (industrial park) include the co-built affordable housing. To avoid significant anomalies in housing price data, the co-built affordable housing has been excluded when statistically calculating the average sales price of newly built commercial residential properties.  
    5. When contracts for newly built commercial residential properties or second-hand residential properties are terminated or revoked, the relevant data needs to be adjusted. Therefore, there may be slight differences in data statistics at different points in time.","Note: 1. The newly built commercial residential online contract signing sales data published this time is sourced from the Dongguan Housing and Urban-Rural Development Bureau, while the second-hand residential online contract signing sales data is sourced from the Dongguan Real Estate Registration Center.  
    2. The data statistics period for this time is from June 1 to 30, 2022, and the average sales price is rounded to the nearest whole number.  
    3. The statistical scope of towns and streets includes 4 street offices, 28 towns, and the Songshan Lake High-Tech Zone across the city.  
    4. The sales unit count and area data of newly built commercial residential properties for the city as a whole and for each town, street (industrial park) include the co-built affordable housing. To avoid significant anomalies in housing price data, the co-built affordable housing has been excluded when statistically calculating the average sales price of newly built commercial residential properties.  
    5. When contracts for newly built commercial residential properties or second-hand residential properties are terminated or revoked, the relevant data needs to be adjusted. Therefore, there may be slight differences in data statistics at different points in time.","Note: 1. The newly built commercial residential online contract signing sales data published this time is sourced from the Dongguan Housing and Urban-Rural Development Bureau, while the second-hand residential online contract signing sales data is sourced from the Dongguan Real Estate Registration Center.  
    2. The data statistics period for this time is from June 1 to 30, 2022, and the average sales price is rounded to the nearest whole number.  
    3. The statistical scope of towns and streets includes 4 street offices, 28 towns, and the Songshan Lake High-Tech Zone across the city.  
    4. The sales unit count and area data of newly built commercial residential properties for the city as a whole and for each town, street (industrial park) include the co-built affordable housing. To avoid significant anomalies in housing price data, the co-built affordable housing has been excluded when statistically calculating the average sales price of newly built commercial residential properties.  
    5. When contracts for newly built commercial residential properties or second-hand residential properties are terminated or revoked, the relevant data needs to be adjusted. Therefore, there may be slight differences in data statistics at different points in time.","Note: 1. The newly built commercial residential online contract signing sales data published this time is sourced from the Dongguan Housing and Urban-Rural Development Bureau, while the second-hand residential online contract signing sales data is sourced from the Dongguan Real Estate Registration Center.  
    2. The data statistics period for this time is from June 1 to 30, 2022, and the average sales price is rounded to the nearest whole number.  
    3. The statistical scope of towns and streets includes 4 street offices, 28 towns, and the Songshan Lake High-Tech Zone across the city.  
    4. The sales unit count and area data of newly built commercial residential properties for the city as a whole and for each town, street (industrial park) include the co-built affordable housing. To avoid significant anomalies in housing price data, the co-built affordable housing has been excluded when statistically calculating the average sales price of newly built commercial residential properties.  
    5. When contracts for newly built commercial residential properties or second-hand residential properties are terminated or revoked, the relevant data needs to be adjusted. Therefore, there may be slight differences in data statistics at different points in time.","Note: 1. The newly built commercial residential online contract signing sales data published this time is sourced from the Dongguan Housing and Urban-Rural Development Bureau, while the second-hand residential online contract signing sales data is sourced from the Dongguan Real Estate Registration Center.  
    2. The data statistics period for this time is from June 1 to 30, 2022, and the average sales price is rounded to the nearest whole number.  
    3. The statistical scope of towns and streets includes 4 street offices, 28 towns, and the Songshan Lake High-Tech Zone across the city.  
    4. The sales unit count and area data of newly built commercial residential properties for the city as a whole and for each town, street (industrial park) include the co-built affordable housing. To avoid significant anomalies in housing price data, the co-built affordable housing has been excluded when statistically calculating the average sales price of newly built commercial residential properties.  
    5. When contracts for newly built commercial residential properties or second-hand residential properties are terminated or revoked, the relevant data needs to be adjusted. Therefore, there may be slight differences in data statistics at different points in time.","Note: 1. The newly built commercial residential online contract signing sales data published this time is sourced from the Dongguan Housing and Urban-Rural Development Bureau, while the second-hand residential online contract signing sales data is sourced from the Dongguan Real Estate Registration Center.  
    2. The data statistics period for this time is from June 1 to 30, 2022, and the average sales price is rounded to the nearest whole number.  
    3. The statistical scope of towns and streets includes 4 street offices, 28 towns, and the Songshan Lake High-Tech Zone across the city.  
    4. The sales unit count and area data of newly built commercial residential properties for the city as a whole and for each town, street (industrial park) include the co-built affordable housing. To avoid significant anomalies in housing price data, the co-built affordable housing has been excluded when statistically calculating the average sales price of newly built commercial residential properties.  
    5. When contracts for newly built commercial residential properties or second-hand residential properties are terminated or revoked, the relevant data needs to be adjusted. Therefore, there may be slight differences in data statistics at different points in time.","Note: 1. The newly built commercial residential online contract signing sales data published this time is sourced from the Dongguan Housing and Urban-Rural Development Bureau, while the second-hand residential online contract signing sales data is sourced from the Dongguan Real Estate Registration Center.  
    2. The data statistics period for this time is from June 1 to 30, 2022, and the average sales price is rounded to the nearest whole number.  
    3. The statistical scope of towns and streets includes 4 street offices, 28 towns, and the Songshan Lake High-Tech Zone across the city.  
    4. The sales unit count and area data of newly built commercial residential properties for the city as a whole and for each town, street (industrial park) include the co-built affordable housing. To avoid significant anomalies in housing price data, the co-built affordable housing has been excluded when statistically calculating the average sales price of newly built commercial residential properties.  
    5. When contracts for newly built commercial residential properties or second-hand residential properties are terminated or revoked, the relevant data needs to be adjusted. Therefore, there may be slight differences in data statistics at different points in time.","Note: 1. The newly built commercial residential online contract signing sales data published this time is sourced from the Dongguan Housing and Urban-Rural Development Bureau, while the second-hand residential online contract signing sales data is sourced from the Dongguan Real Estate Registration Center.  
    2. The data statistics period for this time is from June 1 to 30, 2022, and the average sales price is rounded to the nearest whole number.  
    3. The statistical scope of towns and streets includes 4 street offices, 28 towns, and the Songshan Lake High-Tech Zone across the city.  
    4. The sales unit count and area data of newly built commercial residential properties for the city as a whole and for each town, street (industrial park) include the co-built affordable housing. To avoid significant anomalies in housing price data, the co-built affordable housing has been excluded when statistically calculating the average sales price of newly built commercial residential properties.  
    5. When contracts for newly built commercial residential properties or second-hand residential properties are terminated or revoked, the relevant data needs to be adjusted. Therefore, there may be slight differences in data statistics at different points in time.","Note: 1. The newly built commercial residential online contract signing sales data published this time is sourced from the Dongguan Housing and Urban-Rural Development Bureau, while the second-hand residential online contract signing sales data is sourced from the Dongguan Real Estate Registration Center.  
    2. The data statistics period for this time is from June 1 to 30, 2022, and the average sales price is rounded to the nearest whole number.  
    3. The statistical scope of towns and streets includes 4 street offices, 28 towns, and the Songshan Lake High-Tech Zone across the city.  
    4. The sales unit count and area data of newly built commercial residential properties for the city as a whole and for each town, street (industrial park) include the co-built affordable housing. To avoid significant anomalies in housing price data, the co-built affordable housing has been excluded when statistically calculating the average sales price of newly built commercial residential properties.  
    5. When contracts for newly built commercial residential properties or second-hand residential properties are terminated or revoked, the relevant data needs to be adjusted. Therefore, there may be slight differences in data statistics at different points in time.","Note: 1. The newly built commercial residential online contract signing sales data published this time is sourced from the Dongguan Housing and Urban-Rural Development Bureau, while the second-hand residential online contract signing sales data is sourced from the Dongguan Real Estate Registration Center.  
    2. The data statistics period for this time is from June 1 to 30, 2022, and the average sales price is rounded to the nearest whole number.  
    3. The statistical scope of towns and streets includes 4 street offices, 28 towns, and the Songshan Lake High-Tech Zone across the city.  
    4. The sales unit count and area data of newly built commercial residential properties for the city as a whole and for each town, street (industrial park) include the co-built affordable housing. To avoid significant anomalies in housing price data, the co-built affordable housing has been excluded when statistically calculating the average sales price of newly built commercial residential properties.  
    5. When contracts for newly built commercial residential properties or second-hand residential properties are terminated or revoked, the relevant data needs to be adjusted. Therefore, there may be slight differences in data statistics at different points in time.","Note: 1. The newly built commercial residential online contract signing sales data published this time is sourced from the Dongguan Housing and Urban-Rural Development Bureau, while the second-hand residential online contract signing sales data is sourced from the Dongguan Real Estate Registration Center.  
    2. The data statistics period for this time is from June 1 to 30, 2022, and the average sales price is rounded to the nearest whole number.  
    3. The statistical scope of towns and streets includes 4 street offices, 28 towns, and the Songshan Lake High-Tech Zone across the city.  
    4. The sales unit count and area data of newly built commercial residential properties for the city as a whole and for each town, street (industrial park) include the co-built affordable housing. To avoid significant anomalies in housing price data, the co-built affordable housing has been excluded when statistically calculating the average sales price of newly built commercial residential properties.  
    5. When contracts for newly built commercial residential properties or second-hand residential properties are terminated or revoked, the relevant data needs to be adjusted. Therefore, there may be slight differences in data statistics at different points in time."
