1-10按行业(大类)、开业(成立)时间分组的法人单位数-行业大类,1-10按行业(大类)、开业(成立)时间分组的法人单位数-代码,1-10按行业(大类)、开业(成立)时间分组的法人单位数-法人单位数(个),1-10按行业(大类)、开业(成立)时间分组的法人单位数-1949年以前,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1950-1977年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1978-1991年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1992-1995年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1996年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1997年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1998年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-1999年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2000年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2001年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2002年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2003年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2004年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2005年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2006年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2007年,1-10按行业(大类)、开业(成立)时间分组的法人单位数-2008年
餐饮业,6700,90981.0,44.0,657.0,2302.0,3222.0,1385.0,1486.0,2577.0,2567.0,4600.0,5032.0,5416.0,6969.0,7965.0,10116.0,12351.0,13129.0,10918.0
金融业,J,28668.0,160.0,831.0,2642.0,1321.0,1044.0,629.0,544.0,479.0,663.0,803.0,1336.0,2069.0,1952.0,2629.0,3149.0,4159.0,4158.0
银行业,6800,7706.0,117.0,812.0,2204.0,629.0,614.0,290.0,190.0,156.0,151.0,115.0,86.0,166.0,212.0,412.0,483.0,581.0,483.0
证券业,6900,1116.0,1.0,2.0,33.0,203.0,48.0,60.0,34.0,50.0,49.0,83.0,76.0,84.0,50.0,50.0,68.0,104.0,118.0
保险业,7000,9146.0,40.0,6.0,226.0,187.0,302.0,189.0,146.0,70.0,136.0,231.0,608.0,992.0,960.0,1077.0,1160.0,1386.0,1412.0
其他金融活动,7100,10700.0,2.0,11.0,179.0,302.0,80.0,90.0,174.0,203.0,327.0,374.0,566.0,827.0,730.0,1090.0,1438.0,2088.0,2145.0
房地产业,K,214391.0,92.0,3529.0,7787.0,16452.0,3724.0,4355.0,7029.0,7316.0,10604.0,13064.0,14957.0,18214.0,18600.0,20210.0,23802.0,25376.0,15717.0
房地产业,7200,214391.0,92.0,3529.0,7787.0,16452.0,3724.0,4355.0,7029.0,7316.0,10604.0,13064.0,14957.0,18214.0,18600.0,20210.0,23802.0,25376.0,15717.0
租赁和商务服务业,L,427001.0,508.0,5474.0,22928.0,22219.0,6245.0,7320.0,10701.0,12627.0,18703.0,21668.0,23834.0,31638.0,36665.0,44823.0,52108.0,56774.0,51108.0
租赁业,7300,18330.0,3.0,165.0,386.0,645.0,252.0,252.0,410.0,430.0,714.0,949.0,1086.0,1399.0,1629.0,2090.0,2552.0,2784.0,2507.0
商务服务业,7400,408671.0,505.0,5309.0,22542.0,21574.0,5993.0,7068.0,10291.0,12197.0,17989.0,20719.0,22748.0,30239.0,35036.0,42733.0,49556.0,53990.0,48601.0
科学研究、技术服务和地质勘查业,M,201689.0,307.0,13240.0,25302.0,12253.0,3376.0,3328.0,4697.0,4734.0,7554.0,9859.0,11386.0,13902.0,14870.0,17751.0,19679.0,20517.0,18056.0
研究与试验发展,7500,21317.0,69.0,1964.0,2561.0,956.0,261.0,314.0,441.0,438.0,821.0,1036.0,1062.0,1274.0,1434.0,1793.0,2261.0,2373.0,2039.0
专业技术服务业,7600,99966.0,118.0,4760.0,10788.0,6332.0,1967.0,1798.0,2558.0,2772.0,4108.0,5205.0,6048.0,7559.0,8178.0,9477.0,10198.0,9794.0,7998.0
科技交流和推广服务业,7700,76591.0,110.0,5828.0,11496.0,4747.0,1100.0,1170.0,1608.0,1440.0,2514.0,3461.0,4138.0,4897.0,5047.0,6203.0,6915.0,7969.0,7626.0
地质勘查业,7800,3815.0,10.0,688.0,457.0,218.0,48.0,46.0,90.0,84.0,111.0,157.0,138.0,172.0,211.0,278.0,305.0,381.0,393.0
水利、环境和公共设施管理业,N,57553.0,229.0,7321.0,11529.0,4285.0,1178.0,1296.0,1759.0,1494.0,2214.0,2525.0,2928.0,3421.0,3152.0,3518.0,3634.0,3527.0,3162.0
水利管理业,7900,20827.0,125.0,5544.0,6368.0,1783.0,441.0,437.0,523.0,374.0,516.0,602.0,659.0,621.0,506.0,654.0,618.0,499.0,537.0
环境管理业,8000,12801.0,44.0,934.0,2363.0,914.0,253.0,318.0,424.0,333.0,558.0,641.0,714.0,866.0,810.0,879.0,899.0,872.0,882.0
公共设施管理业,8100,23925.0,60.0,843.0,2798.0,1588.0,484.0,541.0,812.0,787.0,1140.0,1282.0,1555.0,1934.0,1836.0,1985.0,2117.0,2156.0,1743.0
居民服务和其他服务业,O,120467.0,69.0,1648.0,4422.0,5148.0,1919.0,2161.0,3603.0,3479.0,5720.0,6537.0,7393.0,9704.0,11038.0,12915.0,15456.0,15777.0,13214.0
居民服务业,8200,61339.0,53.0,1203.0,2276.0,2350.0,932.0,1121.0,1925.0,1792.0,2975.0,3311.0,3905.0,4965.0,5567.0,6593.0,7630.0,7911.0,6731.0
其他服务业,8300,59128.0,16.0,445.0,2146.0,2798.0,987.0,1040.0,1678.0,1687.0,2745.0,3226.0,3488.0,4739.0,5471.0,6322.0,7826.0,7866.0,6483.0
教育,P,335065.0,27065.0,90137.0,57329.0,19836.0,6172.0,5669.0,8128.0,7253.0,11304.0,11403.0,12297.0,13845.0,13405.0,14991.0,14531.0,12215.0,9373.0
教育,8400,335065.0,27065.0,90137.0,57329.0,19836.0,6172.0,5669.0,8128.0,7253.0,11304.0,11403.0,12297.0,13845.0,13405.0,14991.0,14531.0,12215.0,9373.0
卫生、社会保障和社会福利业,Q,206480.0,2285.0,54437.0,42533.0,15093.0,4325.0,3489.0,5650.0,4333.0,7245.0,7472.0,7421.0,8829.0,8057.0,9842.0,10015.0,8884.0,6517.0
卫生,8500,171449.0,2162.0,52080.0,33792.0,12116.0,3502.0,2835.0,4698.0,3473.0,5763.0,5927.0,5811.0,6279.0,6146.0,7857.0,7809.0,6391.0,4780.0
社会保障业,8600,11428.0,16.0,147.0,1926.0,1162.0,292.0,216.0,224.0,251.0,630.0,678.0,704.0,1408.0,790.0,721.0,877.0,820.0,562.0
社会福利业,8700,23603.0,107.0,2210.0,6815.0,1815.0,531.0,438.0,728.0,609.0,852.0,867.0,906.0,1142.0,1121.0,1264.0,1329.0,1673.0,1175.0
文化、体育和娱乐业,R,81878.0,935.0,9287.0,15804.0,5084.0,1393.0,1325.0,1950.0,1645.0,2681.0,3099.0,3613.0,4517.0,4798.0,6021.0,6888.0,6967.0,5707.0
新闻出版业,8800,6278.0,112.0,422.0,1761.0,825.0,162.0,97.0,176.0,186.0,268.0,266.0,244.0,313.0,375.0,335.0,291.0,259.0,182.0
广播、电视、电影和音像业,8900,13481.0,110.0,2456.0,3320.0,1031.0,252.0,226.0,326.0,223.0,383.0,461.0,642.0,558.0,629.0,764.0,786.0,731.0,569.0
文化艺术业,9000,33830.0,678.0,5750.0,8926.0,1991.0,548.0,535.0,703.0,519.0,892.0,1128.0,1244.0,1546.0,1458.0,1877.0,2070.0,2111.0,1802.0
体育,9100,7405.0,19.0,550.0,1123.0,477.0,166.0,147.0,186.0,176.0,323.0,375.0,419.0,512.0,525.0,603.0,612.0,659.0,523.0
娱乐业,9200,20884.0,16.0,109.0,674.0,760.0,265.0,320.0,559.0,541.0,815.0,869.0,1064.0,1588.0,1811.0,2442.0,3129.0,3207.0,2631.0
公共管理和社会组织,S,1363857.0,51900.0,223355.0,464965.0,84380.0,23620.0,18271.0,28227.0,28459.0,39465.0,49729.0,50195.0,40260.0,39958.0,41373.0,36805.0,38814.0,25639.0
中国共产党机关,9300,39846.0,3033.0,10025.0,13874.0,2655.0,786.0,658.0,564.0,381.0,666.0,1078.0,1182.0,634.0,426.0,430.0,327.0,292.0,155.0
国家机构,9400,396222.0,8565.0,57802.0,115775.0,34756.0,9645.0,8633.0,10596.0,7113.0,10895.0,17411.0,21255.0,14680.0,12759.0,15205.0,11463.0,10375.0,6954.0
人民政协和民主党派,9500,6209.0,271.0,1432.0,2835.0,302.0,106.0,103.0,136.0,72.0,119.0,113.0,102.0,99.0,72.0,77.0,46.0,41.0,19.0
群众团体、社会团体和宗教组织,9600,234644.0,7309.0,14696.0,53233.0,18521.0,5840.0,4497.0,8000.0,6708.0,10298.0,9562.0,10319.0,11579.0,12328.0,15207.0,16816.0,17404.0,12291.0
基层群众自治组织,9700,686936.0,32722.0,139400.0,279248.0,28146.0,7243.0,4380.0,8931.0,14185.0,17487.0,21565.0,17337.0,13268.0,14373.0,10454.0,8153.0,10702.0,6220.0
