SalaryGradeStructureTable-PositionLevel-PositionLevel,SalaryGradeStructureTable-PositionLevel-PositionLevel.1,SalaryGradeStructureTable-PositionName-PositionName,SalaryGradeStructureTable-SalaryGrade-SalaryLevel,SalaryGradeStructureTable-SalaryGrade-BasicSalary,SalaryGradeStructureTable-SalaryGrade-Position-basedsalary,"SalaryGradeStructureTable-SalaryGrade-Capacity,PerformanceSalary",SalaryGradeStructureTable-SalaryGrade-SkillAllowance,SalaryGradeStructureTable-SalaryGrade-Total,SalaryGradeStructureTable-Notes-Notes,SalaryGradeStructureTable-Notes-Notes.1
2,Mid-level Management,"Department Manager  
Department Deputy Manager  
Department Supervisor  
General Manager Secretary  
Workshop Supervisor",①,900,500.0,500,,1900,"1. Department managers are placed in level ③～④ during the probation period (2700-3200 RMB).  
2. Deputy department managers and department heads are placed in level ②～③ during the probation period (2300-2700 RMB).  
3. Workshop supervisors and the General Manager's secretary are placed in level ①～② during the probation period (1900-2300 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points. The standard calculation value is 1. The additional part of production capacity or performance is calculated according to the standard value, with overpayment being refunded and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of production capacity and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
2,Mid-level Management,"Department Manager  
Department Deputy Manager  
Department Supervisor  
General Manager Secretary  
Workshop Supervisor",②,900,700.0,700,,2300,"1. Department managers are placed in level ③～④ during the probation period (2700-3200 RMB).  
2. Deputy department managers and department heads are placed in level ②～③ during the probation period (2300-2700 RMB).  
3. Workshop supervisors and the General Manager's secretary are placed in level ①～② during the probation period (1900-2300 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points. The standard calculation value is 1. The additional part of production capacity or performance is calculated according to the standard value, with overpayment being refunded and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of production capacity and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
2,Mid-level Management,"Department Manager  
Department Deputy Manager  
Department Supervisor  
General Manager Secretary  
Workshop Supervisor",③,1050,800.0,850,,2700,"1. Department managers are placed in level ③～④ during the probation period (2700-3200 RMB).  
2. Deputy department managers and department heads are placed in level ②～③ during the probation period (2300-2700 RMB).  
3. Workshop supervisors and the General Manager's secretary are placed in level ①～② during the probation period (1900-2300 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points. The standard calculation value is 1. The additional part of production capacity or performance is calculated according to the standard value, with overpayment being refunded and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of production capacity and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
2,Mid-level Management,"Department Manager  
Department Deputy Manager  
Department Supervisor  
General Manager Secretary  
Workshop Supervisor",④,1300,900.0,1000,,3200,"1. Department managers are placed in level ③～④ during the probation period (2700-3200 RMB).  
2. Deputy department managers and department heads are placed in level ②～③ during the probation period (2300-2700 RMB).  
3. Workshop supervisors and the General Manager's secretary are placed in level ①～② during the probation period (1900-2300 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points. The standard calculation value is 1. The additional part of production capacity or performance is calculated according to the standard value, with overpayment being refunded and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of production capacity and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
2,Mid-level Management,"Department Manager  
Department Deputy Manager  
Department Supervisor  
General Manager Secretary  
Workshop Supervisor",⑤,1400,1000.0,1300,,3700,"1. Department managers are placed in level ③～④ during the probation period (2700-3200 RMB).  
2. Deputy department managers and department heads are placed in level ②～③ during the probation period (2300-2700 RMB).  
3. Workshop supervisors and the General Manager's secretary are placed in level ①～② during the probation period (1900-2300 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points. The standard calculation value is 1. The additional part of production capacity or performance is calculated according to the standard value, with overpayment being refunded and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of production capacity and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
2,Mid-level Management,"Department Manager  
Department Deputy Manager  
Department Supervisor  
General Manager Secretary  
Workshop Supervisor",⑥,1600,1100.0,1600,,4300,"1. Department managers are placed in level ③～④ during the probation period (2700-3200 RMB).  
2. Deputy department managers and department heads are placed in level ②～③ during the probation period (2300-2700 RMB).  
3. Workshop supervisors and the General Manager's secretary are placed in level ①～② during the probation period (1900-2300 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points. The standard calculation value is 1. The additional part of production capacity or performance is calculated according to the standard value, with overpayment being refunded and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of production capacity and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
2,Mid-level Management,"Department Manager  
Department Deputy Manager  
Department Supervisor  
General Manager Secretary  
Workshop Supervisor",⑦,1800,1200.0,1700,,4700,"1. Department managers are placed in level ③～④ during the probation period (2700-3200 RMB).  
2. Deputy department managers and department heads are placed in level ②～③ during the probation period (2300-2700 RMB).  
3. Workshop supervisors and the General Manager's secretary are placed in level ①～② during the probation period (1900-2300 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points. The standard calculation value is 1. The additional part of production capacity or performance is calculated according to the standard value, with overpayment being refunded and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of production capacity and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
2,Mid-level Management,"Department Manager  
Department Deputy Manager  
Department Supervisor  
General Manager Secretary  
Workshop Supervisor",⑧,1900,1300.0,1800,,5000,"1. Department managers are placed in level ③～④ during the probation period (2700-3200 RMB).  
2. Deputy department managers and department heads are placed in level ②～③ during the probation period (2300-2700 RMB).  
3. Workshop supervisors and the General Manager's secretary are placed in level ①～② during the probation period (1900-2300 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points. The standard calculation value is 1. The additional part of production capacity or performance is calculated according to the standard value, with overpayment being refunded and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of production capacity and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
2,Mid-level Management,"Department Manager  
Department Deputy Manager  
Department Supervisor  
General Manager Secretary  
Workshop Supervisor",⑨,2000,1400.0,1900,,5300,"1. Department managers are placed in level ③～④ during the probation period (2700-3200 RMB).  
2. Deputy department managers and department heads are placed in level ②～③ during the probation period (2300-2700 RMB).  
3. Workshop supervisors and the General Manager's secretary are placed in level ①～② during the probation period (1900-2300 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points. The standard calculation value is 1. The additional part of production capacity or performance is calculated according to the standard value, with overpayment being refunded and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of production capacity and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
2,Mid-level Management,"Department Manager  
Department Deputy Manager  
Department Supervisor  
General Manager Secretary  
Workshop Supervisor",⑩,2100,1500.0,2000,,5600,"1. Department managers are placed in level ③～④ during the probation period (2700-3200 RMB).  
2. Deputy department managers and department heads are placed in level ②～③ during the probation period (2300-2700 RMB).  
3. Workshop supervisors and the General Manager's secretary are placed in level ①～② during the probation period (1900-2300 RMB).  
4. The monthly standard output value is 5 million RMB or the performance standard score is 80 points. The standard calculation value is 1. The additional part of production capacity or performance is calculated according to the standard value, with overpayment being refunded and underpayment being supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager before disbursement.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of production capacity and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
3,Employee,"Human Resources Officer  
Technical Staff  
Office Staff  
Business Staff  
Driver  
Accountant, Cashier  
Office Assistant  
Quality Control, Warehouse Staff  
Workshop Team Leader  
Production Management, Planner",①,900,50.0,300,,1250,"1. Personnel officers, technicians, and workshop team leaders during the probation period are placed at level ②～③ (1550-1950 RMB).  
2. Production managers, planners, office staff, accountants, cashiers, and assistants during the probation period are placed at level ①～③ (1250-1950 RMB).  
3. Quality inspectors, warehouse managers, and drivers during the probation period are placed at level ①～② (1250-1550 RMB).  
4. The standard monthly output value is 5 million RMB or the standard performance score is 80 points, with the standard calculation value set at 1. Additional parts of output or performance are calculated based on the standard value, with overpayment returned and underpayment supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager and then issued.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of output and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
3,Employee,"Human Resources Officer  
Technical Staff  
Office Staff  
Business Staff  
Driver  
Accountant, Cashier  
Office Assistant  
Quality Control, Warehouse Staff  
Workshop Team Leader  
Production Management, Planner",②,900,250.0,400,,1550,"1. Personnel officers, technicians, and workshop team leaders during the probation period are placed at level ②～③ (1550-1950 RMB).  
2. Production managers, planners, office staff, accountants, cashiers, and assistants during the probation period are placed at level ①～③ (1250-1950 RMB).  
3. Quality inspectors, warehouse managers, and drivers during the probation period are placed at level ①～② (1250-1550 RMB).  
4. The standard monthly output value is 5 million RMB or the standard performance score is 80 points, with the standard calculation value set at 1. Additional parts of output or performance are calculated based on the standard value, with overpayment returned and underpayment supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager and then issued.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of output and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
3,Employee,"Human Resources Officer  
Technical Staff  
Office Staff  
Business Staff  
Driver  
Accountant, Cashier  
Office Assistant  
Quality Control, Warehouse Staff  
Workshop Team Leader  
Production Management, Planner",③,900,550.0,500,,1950,"1. Personnel officers, technicians, and workshop team leaders during the probation period are placed at level ②～③ (1550-1950 RMB).  
2. Production managers, planners, office staff, accountants, cashiers, and assistants during the probation period are placed at level ①～③ (1250-1950 RMB).  
3. Quality inspectors, warehouse managers, and drivers during the probation period are placed at level ①～② (1250-1550 RMB).  
4. The standard monthly output value is 5 million RMB or the standard performance score is 80 points, with the standard calculation value set at 1. Additional parts of output or performance are calculated based on the standard value, with overpayment returned and underpayment supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager and then issued.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of output and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
3,Employee,"Human Resources Officer  
Technical Staff  
Office Staff  
Business Staff  
Driver  
Accountant, Cashier  
Office Assistant  
Quality Control, Warehouse Staff  
Workshop Team Leader  
Production Management, Planner",④,1100,700.0,600,,2400,"1. Personnel officers, technicians, and workshop team leaders during the probation period are placed at level ②～③ (1550-1950 RMB).  
2. Production managers, planners, office staff, accountants, cashiers, and assistants during the probation period are placed at level ①～③ (1250-1950 RMB).  
3. Quality inspectors, warehouse managers, and drivers during the probation period are placed at level ①～② (1250-1550 RMB).  
4. The standard monthly output value is 5 million RMB or the standard performance score is 80 points, with the standard calculation value set at 1. Additional parts of output or performance are calculated based on the standard value, with overpayment returned and underpayment supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager and then issued.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of output and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
3,Employee,"Human Resources Officer  
Technical Staff  
Office Staff  
Business Staff  
Driver  
Accountant, Cashier  
Office Assistant  
Quality Control, Warehouse Staff  
Workshop Team Leader  
Production Management, Planner",⑤,1200,900.0,700,,2800,"1. Personnel officers, technicians, and workshop team leaders during the probation period are placed at level ②～③ (1550-1950 RMB).  
2. Production managers, planners, office staff, accountants, cashiers, and assistants during the probation period are placed at level ①～③ (1250-1950 RMB).  
3. Quality inspectors, warehouse managers, and drivers during the probation period are placed at level ①～② (1250-1550 RMB).  
4. The standard monthly output value is 5 million RMB or the standard performance score is 80 points, with the standard calculation value set at 1. Additional parts of output or performance are calculated based on the standard value, with overpayment returned and underpayment supplemented.  
5. The skill allowance ranges from 200 to 1000 RMB, mainly applicable to specially recruited technical or management talents. The specific amount is approved by the General Manager and then issued.  
6. Salary adjustment timing:  
(1) A salary adjustment is conducted once after the probation period or after a position change;  
(2) The company conducts a unified salary adjustment once on April 20th of each year (applicable to employees who have worked for more than one year, including those with 10-12 months of service).  
7. The proportion of output and performance wages to an individual's total salary is between 20% and 40%.","The company implements a six-day, eight-hour work schedule. Overtime is handled in accordance with the ""Overtime Pay Management System."""
