0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Chengdu,2024-05-20 00:00:00,Friday,13505.66,42,30,19,0,0,0,9266,0.686083,9266,-4239.66,-,0
Chengdu,2024-05-21 00:00:00,Saturday,9164.59,28,19,15,0,0,0,0,0,0,-9164.59,-,0
Chengdu,2024-05-22 00:00:00,Sunday,12226.27,40,26,14,1,1,1379,0,0.11279,1379,-10847.3,12226.27,0.071429
Chengdu,2024-05-23 00:00:00,Monday,12498.57,44,34,22,0,0,0,0,0,0,-12498.6,-,0
Chengdu,2024-05-24 00:00:00,Tuesday,13380.58,51,33,18,4,3,12778,3077,1.184926,15855,2474.42,3345.145,0.222222
Chengdu,2024-05-25 00:00:00,Wednesday,12451.06,32,20,9,4,4,25265,0,2.029145,25265,12813.94,3112.765,0.444444
Chengdu,2024-05-26 00:00:00,Thursday,12345.02,45,32,10,9,5,63357,4680,5.511291,68037,55691.98,1371.669,0.9
Chengdu,2024-05-27 00:00:00,Friday,12451.06,54,37,24,4,4,7379,12880,1.62709,20259,7807.94,3112.765,0.166667
Chengdu,2024-05-28 00:00:00,Saturday,12345.02,56,36,24,9,6,58598,78,4.75301,58676,46330.98,1371.669,0.375
Chengdu,2024-05-29 00:00:00,Sunday,11872.73,54,36,21,7,6,38632,5000,3.674976,43632,31759.27,1696.104,0.333333
Chengdu,2024-05-30 00:00:00,Monday,12122.92,49,39,21,6,2,2940,9219,1.002976,12159,36.08008,2020.487,0.285714
Chengdu,2024-05-31 00:00:00,Tuesday,11472.56,58,32,19,4,2,2680,-801,0.163782,1879,-9593.56,2868.14,0.210526
Harbin,2024-05-01 00:00:00,Sunday,9918.307,53,32,30,5,5,8164,25124,3.356218,33288,23369.69,1983.661,0.166667
Harbin,2024-05-02 00:00:00,Monday,14085.43,57,40,32,12,10,21256.1,2120,1.659594,23376.1,9290.667,1173.786,0.375
Harbin,2024-05-03 00:00:00,Tuesday,14126.45,76,51,32,7,6,6878.8,100,0.494023,6978.8,-7147.65,2018.065,0.21875
Harbin,2024-05-04 00:00:00,Wednesday,14613.88,69,44,39,4,4,51826,-980,3.479295,50846,36232.12,3653.47,0.102564
Harbin,2024-05-05 00:00:00,Thursday,13461.21,76,54,40,11,8,28297,0,2.102114,28297,14835.79,1223.746,0.275
Harbin,2024-05-06 00:00:00,Friday,14576.25,87,57,30,6,2,20480,16702,2.550862,37182,22605.75,2429.374,0.2
Harbin,2024-05-07 00:00:00,Saturday,21589.9,86,62,56,8,4,16377,298,0.772352,16675,-4914.9,2698.738,0.142857
Harbin,2024-05-08 00:00:00,Sunday,18314.52,98,65,57,8,7,20075.5,128,1.103141,20203.5,1888.977,2289.315,0.140351
Harbin,2024-05-09 00:00:00,Monday,18418.86,79,50,40,14,7,38815,1999,2.21588,40814,22395.14,1315.633,0.35
Harbin,2024-05-10 00:00:00,Tuesday,18863.45,99,58,47,11,8,104640,1380,5.620392,106020,87156.55,1714.86,0.234043
Harbin,2024-05-11 00:00:00,Wednesday,16752.73,73,47,36,3,2,23880,26628,3.014912,50508,33755.27,5584.242,0.083333
Harbin,2024-05-12 00:00:00,Thursday,15241.92,80,55,46,7,5,26507,31425,3.800834,57932,42690.08,2177.417,0.152174
Harbin,2024-05-13 00:00:00,Friday,14645.77,70,44,38,5,2,1156.8,507,0.113603,1663.8,-12982,2929.154,0.131579
Harbin,2024-05-14 00:00:00,Saturday,15686.78,84,50,40,6,5,20570,0,1.311295,20570,4883.215,2614.464,0.15
Harbin,2024-05-15 00:00:00,Sunday,14957.11,55,36,39,7,5,23747,22518,3.093178,46265,31307.89,2136.73,0.179487
Harbin,2024-05-16 00:00:00,Monday,11412.05,62,39,37,9,5,12344,938,1.163858,13282,1869.953,1268.005,0.243243
Harbin,2024-05-17 00:00:00,Tuesday,11074.21,54,28,26,6,3,7918.5,16993,2.249505,24911.5,13837.29,1845.702,0.230769
Harbin,2024-05-18 00:00:00,Wednesday,10516.02,58,40,34,11,10,104447,4110,10.32301,108557,98040.98,956.0022,0.323529
Harbin,2024-05-19 00:00:00,Thursday,10612.87,59,38,39,10,4,15480.5,0,1.458653,15480.5,4867.625,1061.287,0.25641
Harbin,2024-05-20 00:00:00,Friday,5346.256,28,19,20,2,2,35800,0,6.696274,35800,30453.74,2673.128,0.1
Harbin,2024-05-21 00:00:00,Saturday,4028.772,29,21,12,0,0,0,0,0,0,-4028.77,-,0
Harbin,2024-05-22 00:00:00,Sunday,5913.999,31,25,11,0,0,0,0,0,0,-5914,-,0
Harbin,2024-05-23 00:00:00,Monday,7047.588,35,22,23,0,0,0,0,0,0,-7047.59,-,0
Harbin,2024-05-24 00:00:00,Tuesday,5612.87,23,18,12,1,0,0,0,0,0,-5612.87,5612.87,0.083333
Harbin,2024-05-25 00:00:00,Wednesday,4352.614,33,22,27,9,5,11637.5,18,2.677816,11655.5,7302.886,483.6237,0.333333
Harbin,2024-05-26 00:00:00,Thursday,4847.476,27,19,16,11,8,29233,8000,7.680904,37233,32385.52,440.6797,0.6875
Harbin,2024-05-27 00:00:00,Friday,5876.412,40,33,28,7,5,25006,2000,4.595662,27006,21129.59,839.4874,0.25
Harbin,2024-05-28 00:00:00,Saturday,9017.93,52,37,23,3,1,8180,0,0.907082,8180,-837.93,3005.977,0.130435
Harbin,2024-05-29 00:00:00,Sunday,9791.946,64,33,22,10,7,53586,4981,5.98114,58567,48775.05,979.1946,0.454545
Harbin,2024-05-30 00:00:00,Monday,15804.17,98,64,64,4,1,10000,0,0.632744,10000,-5804.17,3951.043,0.0625
Harbin,2024-05-31 00:00:00,Tuesday,16846.4,81,64,48,9,5,81666,4139,5.093372,85805,68958.6,1871.823,0.1875
Hangzhou,2024-05-01 00:00:00,Sunday,16512.19,37,25,14,8,7,115519,82249,11.97709,197768,181255.8,2064.023,0.571429
Hangzhou,2024-05-02 00:00:00,Monday,22992.86,65,43,21,8,3,10297,9438,0.85831,19735,-3257.86,2874.107,0.380952
Hangzhou,2024-05-03 00:00:00,Tuesday,22848.75,59,45,23,8,2,10401,16998,1.199146,27399,4550.246,2856.094,0.347826
Hangzhou,2024-05-04 00:00:00,Wednesday,21146.64,52,35,17,8,5,124830,8638,6.311546,133468,112321.4,2643.33,0.470588
Hangzhou,2024-05-05 00:00:00,Thursday,21830.85,62,40,22,10,7,58834,173758,10.65428,232592,210761.2,2183.085,0.454545
Hangzhou,2024-05-06 00:00:00,Friday,17476.45,56,39,21,11,8,68304,75994,8.256709,144298,126821.5,1588.769,0.52381
Hangzhou,2024-05-07 00:00:00,Saturday,20497.44,61,48,28,12,9,38129,32715,3.456236,70844,50346.56,1708.12,0.428571
Hangzhou,2024-05-08 00:00:00,Sunday,24375.22,52,35,18,10,8,79478,2560,3.365631,82038,57662.78,2437.522,0.555556
Hangzhou,2024-05-09 00:00:00,Monday,20536.74,61,44,23,7,4,20290,12025,1.573522,32315,11778.26,2933.819,0.304348
Hangzhou,2024-05-10 00:00:00,Tuesday,20646.28,42,32,11,8,5,109334,17978,6.166341,127312,106665.7,2580.785,0.727273
Hangzhou,2024-05-11 00:00:00,Wednesday,18512.26,55,43,24,11,7,63155,12625.72,4.093543,75780.72,57268.46,1682.933,0.458333
Hangzhou,2024-05-12 00:00:00,Thursday,20211.44,64,48,17,12,7,34813,93012.67,6.324423,127825.7,107614.2,1684.286,0.705882
Hangzhou,2024-05-13 00:00:00,Friday,17014.67,49,39,31,8,7,163789,77724,14.1944,241513,224498.3,2126.833,0.258065
Hangzhou,2024-05-14 00:00:00,Saturday,16776.9,54,37,16,11,7,116886,3038,7.148163,119924,103147.1,1525.173,0.6875
Hangzhou,2024-05-15 00:00:00,Sunday,15735.25,39,31,16,4,1,109394,74218,11.66883,183612,167876.7,3933.813,0.25
Hangzhou,2024-05-16 00:00:00,Monday,19648.78,61,45,31,8,7,37723,24875,3.185846,62598,42949.22,2456.098,0.258065
Hangzhou,2024-05-17 00:00:00,Tuesday,13953.16,39,28,17,10,4,35783,29692,4.692484,65475,51521.84,1395.316,0.588235
Hangzhou,2024-05-18 00:00:00,Wednesday,16310.14,36,31,24,6,4,24952,16998,2.57202,41950,25639.86,2718.356,0.25
Hangzhou,2024-05-19 00:00:00,Thursday,12135.46,37,29,14,5,4,13459,3625,1.407775,17084,4948.541,2427.092,0.357143
Hangzhou,2024-05-20 00:00:00,Friday,21090.74,32,22,8,0,0,0,22546,1.069,22546,1455.263,-,0
Hangzhou,2024-05-21 00:00:00,Saturday,10025.13,30,19,7,2,1,2999,1737,0.472413,4736,-5289.13,5012.564,0.285714
Hangzhou,2024-05-22 00:00:00,Sunday,16332.43,42,34,13,1,1,8379,2792,0.683977,11171,-5161.43,16332.43,0.076923
Hangzhou,2024-05-23 00:00:00,Monday,19431.68,52,39,18,1,0,0,0,0,0,-19431.7,19431.68,0.055556
Hangzhou,2024-05-24 00:00:00,Tuesday,12619.04,51,32,17,2,1,2022,1280,0.261668,3302,-9317.04,6309.522,0.117647
Hangzhou,2024-05-25 00:00:00,Wednesday,18583.68,52,40,21,6,3,44306.2,16747,3.285313,61053.2,42469.52,3097.279,0.285714
Hangzhou,2024-05-26 00:00:00,Thursday,21166.29,63,55,28,4,4,34522,74288,5.140722,108810,87643.71,5291.572,0.142857
Hangzhou,2024-05-27 00:00:00,Friday,21090.74,64,48,25,1,1,1453,2116,0.169221,3569,-17521.7,21090.74,0.04
Hangzhou,2024-05-28 00:00:00,Saturday,24900.05,70,57,28,1,1,62775,3664,2.668228,66439,41538.95,24900.05,0.035714
Hangzhou,2024-05-29 00:00:00,Sunday,25568.07,67,47,27,3,1,400,56834,2.238495,57234,31665.93,8522.689,0.111111
Hangzhou,2024-05-30 00:00:00,Monday,27044.71,93,68,35,8,6,326526,115278,16.33606,441804,414759.3,3380.589,0.228571
Hangzhou,2024-05-31 00:00:00,Tuesday,31354.09,83,58,45,11,6,7703,568,0.263793,8271,-23083.1,2850.371,0.244444
Hefei,2024-05-01 00:00:00,Sunday,10843.91,31,23,18,4,2,20380,1113.5,1.982081,21493.5,10649.59,2710.977,0.222222
Hefei,2024-05-02 00:00:00,Monday,13264.16,58,35,23,3,3,1580,24848,1.992437,26428,13163.84,4421.386,0.130435
Hefei,2024-05-03 00:00:00,Tuesday,14607.9,37,25,18,11,8,11189,20650,2.179573,31839,17231.1,1327.991,0.611111
Hefei,2024-05-04 00:00:00,Wednesday,13746.17,43,26,19,6,4,5040,1680,0.488863,6720,-7026.17,2291.029,0.315789
Hefei,2024-05-05 00:00:00,Thursday,15035.7,42,28,18,3,3,1380,7490,0.589929,8870,-6165.7,5011.902,0.166667
Hefei,2024-05-06 00:00:00,Friday,18219.13,44,31,29,12,8,58476,11840,3.859461,70316,52096.87,1518.26,0.413793
Hefei,2024-05-07 00:00:00,Saturday,18508.04,50,35,20,7,4,39159,16460,3.005127,55619,37110.96,2644.005,0.35
Hefei,2024-05-08 00:00:00,Sunday,18247.08,60,38,32,11,7,11838,14700,1.45437,26538,8290.923,1658.825,0.34375
Hefei,2024-05-09 00:00:00,Monday,18932.43,61,40,29,5,1,399,10330,0.5667,10729,-8203.43,3786.485,0.172414
Hefei,2024-05-10 00:00:00,Tuesday,17932.38,54,34,29,5,4,6997,4640,0.648938,11637,-6295.38,3586.475,0.172414
Hefei,2024-05-11 00:00:00,Wednesday,18411.43,63,45,31,5,3,12369,4162,0.897866,16531,-1880.43,3682.286,0.16129
Hefei,2024-05-12 00:00:00,Thursday,16448.2,45,30,13,6,4,8917,0,0.542126,8917,-7531.2,2741.366,0.461538
Hefei,2024-05-13 00:00:00,Friday,19183.42,50,28,18,4,4,22180,10461,1.701521,32641,13457.58,4795.856,0.222222
Hefei,2024-05-14 00:00:00,Saturday,18464.82,53,33,23,10,8,11549,7420,1.027305,18969,504.1845,1846.482,0.434783
Hefei,2024-05-15 00:00:00,Sunday,19662.75,51,34,24,6,6,30428,500,1.572924,30928,11265.25,3277.124,0.25
Hefei,2024-05-16 00:00:00,Monday,14953.8,50,32,23,5,5,12120,7240,1.294654,19360,4406.199,2990.76,0.217391
Hefei,2024-05-17 00:00:00,Tuesday,12599.5,44,38,26,6,4,11269,14359,2.034049,25628,13028.5,2099.917,0.230769
Hefei,2024-05-18 00:00:00,Wednesday,10727.69,42,25,20,7,6,2900,0,0.270328,2900,-7827.69,1532.528,0.35
Hefei,2024-05-19 00:00:00,Thursday,8171.523,32,21,11,7,6,3420,3739,0.876091,7159,-1012.52,1167.36,0.636364
Hefei,2024-05-20 00:00:00,Friday,0,9,8,2,3,3,13398,44260,-,57658,57658,0,1.5
Hefei,2024-05-21 00:00:00,Saturday,0,0,0,0,0,0,0,0,-,0,0,-,-
Hefei,2024-05-22 00:00:00,Sunday,0,0,0,0,0,0,0,0,-,0,0,-,-
Hefei,2024-05-23 00:00:00,Monday,0,2,2,0,0,0,0,0,-,0,0,-,-
Hefei,2024-05-24 00:00:00,Tuesday,0,3,1,2,0,0,0,0,-,0,0,-,0
Hefei,2024-05-25 00:00:00,Wednesday,0,10,9,3,3,2,3180,1180,-,4360,4360,0,1
Hefei,2024-05-26 00:00:00,Thursday,0,15,12,5,6,5,22367,0,-,22367,22367,0,1.2
Hefei,2024-05-27 00:00:00,Friday,0,13,9,6,0,0,0,0,-,0,0,-,0
Hefei,2024-05-28 00:00:00,Saturday,3368.68,5,3,2,6,2,1980,5920,2.345132,7900,4531.32,561.4467,3
Hefei,2024-05-29 00:00:00,Sunday,11622.62,44,34,19,1,0,0,1200,0.103247,1200,-10422.6,11622.62,0.052632
Hefei,2024-05-30 00:00:00,Monday,11814.12,63,47,28,6,5,13730,2680,1.389016,16410,4595.88,1969.02,0.214286
Hefei,2024-05-31 00:00:00,Tuesday,10699.04,44,32,30,10,10,9600,-200,0.878583,9400,-1299.04,1069.904,0.333333
Jinan,2024-05-01 00:00:00,Sunday,9416.861,48,28,12,8,7,29127,26021,5.856304,55148,45731.14,1177.108,0.666667
Jinan,2024-05-02 00:00:00,Monday,12410.41,60,35,20,7,6,26539.9,764.3,2.200105,27304.2,14893.79,1772.915,0.35
Jinan,2024-05-03 00:00:00,Tuesday,13336.38,63,32,26,8,5,20592,0,1.544048,20592,7255.624,1667.047,0.307692
Jinan,2024-05-04 00:00:00,Wednesday,15027.83,60,32,20,4,3,12458,18115,2.034426,30573,15545.17,3756.957,0.2
Jinan,2024-05-05 00:00:00,Thursday,13052.44,61,35,19,4,3,14769,1353.33,1.235196,16122.33,3069.886,3263.111,0.210526
Jinan,2024-05-06 00:00:00,Friday,11253.1,40,21,13,6,4,551.49,280,0.07389,831.49,-10421.6,1875.516,0.461538
Jinan,2024-05-07 00:00:00,Saturday,13557.13,58,32,10,13,5,3644,2640,0.46352,6284,-7273.13,1042.856,1.3
Jinan,2024-05-08 00:00:00,Sunday,15223.37,71,40,24,6,6,20469,3271.2,1.559458,23740.2,8516.834,2537.228,0.25
Jinan,2024-05-09 00:00:00,Monday,16146.91,60,41,20,5,3,31311,1340,2.02212,32651,16504.09,3229.383,0.25
Jinan,2024-05-10 00:00:00,Tuesday,13878.87,50,27,16,6,3,11010,601.2,0.83661,11611.2,-2267.67,2313.145,0.375
Jinan,2024-05-11 00:00:00,Wednesday,14813.96,64,37,16,8,2,16321,8365,1.666401,24686,9872.038,1851.745,0.5
Jinan,2024-05-12 00:00:00,Thursday,14872.63,59,31,19,8,2,1260,29877,2.093577,31137,16264.37,1859.079,0.421053
Jinan,2024-05-13 00:00:00,Friday,14466.18,63,34,18,5,2,168,12800,0.896436,12968,-1498.18,2893.236,0.277778
Jinan,2024-05-14 00:00:00,Saturday,10971.85,52,20,20,6,3,34430,34450,6.277886,68880,57908.15,1828.641,0.3
Jinan,2024-05-15 00:00:00,Sunday,11607.65,61,31,23,19,12,82669,16980,8.584771,99649,88041.35,610.9288,0.826087
Jinan,2024-05-16 00:00:00,Monday,10653.92,54,38,18,5,3,3559,2789.4,0.595875,6348.4,-4305.52,2130.784,0.277778
Jinan,2024-05-17 00:00:00,Tuesday,11494.51,64,40,19,4,2,2870,0,0.249684,2870,-8624.51,2873.627,0.210526
Jinan,2024-05-18 00:00:00,Wednesday,11895.72,47,25,16,5,5,13155.6,99,1.114232,13254.6,1358.876,2379.145,0.3125
Jinan,2024-05-19 00:00:00,Thursday,9004.294,40,20,23,6,3,30897.8,0,3.431452,30897.8,21893.51,1500.716,0.26087
Jinan,2024-05-20 00:00:00,Friday,4355.318,34,19,8,2,2,879,0,0.201822,879,-3476.32,2177.659,0.25
Jinan,2024-05-21 00:00:00,Saturday,4309.211,33,21,17,1,0,0,0,0,0,-4309.21,4309.211,0.058824
Jinan,2024-05-22 00:00:00,Sunday,5799.983,41,23,9,0,0,0,0,0,0,-5799.98,-,0
Jinan,2024-05-23 00:00:00,Monday,5890.679,34,18,15,0,0,0,993.6,0.168673,993.6,-4897.08,-,0
Jinan,2024-05-24 00:00:00,Tuesday,7185.848,38,27,14,1,1,1980,0,0.275542,1980,-5205.85,7185.848,0.071429
Jinan,2024-05-25 00:00:00,Wednesday,7300.773,39,19,11,2,1,22780,0,3.120217,22780,15479.23,3650.387,0.181818
Jinan,2024-05-26 00:00:00,Thursday,7688.763,40,24,15,4,3,20795.6,1080,2.845139,21875.6,14186.84,1922.191,0.266667
Jinan,2024-05-27 00:00:00,Friday,8755.72,43,30,23,6,5,16199,0,1.850105,16199,7443.28,1459.287,0.26087
Jinan,2024-05-28 00:00:00,Saturday,7247.71,40,24,12,10,5,10180,0,1.404582,10180,2932.29,724.771,0.833333
Jinan,2024-05-29 00:00:00,Sunday,12525.83,64,43,22,14,12,29013,100,2.324238,29113,16587.17,894.7018,0.636364
Jinan,2024-05-30 00:00:00,Monday,16203.62,68,39,28,1,1,12924,0,0.797599,12924,-3279.62,16203.62,0.035714
Jinan,2024-05-31 00:00:00,Tuesday,16445.75,92,49,20,5,3,16760,-1088,0.952951,15672,-773.748,3289.15,0.25
Jiaxing,2024-05-01 00:00:00,Sunday,8857.477,26,21,13,6,3,2468.5,6276,0.987245,8744.5,-112.977,1476.246,0.461538
Jiaxing,2024-05-02 00:00:00,Monday,7932.995,26,19,16,11,9,33284,24500,7.284008,57784,49851,721.1814,0.6875
Jiaxing,2024-05-03 00:00:00,Tuesday,9656.393,33,22,11,2,2,9287,0,0.961746,9287,-369.393,4828.197,0.181818
Jiaxing,2024-05-04 00:00:00,Wednesday,10041.72,37,29,19,2,2,1231,6188,0.738818,7419,-2622.72,5020.86,0.105263
Jiaxing,2024-05-05 00:00:00,Thursday,10306.66,34,24,16,5,4,22810,2000,2.407182,24810,14503.34,2061.331,0.3125
Jiaxing,2024-05-06 00:00:00,Friday,12888.67,48,34,19,11,8,15621,0,1.211995,15621,2732.33,1171.697,0.578947
Jiaxing,2024-05-07 00:00:00,Saturday,15273.79,56,38,29,7,5,17751,0,1.162187,17751,2477.215,2181.969,0.241379
Jiaxing,2024-05-08 00:00:00,Sunday,12711.42,41,23,23,6,4,5639,0,0.443617,5639,-7072.42,2118.571,0.26087
Jiaxing,2024-05-09 00:00:00,Monday,11006.25,47,33,20,3,1,2646,-10000,-0.66817,-7354,-18360.2,3668.748,0.15
Jiaxing,2024-05-10 00:00:00,Tuesday,10564.78,39,27,22,5,5,17210,0,1.628998,17210,6645.221,2112.956,0.227273
Jiaxing,2024-05-11 00:00:00,Wednesday,11332.45,37,28,22,3,2,739,5000,0.506422,5739,-5593.45,3777.484,0.136364
Jiaxing,2024-05-12 00:00:00,Thursday,11760.67,53,36,22,3,2,12466,0,1.059973,12466,705.3265,3920.225,0.136364
Jiaxing,2024-05-13 00:00:00,Friday,10974.06,36,25,23,7,7,61170,0,5.574055,61170,50195.94,1567.722,0.304348
Jiaxing,2024-05-14 00:00:00,Saturday,10100.37,44,34,26,0,0,35378,0,3.502645,35378,25277.63,-,0
Jiaxing,2024-05-15 00:00:00,Sunday,10020.12,32,23,22,5,2,1269,0,0.126645,1269,-8751.12,2004.024,0.227273
Jiaxing,2024-05-16 00:00:00,Monday,9066.415,41,23,13,2,2,19000,0,2.095647,19000,9933.585,4533.207,0.153846
Jiaxing,2024-05-17 00:00:00,Tuesday,12996.23,52,35,13,5,3,10365,6344,1.285681,16709,3712.772,2599.246,0.384615
Jiaxing,2024-05-18 00:00:00,Wednesday,7426.754,18,8,23,4,2,9844,9990,2.670615,19834,12407.25,1856.689,0.173913
Jiaxing,2024-05-19 00:00:00,Thursday,1199.452,6,3,5,3,3,14950,0,12.46403,14950,13750.55,399.8172,0.6
Jiaxing,2024-05-20 00:00:00,Friday,74.01182,2,1,5,0,0,0,0,0,0,-74.0118,-,0
Jiaxing,2024-05-21 00:00:00,Saturday,107.5727,0,0,0,0,0,0,0,0,0,-107.573,-,-
