23-24两年一分一档对照表-分数-分数,23-24两年一分一档对照表-物理-2024人数,23-24两年一分一档对照表-物理-2024位次,23-24两年一分一档对照表-物理-2023人数,23-24两年一分一档对照表-物理-2023位次,23-24两年一分一档对照表-历史-2024人数,23-24两年一分一档对照表-历史-2024位次,23-24两年一分一档对照表-历史-2023人数,23-24两年一分一档对照表-历史-2023位次
559,916.0,46811.0,727,40851,283.0,13335.0,226.0,9034.0
558,972.0,47783.0,774,41625,306.0,13641.0,237.0,9271.0
557,1007.0,48790.0,806,42431,292.0,13933.0,226.0,9497.0
556,1001.0,49791.0,734,43165,288.0,14221.0,243.0,9740.0
555,1017.0,50808.0,811,43976,322.0,14543.0,241.0,9981.0
554,1068.0,51876.0,818,44794,279.0,14822.0,242.0,10223.0
553,1077.0,52953.0,833,45627,322.0,15144.0,247.0,10470.0
552,1036.0,53989.0,809,46436,288.0,15432.0,266.0,10736.0
551,1056.0,55045.0,859,47295,368.0,15800.0,242.0,10978.0
550,1035.0,56080.0,882,48177,318.0,16118.0,258.0,11236.0
549,1070.0,57150.0,896,49073,331.0,16449.0,241.0,11477.0
548,1086.0,58236.0,846,49919,327.0,16776.0,263.0,11740.0
547,1152.0,59388.0,879,50798,330.0,17106.0,261.0,12001.0
546,1061.0,60449.0,815,51613,328.0,17434.0,245.0,12246.0
545,1118.0,61567.0,883,52496,366.0,17800.0,241.0,12487.0
544,1183.0,62750.0,847,53343,319.0,18119.0,242.0,12729.0
543,1159.0,63909.0,924,54267,339.0,18458.0,256.0,12985.0
542,1165.0,65074.0,867,55134,336.0,18794.0,304.0,13289.0
541,1100.0,66174.0,930,56064,347.0,19141.0,296.0,13585.0
540,1203.0,67377.0,853,56917,395.0,19536.0,281.0,13866.0
539,1196.0,68573.0,912,57829,390.0,19926.0,290.0,14156.0
538,1188.0,69761.0,951,58780,339.0,20265.0,293.0,14449.0
537,1225.0,70986.0,950,59730,397.0,20662.0,286.0,14735.0
536,1218.0,72204.0,923,60653,371.0,21033.0,306.0,15041.0
535,1230.0,73434.0,998,61651,408.0,21441.0,293.0,15334.0
534,1193.0,74627.0,962,62613,413.0,21854.0,299.0,15633.0
533,1240.0,75867.0,971,63584,397.0,22251.0,316.0,15949.0
532,1264.0,77131.0,1033,64617,399.0,22650.0,304.0,16253.0
531,1298.0,78429.0,949,65566,426.0,23076.0,307.0,16560.0
530,1240.0,79669.0,944,66510,359.0,23435.0,326.0,16886.0
529,1273.0,80942.0,1045,67555,440.0,23875.0,296.0,17182.0
528,1305.0,82247.0,1029,68584,372.0,24247.0,291.0,17473.0
527,1319.0,83566.0,1058,69642,429.0,24676.0,358.0,17831.0
526,1354.0,84920.0,983,70625,434.0,25110.0,325.0,18156.0
525,1389.0,86309.0,1045,71670,412.0,25522.0,388.0,18544.0
524,1334.0,87643.0,1051,72721,466.0,25988.0,324.0,18868.0
523,1324.0,88967.0,1053,73774,441.0,26429.0,369.0,19237.0
522,1415.0,90382.0,1060,74834,469.0,26898.0,359.0,19596.0
521,1315.0,91697.0,1101,75935,426.0,27324.0,355.0,19951.0
520,1358.0,93055.0,1047,76982,466.0,27790.0,378.0,20329.0
519,1232.0,94287.0,1096,78078,468.0,28258.0,421.0,20750.0
518,1393.0,95680.0,1120,79198,493.0,28751.0,386.0,21136.0
517,1365.0,97045.0,1167,80365,428.0,29179.0,379.0,21515.0
516,1454.0,98499.0,1103,81468,443.0,29622.0,373.0,21888.0
515,1473.0,99972.0,1120,82588,474.0,30096.0,334.0,22222.0
514,1467.0,101439.0,1151,83739,463.0,30559.0,420.0,22642.0
513,1486.0,102925.0,1174,84913,485.0,31044.0,430.0,23072.0
512,1473.0,104398.0,1106,86019,436.0,31480.0,417.0,23489.0
511,1495.0,105893.0,1118,87137,461.0,31941.0,407.0,23896.0
510,1441.0,107334.0,1169,88306,502.0,32443.0,454.0,24350.0
509,1527.0,108861.0,1201,89507,492.0,32935.0,408.0,24758.0
508,1468.0,110329.0,1180,90687,490.0,33425.0,415.0,25173.0
507,1555.0,111884.0,1181,91868,471.0,33896.0,453.0,25626.0
506,1558.0,113442.0,1234,93102,504.0,34400.0,458.0,26084.0
505,1459.0,114901.0,1155,94257,489.0,34889.0,420.0,26504.0
504,1544.0,116445.0,1188,95445,485.0,35374.0,447.0,26951.0
503,1527.0,117972.0,1218,96663,485.0,35859.0,436.0,27387.0
502,1577.0,119549.0,1261,97924,519.0,36378.0,454.0,27841.0
501,1552.0,121101.0,1242,99166,511.0,36889.0,464.0,28305.0
500,1523.0,122624.0,1199,100365,535.0,37424.0,450.0,28755.0
499,1651.0,124275.0,1215,101580,476.0,37900.0,466.0,29221.0
498,1638.0,125913.0,1229,102809,504.0,38404.0,462.0,29683.0
497,1521.0,127434.0,1240,104049,487.0,38891.0,453.0,30136.0
496,1601.0,129035.0,1245,105294,501.0,39392.0,468.0,30604.0
495,1587.0,130622.0,1292,106586,510.0,39902.0,459.0,31063.0
494,1569.0,132191.0,1311,107897,535.0,40437.0,493.0,31556.0
493,1552.0,133743.0,1277,109174,523.0,40960.0,516.0,32072.0
492,1674.0,135417.0,1276,110450,525.0,41485.0,486.0,32558.0
491,1577.0,136994.0,1372,111822,553.0,42038.0,525.0,33083.0
490,1654.0,138648.0,1234,113056,530.0,42568.0,489.0,33572.0
489,1591.0,140239.0,1280,114336,587.0,43155.0,497.0,34069.0
488,1583.0,141822.0,1258,115594,533.0,43688.0,503.0,34572.0
487,1617.0,143439.0,1236,116830,575.0,44263.0,542.0,35114.0
486,1614.0,145053.0,1322,118152,508.0,44771.0,503.0,35617.0
485,1656.0,146709.0,1328,119480,536.0,45307.0,512.0,36129.0
484,1616.0,148325.0,1296,120776,533.0,45840.0,533.0,36662.0
483,1596.0,149921.0,1343,122119,535.0,46375.0,526.0,37188.0
482,1660.0,151581.0,1311,123430,537.0,46912.0,548.0,37736.0
481,1706.0,153287.0,1380,124810,547.0,47459.0,532.0,38268.0
480,1642.0,154929.0,1367,126177,540.0,47999.0,516.0,38784.0
479,1580.0,156509.0,1358,127535,559.0,48558.0,540.0,39324.0
478,1587.0,158096.0,1322,128857,514.0,49072.0,601.0,39925.0
477,1655.0,159751.0,1365,130222,536.0,49608.0,581.0,40506.0
476,1665.0,161416.0,1301,131523,583.0,50191.0,577.0,41083.0
475,1648.0,163064.0,1373,132896,560.0,50751.0,560.0,41643.0
474,1628.0,164692.0,1344,134240,525.0,51276.0,583.0,42226.0
473,1657.0,166349.0,1342,135582,528.0,51804.0,566.0,42792.0
472,1678.0,168027.0,1377,136959,576.0,52380.0,553.0,43345.0
471,1727.0,169754.0,1396,138355,586.0,52966.0,556.0,43901.0
470,1751.0,171505.0,1352,139707,580.0,53546.0,596.0,44497.0
469,1620.0,173125.0,1401,141108,531.0,54077.0,572.0,45069.0
468,1613.0,174738.0,1371,142479,606.0,54683.0,570.0,45639.0
467,1668.0,176406.0,1360,143839,526.0,55209.0,597.0,46236.0
466,1676.0,178082.0,1367,145206,635.0,55844.0,599.0,46835.0
465,1649.0,179731.0,1455,146661,526.0,56370.0,587.0,47422.0
464,1614.0,181345.0,1402,148063,598.0,56968.0,598.0,48020.0
463,1679.0,183024.0,1414,149477,584.0,57552.0,614.0,48634.0
462,1642.0,184666.0,1468,150945,570.0,58122.0,568.0,49202.0
461,1570.0,186236.0,1417,152362,636.0,58758.0,639.0,49841.0
460,1559.0,187795.0,1436,153798,589.0,59347.0,612.0,50453.0
459,1574.0,189369.0,1460,155258,542.0,59889.0,604.0,51057.0
458,1602.0,190971.0,1434,156692,553.0,60442.0,650.0,51707.0
457,1593.0,192564.0,1389,158081,617.0,61059.0,605.0,52312.0
456,1638.0,194202.0,1413,159494,596.0,61655.0,640.0,52952.0
455,1633.0,195835.0,1425,160919,546.0,62201.0,597.0,53549.0
454,1595.0,197430.0,1390,162309,619.0,62820.0,654.0,54203.0
453,1646.0,199076.0,1404,163713,595.0,63415.0,645.0,54848.0
452,1622.0,200698.0,1412,165125,563.0,63978.0,646.0,55494.0
451,1593.0,202291.0,1383,166508,612.0,64590.0,647.0,56141.0
450,1642.0,203933.0,1423,167931,644.0,65234.0,698.0,56839.0
449,1554.0,205487.0,1392,169323,634.0,65868.0,653.0,57492.0
448,1579.0,207066.0,1447,170770,627.0,66495.0,625.0,58117.0
447,1597.0,208663.0,1415,172185,628.0,67123.0,661.0,58778.0
446,1598.0,210261.0,1452,173637,640.0,67763.0,695.0,59473.0
445,1579.0,211840.0,1451,175088,636.0,68399.0,626.0,60099.0
444,1600.0,213440.0,1441,176529,664.0,69063.0,629.0,60728.0
443,1521.0,214961.0,1436,177965,628.0,69691.0,679.0,61407.0
442,1591.0,216552.0,1368,179333,621.0,70312.0,726.0,62133.0
441,1499.0,218051.0,1405,180738,610.0,70922.0,695.0,62828.0
440,1592.0,219643.0,1368,182106,670.0,71592.0,699.0,63527.0
439,1514.0,221157.0,1416,183522,648.0,72240.0,641.0,64168.0
438,1547.0,222704.0,1410,184932,597.0,72837.0,689.0,64857.0
437,1557.0,224261.0,1446,186378,606.0,73443.0,673.0,65530.0
436,1480.0,225741.0,1403,187781,654.0,74097.0,743.0,66273.0
435,1503.0,227244.0,1392,189173,651.0,74748.0,665.0,66938.0
434,1513.0,228757.0,1366,190539,632.0,75380.0,744.0,67682.0
433,1502.0,230259.0,1376,191915,695.0,76075.0,713.0,68395.0
432,1570.0,231829.0,1383,193298,638.0,76713.0,724.0,69119.0
431,1480.0,233309.0,1298,194596,638.0,77351.0,706.0,69825.0
430,1507.0,234816.0,1450,196046,698.0,78049.0,768.0,70593.0
429,1437.0,236253.0,1328,197374,666.0,78715.0,745.0,71338.0
428,1471.0,237724.0,1321,198695,705.0,79420.0,733.0,72071.0
427,1478.0,239202.0,1346,200041,668.0,80088.0,763.0,72834.0
426,1547.0,240749.0,1442,201483,693.0,80781.0,729.0,73563.0
425,1501.0,242250.0,1350,202833,672.0,81453.0,757.0,74320.0
424,1480.0,243730.0,1305,204138,680.0,82133.0,712.0,75032.0
423,1502.0,245232.0,1296,205434,726.0,82859.0,713.0,75745.0
422,1488.0,246720.0,1294,206728,695.0,83554.0,767.0,76512.0
421,1465.0,248185.0,1312,208040,702.0,84256.0,705.0,77217.0
420,1442.0,249627.0,1293,209333,702.0,84958.0,729.0,77946.0
419,1399.0,251026.0,1375,210708,678.0,85636.0,764.0,78710.0
418,1415.0,252441.0,1291,211999,710.0,86346.0,749.0,79459.0
417,1382.0,253823.0,1295,213294,648.0,86994.0,797.0,80256.0
416,1443.0,255266.0,1310,214604,707.0,87701.0,699.0,80955.0
415,1443.0,256709.0,1298,215902,712.0,88413.0,758.0,81713.0
414,1394.0,258103.0,1368,217270,680.0,89093.0,809.0,82522.0
413,1415.0,259518.0,1297,218567,709.0,89802.0,759.0,83281.0
412,1404.0,260922.0,1282,219849,720.0,90522.0,732.0,84013.0
411,1378.0,262300.0,1307,221156,694.0,91216.0,802.0,84815.0
410,1351.0,263651.0,1325,222481,783.0,91999.0,749.0,85564.0
409,1374.0,265025.0,1301,223782,726.0,92725.0,781.0,86345.0
408,1352.0,266377.0,1270,225052,751.0,93476.0,750.0,87095.0
407,1340.0,267717.0,1276,226328,738.0,94214.0,790.0,87885.0
406,1322.0,269039.0,1294,227622,731.0,94945.0,806.0,88691.0
405,1364.0,270403.0,1175,228797,763.0,95708.0,792.0,89483.0
404,1360.0,271763.0,1308,230105,787.0,96495.0,798.0,90281.0
403,1314.0,273077.0,1225,231330,772.0,97267.0,762.0,91043.0
402,1340.0,274417.0,1305,232635,777.0,98044.0,817.0,91860.0
401,1331.0,275748.0,1191,233826,811.0,98855.0,829.0,92689.0
400,1328.0,277076.0,1216,235042,781.0,99636.0,756.0,93445.0
399,1243.0,278319.0,1221,236263,754.0,100390.0,826.0,94271.0
398,1286.0,279605.0,1232,237495,756.0,101146.0,794.0,95065.0
397,1268.0,280873.0,1229,238724,780.0,101926.0,794.0,95859.0
396,1208.0,282081.0,1217,239941,802.0,102728.0,851.0,96710.0
395,1251.0,283332.0,1201,241142,768.0,103496.0,809.0,97519.0
394,1296.0,284628.0,1222,242364,742.0,104238.0,783.0,98302.0
393,1220.0,285848.0,1114,243478,753.0,104991.0,789.0,99091.0
392,1245.0,287093.0,1167,244645,806.0,105797.0,842.0,99933.0
391,1175.0,288268.0,1126,245771,826.0,106623.0,819.0,100752.0
390,1261.0,289529.0,1219,246990,789.0,107412.0,842.0,101594.0
389,1186.0,290715.0,1084,248074,803.0,108215.0,821.0,102415.0
388,1204.0,291919.0,1094,249168,794.0,109009.0,871.0,103286.0
387,1185.0,293104.0,1109,250277,803.0,109812.0,866.0,104152.0
386,1145.0,294249.0,1048,251325,852.0,110664.0,875.0,105027.0
385,1187.0,295436.0,1120,252445,873.0,111537.0,867.0,105894.0
384,1220.0,296656.0,1059,253504,853.0,112390.0,790.0,106684.0
383,1137.0,297793.0,1123,254627,789.0,113179.0,847.0,107531.0
382,1177.0,298970.0,1104,255731,813.0,113992.0,862.0,108393.0
381,1167.0,300137.0,1077,256808,835.0,114827.0,858.0,109251.0
380,1153.0,301290.0,1070,257878,846.0,115673.0,881.0,110132.0
379,1100.0,302390.0,1062,258940,865.0,116538.0,893.0,111025.0
378,1108.0,303498.0,1021,259961,871.0,117409.0,847.0,111872.0
377,1090.0,304588.0,994,260955,870.0,118279.0,884.0,112756.0
376,1084.0,305672.0,1057,262012,896.0,119175.0,918.0,113674.0
375,1051.0,306723.0,1022,263034,951.0,120126.0,871.0,114545.0
374,1071.0,307794.0,1033,264067,879.0,121005.0,921.0,115466.0
373,1072.0,308866.0,1011,265078,811.0,121816.0,865.0,116331.0
372,1032.0,309898.0,995,266073,918.0,122734.0,872.0,117203.0
371,1058.0,310956.0,955,267028,859.0,123593.0,870.0,118073.0
370,1043.0,311999.0,933,267961,906.0,124499.0,892.0,118965.0
369,1097.0,313096.0,972,268933,900.0,125399.0,915.0,119880.0
368,1055.0,314151.0,951,269884,909.0,126308.0,869.0,120749.0
367,1030.0,315181.0,941,270825,880.0,127188.0,919.0,121668.0
366,930.0,316111.0,900,271725,885.0,128073.0,901.0,122569.0
365,982.0,317093.0,950,272675,812.0,128885.0,909.0,123478.0
364,986.0,318079.0,932,273607,878.0,129763.0,882.0,124360.0
363,925.0,319004.0,920,274527,903.0,130666.0,913.0,125273.0
362,1013.0,320017.0,855,275382,906.0,131572.0,947.0,126220.0
361,915.0,320932.0,857,276239,886.0,132458.0,975.0,127195.0
360,917.0,321849.0,875,277114,901.0,133359.0,916.0,128111.0
359,874.0,322723.0,862,277976,864.0,134223.0,938.0,129049.0
358,935.0,323658.0,799,278775,872.0,135095.0,957.0,130006.0
357,939.0,324597.0,830,279605,917.0,136012.0,873.0,130879.0
356,938.0,325535.0,863,280468,873.0,136885.0,1008.0,131887.0
355,877.0,326412.0,839,281307,931.0,137816.0,935.0,132822.0
354,885.0,327297.0,776,282083,929.0,138745.0,1008.0,133830.0
353,861.0,328158.0,811,282894,921.0,139666.0,961.0,134791.0
352,806.0,328964.0,820,283714,903.0,140569.0,998.0,135789.0
351,873.0,329837.0,814,284528,932.0,141501.0,937.0,136726.0
350,843.0,330680.0,789,285317,847.0,142348.0,925.0,137651.0
349,841.0,331521.0,786,286103,859.0,143207.0,909.0,138560.0
348,797.0,332318.0,781,286884,903.0,144110.0,982.0,139542.0
347,823.0,333141.0,784,287668,878.0,144988.0,850.0,140392.0
346,773.0,333914.0,780,288448,884.0,145872.0,972.0,141364.0
345,770.0,334684.0,703,289151,822.0,146694.0,952.0,142316.0
344,811.0,335495.0,769,289920,866.0,147560.0,939.0,143255.0
343,742.0,336237.0,756,290676,882.0,148442.0,922.0,144177.0
342,774.0,337011.0,737,291413,926.0,149368.0,986.0,145163.0
341,773.0,337784.0,653,292066,841.0,150209.0,990.0,146153.0
340,691.0,338475.0,664,292730,836.0,151045.0,905.0,147058.0
339,752.0,339227.0,655,293385,846.0,151891.0,956.0,148014.0
338,700.0,339927.0,695,294080,886.0,152777.0,916.0,148930.0
337,724.0,340651.0,665,294745,845.0,153622.0,995.0,149925.0
336,688.0,341339.0,639,295384,820.0,154442.0,899.0,150824.0
335,709.0,342048.0,621,296005,802.0,155244.0,883.0,151707.0
334,688.0,342736.0,641,296646,795.0,156039.0,909.0,152616.0
333,671.0,343407.0,635,297281,799.0,156838.0,894.0,153510.0
332,690.0,344097.0,650,297931,863.0,157701.0,885.0,154395.0
331,633.0,344730.0,625,298556,839.0,158540.0,894.0,155289.0
330,672.0,345402.0,614,299170,841.0,159381.0,921.0,156210.0
329,620.0,346022.0,625,299795,796.0,160177.0,882.0,157092.0
328,589.0,346611.0,595,300390,786.0,160963.0,895.0,157987.0
327,642.0,347253.0,568,300958,798.0,161761.0,934.0,158921.0
326,626.0,347879.0,604,301562,777.0,162538.0,919.0,159840.0
325,594.0,348473.0,574,302136,791.0,163329.0,866.0,160706.0
324,596.0,349069.0,568,302704,749.0,164078.0,891.0,161597.0
323,633.0,349702.0,525,303229,772.0,164850.0,870.0,162467.0
322,600.0,350302.0,581,303810,783.0,165633.0,894.0,163361.0
321,567.0,350869.0,543,304353,785.0,166418.0,878.0,164239.0
320,554.0,351423.0,540,304893,760.0,167178.0,868.0,165107.0
319,543.0,351966.0,545,305438,771.0,167949.0,901.0,166008.0
318,587.0,352553.0,497,305935,749.0,168698.0,872.0,166880.0
317,549.0,353102.0,484,306419,788.0,169486.0,841.0,167721.0
316,580.0,353682.0,531,306950,762.0,170248.0,818.0,168539.0
315,567.0,354249.0,530,307480,700.0,170948.0,891.0,169430.0
314,564.0,354813.0,501,307981,739.0,171687.0,793.0,170223.0
313,542.0,355355.0,472,308453,709.0,172396.0,802.0,171025.0
312,506.0,355861.0,502,308955,723.0,173119.0,812.0,171837.0
311,485.0,356346.0,459,309414,638.0,173757.0,770.0,172607.0
310,454.0,356800.0,433,309847,671.0,174428.0,814.0,173421.0
309,465.0,357265.0,459,310306,632.0,175060.0,795.0,174216.0
308,485.0,357750.0,448,310754,677.0,175737.0,747.0,174963.0
307,462.0,358212.0,462,311216,690.0,176427.0,774.0,175737.0
306,441.0,358653.0,463,311679,665.0,177092.0,757.0,176494.0
305,450.0,359103.0,426,312105,590.0,177682.0,732.0,177226.0
304,461.0,359564.0,425,312530,680.0,178362.0,740.0,177966.0
303,488.0,360052.0,440,312970,679.0,179041.0,743.0,178709.0
302,406.0,360458.0,416,313386,685.0,179726.0,737.0,179446.0
301,445.0,360903.0,416,313802,625.0,180351.0,733.0,180179.0
300,441.0,361344.0,395,314197,637.0,180988.0,715.0,180894.0
299,445.0,361789.0,418,314615,653.0,181641.0,695.0,181589.0
298,394.0,362183.0,390,315005,640.0,182281.0,701.0,182290.0
297,446.0,362629.0,371,315376,607.0,182888.0,719.0,183009.0
296,374.0,363003.0,387,315763,617.0,183505.0,667.0,183676.0
295,432.0,363435.0,341,316104,606.0,184111.0,674.0,184350.0
294,372.0,363807.0,370,316474,592.0,184703.0,643.0,184993.0
293,390.0,364197.0,380,316854,636.0,185339.0,654.0,185647.0
292,400.0,364597.0,339,317193,632.0,185971.0,683.0,186330.0
291,383.0,364980.0,333,317526,573.0,186544.0,609.0,186939.0
290,389.0,365369.0,328,317854,550.0,187094.0,606.0,187545.0
289,361.0,365730.0,322,318176,608.0,187702.0,605.0,188150.0
288,339.0,366069.0,342,318518,605.0,188307.0,638.0,188788.0
