6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-年龄-年龄-年龄,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-15-64岁妇女人数-15-64岁妇女人数-15-64岁妇女人数,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-合计-合计,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-男-男,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-活产子女总数-女-女,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-合计-合计,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-男-男,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女总数-女-女,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-存活子女数-占活产子女-数的百分比,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-妇女平-均活产-子女数,6-12全国按年龄分的15-64岁妇女平均活产子女数和平均存活子女数-单位：人、%-妇女平-均存活-子女数
35-39岁,4807252.0,7675076.0,4121621.0,3553455.0,7509735.0,4023754.0,3485981.0,98.0,2.0,2.0
35,951707.0,1485891.0,795730.0,690161.0,1454328.0,777094.0,677234.0,98.0,2.0,2.0
36,947095.0,1511769.0,811411.0,700358.0,1479202.0,792135.0,687067.0,98.0,2.0,2.0
37,924603.0,1480556.0,795525.0,685031.0,1448845.0,776799.0,672046.0,98.0,2.0,2.0
38,1058627.0,1694242.0,910175.0,784067.0,1657481.0,888482.0,768999.0,98.0,2.0,2.0
39,925220.0,1502618.0,808780.0,693838.0,1469879.0,789244.0,680635.0,98.0,2.0,2.0
,,,,,,,,,,
40-44岁,4487894.0,7224276.0,3914956.0,3309320.0,7060187.0,3816270.0,3243917.0,98.0,2.0,2.0
40,849969.0,1384693.0,747908.0,636785.0,1353789.0,729436.0,624353.0,98.0,2.0,2.0
41,933899.0,1506862.0,814513.0,692349.0,1473288.0,794408.0,678880.0,98.0,2.0,2.0
42,896749.0,1444095.0,782608.0,661487.0,1411190.0,762813.0,648377.0,98.0,2.0,2.0
43,856179.0,1368381.0,742582.0,625799.0,1337247.0,723795.0,613452.0,98.0,2.0,2.0
44,951098.0,1520245.0,827345.0,692900.0,1484673.0,805818.0,678855.0,98.0,2.0,2.0
,,,,,,,,,,
45-49岁,5511824.0,8785908.0,4807092.0,3978816.0,8572199.0,4675984.0,3896215.0,98.0,2.0,2.0
45,977154.0,1560586.0,850674.0,709912.0,1523443.0,828032.0,695411.0,98.0,2.0,2.0
46,1073545.0,1719548.0,939021.0,780527.0,1678172.0,913772.0,764400.0,98.0,2.0,2.0
47,1121552.0,1783073.0,975346.0,807727.0,1739946.0,948970.0,790976.0,98.0,2.0,2.0
48,1152292.0,1835179.0,1005777.0,829402.0,1789982.0,977901.0,812081.0,98.0,2.0,2.0
49,1187281.0,1887522.0,1036274.0,851248.0,1840656.0,1007309.0,833347.0,98.0,2.0,2.0
,,,,,,,,,,
50-54岁,5906378.0,9858241.0,5412806.0,4445435.0,9601261.0,5252661.0,4348600.0,97.0,2.0,2.0
50,1266799.0,2041584.0,1120629.0,920955.0,1990485.0,1088891.0,901594.0,98.0,2.0,2.0
51,1188360.0,1939545.0,1066377.0,873168.0,1889976.0,1035761.0,854215.0,97.0,2.0,2.0
52,1276675.0,2126956.0,1169239.0,957717.0,2071428.0,1134495.0,936933.0,97.0,2.0,2.0
53,1025010.0,1757072.0,964088.0,792984.0,1710248.0,934869.0,775379.0,97.0,2.0,2.0
54,1149534.0,1993084.0,1092473.0,900611.0,1939124.0,1058645.0,880479.0,97.0,2.0,2.0
,,,,,,,,,,
55-59岁,4994132.0,8977464.0,4902099.0,4075365.0,8727551.0,4744630.0,3982921.0,97.0,2.0,2.0
55,1131681.0,1979457.0,1083176.0,896281.0,1925524.0,1049324.0,876200.0,97.0,2.0,2.0
56,1112306.0,1966836.0,1074563.0,892273.0,1911921.0,1039928.0,871993.0,97.0,2.0,2.0
57,1277233.0,2278220.0,1243041.0,1035179.0,2215045.0,1203394.0,1011651.0,97.0,2.0,2.0
58,943836.0,1762608.0,962793.0,799815.0,1713322.0,931539.0,781783.0,97.0,2.0,2.0
59,529076.0,990343.0,538526.0,451817.0,961739.0,520445.0,441294.0,97.0,2.0,2.0
,,,,,,,,,,
60-64岁,3600797.0,6919351.0,3755351.0,3164000.0,6705638.0,3619186.0,3086452.0,97.0,2.0,2.0
60,635292.0,1172671.0,636044.0,536627.0,1137828.0,614053.0,523775.0,97.0,2.0,2.0
61,589893.0,1114178.0,604971.0,509207.0,1080443.0,583448.0,496995.0,97.0,2.0,2.0
62,753465.0,1441086.0,783821.0,657265.0,1396927.0,755672.0,641255.0,97.0,2.0,2.0
63,843128.0,1642428.0,890393.0,752035.0,1591524.0,857897.0,733627.0,97.0,2.0,2.0
64,779019.0,1548988.0,840122.0,708866.0,1498916.0,808116.0,690800.0,97.0,2.0,2.0
